#,Team,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE,POSS,Year
1,San Antonio Spurs,82,58,24,3966,105,96.6,8.3,61.7,1.55,17.2,29.7,70.3,51.1,15.2,49.6,54.1,90.87,57.3,7514.00,2000
2,Los Angeles Lakers,82,56,26,3981,107,103.6,3.5,60.7,1.59,17.4,33.8,69.1,51.7,15.4,49.8,53.5,92.9,53.2,7710.00,2000
2,Philadelphia 76ers,82,56,26,3971,101.9,97.3,4.6,58.3,1.31,16,33.4,70.4,52.3,17,46.8,51.8,92.09,53.6,7619.00,2000
4,Sacramento Kings,82,55,27,4016,104.2,98.5,5.7,59.1,1.52,16.8,30.7,67.9,49.7,15.2,48.4,52.9,95.61,54,8010.00,2000
5,Dallas Mavericks,82,53,29,3961,105.6,101.2,4.4,56.4,1.52,16.5,27.2,67.8,48.1,14.6,49.8,54.4,94.52,52.3,7803.00,2000
5,Utah Jazz,82,53,29,3956,106.1,100.9,5.2,71.3,1.63,19.6,33.2,70.1,51.9,17.3,49.7,54.6,91.08,54.8,7503.00,2000
7,Milwaukee Bucks,82,52,30,3956,106.8,102.6,4.2,59.3,1.64,17.2,30.1,68.3,49.4,14.5,49.9,54.2,93.89,51.9,7733.00,2000
8,Phoenix Suns,82,51,31,3961,98.9,96.7,2.3,64.7,1.52,17.5,30.5,70.2,50,16.1,46,50.6,94.41,52.1,7792.00,2000
9,Miami Heat,82,50,32,3976,99.4,97.1,2.3,60.5,1.45,16.4,28,70,49,15.3,46.9,51.5,88.39,52.3,7331.00,2000
9,Portland Trail Blazers,82,50,32,3956,104.7,100.5,4.2,65.3,1.56,18.6,33.3,70,52.2,16.8,49.7,53.9,90.53,54.4,7475.00,2000
11,New York Knicks,82,48,34,3981,100,97,3,55.2,1.28,15.6,27.6,70.7,49.8,16.3,47.6,52.3,87.74,52,7276.00,2000
12,Minnesota Timberwolves,82,47,35,3966,103.9,102.4,1.6,66.2,1.83,19,31.5,68.2,49.8,14.8,48.2,52.3,92.99,51.8,7679.00,2000
