Player,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE,POSS
Joel Embiid,39,12,31.1,117.8,105.8,12.0,15.6,0.91,10.0,7.8,25.4,17.2,11.0,54.5,63.6,35.2,100.79,20.3,"3,331"
Nikola Jokic,47,25,34.6,120.2,112.6,7.7,37.7,2.70,26.2,8.7,23.7,16.3,9.7,60.2,64.7,29.3,98.15,20.1,"5,084"
Giannis Antetokounmpo,40,21,33.0,117.1,107.3,9.8,28.2,1.72,18.7,4.8,26.4,16.0,10.8,60.0,63.3,32.0,104.17,19.6,"4,359"
LeBron James,30,15,33.4,112.4,103.2,9.2,39.4,2.08,24.3,2.0,20.2,11.4,11.7,57.6,60.2,31.0,100.41,19.1,"3,145"
Jimmy Butler,33,19,33.6,112.1,106.9,5.2,34.5,3.39,26.5,5.6,15.3,10.5,7.8,51.4,60.7,25.9,97.73,18.4,"3,557"
Stephen Curry,37,26,34.2,114.2,109.6,4.6,28.3,1.70,17.4,1.3,13.5,7.7,10.2,60.5,65.5,33.1,105.16,18.1,"4,725"
Luka Doncic,40,26,34.3,116.6,112.7,3.9,42.5,2.02,23.6,2.4,20.2,11.5,11.7,55.0,58.7,35.0,99.40,17.9,"4,676"
James Harden,31,13,36.6,117.2,114.3,2.9,44.2,2.68,31.2,2.3,19.1,11.1,11.6,54.8,61.8,28.3,99.78,17.4,"3,347"
Kawhi Leonard,36,16,34.1,121.4,109.2,12.2,23.8,2.56,19.2,3.4,16.1,9.9,7.5,56.8,62.2,28.2,97.48,17.0,"3,603"
Nikola Vucevic,26,44,33.5,106.6,113.6,-7.0,20.7,2.13,14.5,5.9,28.9,17.0,6.8,54.0,56.0,29.2,99.15,16.8,"4,849"
Rudy Gobert,52,19,30.8,116.8,100.9,15.9,5.9,0.75,9.4,11.0,28.8,20.5,12.4,67.5,68.3,16.6,101.32,16.5,"4,613"
Russell Westbrook,30,35,36.4,109.2,110.4,-1.2,47.7,2.45,30.6,4.3,24.9,14.7,12.5,47.4,50.9,29.5,107.18,16.4,"5,279"
Jonas Valanciunas,32,30,28.3,112.8,108.9,3.8,9.7,1.12,10.7,13.4,28.9,21.0,9.6,60.6,63.6,21.7,101.97,16.3,"3,725"
Bam Adebayo,34,30,33.5,110.2,109.6,0.6,26.7,2.05,23.6,7.0,20.4,13.9,11.5,57.1,62.6,23.3,97.71,16.1,"4,361"
Zion Williamson,29,32,33.2,113.9,111.7,2.1,18.8,1.35,13.7,8.1,13.1,10.6,10.1,61.6,64.9,28.7,103.30,16.1,"4,358"
Damian Lillard,39,28,35.8,119.6,115.6,4.0,33.4,2.49,22.5,1.2,10.4,5.7,9.0,55.4,62.3,30.6,100.40,15.8,"5,014"
Clint Capela,34,29,30.1,114.8,108.2,6.6,3.9,0.67,5.3,15.5,30.1,23.0,8.0,59.4,60.1,19.3,99.41,15.8,"3,927"
Julius Randle,40,31,37.6,109.8,106.8,3.0,26.9,1.77,19.7,3.1,22.7,13.1,11.1,51.6,56.7,28.5,97.22,15.8,"5,398"
Karl-Anthony Towns,19,31,33.8,114.6,114.7,-0.1,21.6,1.41,16.2,7.5,23.7,15.4,11.5,55.5,61.2,28.6,101.77,15.5,"3,588"
Domantas Sabonis,29,33,36.0,109.6,111.5,-1.9,28.3,1.95,24.9,6.6,25.9,16.2,12.8,56.4,60.1,23.9,102.10,15.4,"4,746"
Robert Williams III,29,23,18.9,112.4,112.0,0.4,13.7,1.81,21.6,13.6,23.2,18.4,12.0,72.1,71.9,14.5,99.97,15.2,"2,052"
Jayson Tatum,34,30,35.8,114.8,111.8,3.0,19.6,1.61,14.5,2.1,18.8,10.2,9.0,53.0,57.6,29.8,99.74,15.2,"4,767"
Montrezl Harrell,41,28,22.9,107.3,105.9,1.4,7.8,0.99,8.5,10.0,16.7,13.4,8.6,62.2,65.0,21.1,99.78,15.2,"3,283"
Trae Young,36,27,33.7,118.2,113.0,5.2,42.6,2.28,26.9,1.8,9.4,5.7,11.8,49.9,58.9,32.0,100.50,15.0,"4,464"
