#,Player,Team,Age,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
140,Kevin Huerter,ATL,22,69,40,29,30.8,11.9,4.6,10.6,43.2,2.0,5.6,36.3,0.7,0.9,78.1,0.6,2.8,3.3,3.5,1.1,1.2,0.3,2.4,24.4,3,0,1.0
141,Joe Ingles,UTA,33,67,47,20,27.9,12.1,4.1,8.4,48.9,2.7,6.1,45.1,1.1,1.3,84.4,0.4,3.2,3.6,4.7,1.7,0.7,0.2,1.8,24.4,2,0,6.8
142,Josh Jackson,DET,24,62,16,46,25.2,13.4,4.8,11.4,41.9,1.2,4.1,30.0,2.6,3.5,72.9,0.9,3.2,4.1,2.3,2.3,0.9,0.8,2.9,24.3,2,0,-2.0
143,Keldon Johnson,SAS,21,69,32,37,28.5,12.8,4.9,10.2,47.9,0.9,2.6,33.1,2.1,2.8,74.0,1.3,4.6,6.0,1.8,1.1,0.6,0.3,2.1,24.2,8,0,-2.5
144,Bobby Portis,MIL,26,66,44,22,20.8,11.4,4.7,9.1,52.3,1.1,2.4,47.1,0.8,1.1,74.0,1.9,5.2,7.1,1.1,0.8,0.8,0.4,1.7,24.2,12,0,2.1
145,Goran Dragic,MIA,35,50,30,20,26.7,13.4,4.8,11.1,43.2,1.8,4.9,37.3,2.0,2.4,82.8,0.5,2.9,3.4,4.4,2.4,0.7,0.2,2.3,24.2,1,0,0.8
146,Tim Hardaway Jr.,DAL,29,70,42,28,28.4,16.6,5.8,13.0,44.7,3.0,7.6,39.1,2.0,2.5,81.6,0.3,3.0,3.3,1.8,0.9,0.4,0.2,1.6,24.1,0,0,1.0
147,Moses Brown,BOS,21,43,8,35,21.4,8.6,3.4,6.2,54.5,0.0,0.0,0.0,1.8,2.9,61.9,3.6,5.3,8.9,0.2,1.0,0.7,1.1,2.2,24.1,12,0,-8.4
148,Rui Hachimura,WAS,23,57,29,28,31.5,13.8,5.4,11.4,47.8,0.8,2.4,32.8,2.2,2.8,77.0,0.9,4.6,5.5,1.4,1.2,0.8,0.1,2.1,24.1,3,0,-1.9
150,Eric Bledsoe,NOP,31,71,31,40,29.7,12.2,4.3,10.3,42.1,1.7,5.0,34.1,1.9,2.7,68.7,0.4,3.0,3.4,3.8,1.6,0.8,0.3,1.6,23.8,4,0,-0.9
151,Alec Burks,NYK,29,49,27,22,25.6,12.7,4.3,10.2,42.0,2.1,5.0,41.5,2.1,2.4,85.6,0.4,4.2,4.6,2.2,1.0,0.6,0.3,2.1,23.3,3,0,2.6
152,Gary Trent Jr.,TOR,22,58,29,29,31.1,15.3,5.5,13.5,40.8,2.8,7.4,38.5,1.4,1.8,78.3,0.5,2.2,2.6,1.4,0.7,1.0,0.2,1.6,23.2,0,0,-1.0
153,Blake Griffin,BKN,32,46,24,22,25.8,11.0,3.8,8.9,42.3,1.5,4.5,34.1,1.9,2.5,74.4,0.8,4.1,4.9,3.0,1.3,0.7,0.3,2.4,23.1,2,0,1.3
154,Hamidou Diallo,DET,22,52,18,34,23.6,11.6,4.3,9.0,47.7,0.5,1.6,34.1,2.5,3.8,64.0,1.1,4.1,5.2,1.9,1.5,0.8,0.5,2.6,23.1,7,0,-3.7
155,Luguentz Dort,OKC,22,52,18,34,29.7,14.0,4.8,12.3,38.7,2.2,6.3,34.3,2.3,3.2,74.4,0.7,2.9,3.6,1.7,1.5,0.9,0.4,2.6,23.1,0,0,-4.8
156,Joe Harris,BKN,29,69,45,24,31.0,14.1,5.2,10.2,50.5,3.1,6.4,47.5,0.7,0.9,77.8,0.6,3.0,3.6,1.9,0.9,0.7,0.2,2.0,23.0,0,0,5.1
157,Josh Richardson,DAL,27,59,35,24,30.3,12.1,4.5,10.5,42.7,1.5,4.5,33.0,1.7,1.8,91.7,0.9,2.4,3.3,2.6,1.3,1.0,0.4,2.2,23.0,0,0,-0.8
159,Lauri Markkanen,CHI,24,51,20,31,25.8,13.6,4.9,10.2,48.0,2.3,5.8,40.2,1.5,1.8,82.6,0.7,4.6,5.3,0.9,1.0,0.5,0.3,1.5,22.6,2,0,-0.9
160,Nerlens Noel,NYK,27,64,35,29,24.2,5.1,2.1,3.5,61.4,0.0,0.0,0.0,0.8,1.1,71.4,2.2,4.1,6.4,0.7,1.0,1.1,2.2,2.8,22.6,2,0,0.0
161,Jalen Brunson,DAL,24,68,40,28,25.0,12.6,4.8,9.2,52.3,1.2,2.9,40.5,1.8,2.2,79.5,0.4,3.0,3.4,3.5,1.2,0.5,0.0,1.6,22.4,1,0,2.4
163,Rudy Gay,SAS,34,63,29,34,21.6,11.4,4.2,10.0,42.0,1.7,4.4,38.1,1.3,1.6,80.4,0.7,4.1,4.8,1.4,1.0,0.7,0.6,1.8,22.2,1,0,2.1
164,Daniel Theis,CHI,29,65,28,37,24.6,9.6,3.9,7.2,54.1,0.8,2.3,32.2,1.1,1.7,67.3,1.4,4.0,5.5,1.7,1.0,0.6,0.9,2.6,22.2,6,0,-0.5
165,Carmelo Anthony,POR,37,69,39,30,24.5,13.4,4.7,11.3,42.1,1.9,4.7,40.9,2.0,2.2,89.0,0.5,2.6,3.1,1.5,0.9,0.7,0.6,2.1,22.1,0,0,-0.3
167,DeMarcus Cousins,LAC,30,41,22,19,17.4,8.9,3.2,7.4,42.6,1.1,3.3,34.8,1.4,2.0,72.8,1.3,5.1,6.4,1.9,1.6,0.8,0.6,2.6,22.1,7,0,-1.5
169,Danny Green,PHI,34,69,46,23,28.0,9.5,3.2,7.9,41.2,2.5,6.3,40.5,0.4,0.6,77.5,0.8,3.0,3.8,1.7,1.0,1.3,0.8,1.8,22.0,1,0,4.5
170,Ivica Zubac,LAC,24,72,47,25,22.3,9.0,3.6,5.5,65.2,0.0,0.1,25.0,1.9,2.4,78.9,2.6,4.6,7.2,1.3,1.1,0.3,0.9,2.6,22.0,13,0,2.5
171,Naz Reid,MIN,21,70,22,48,19.2,11.2,4.3,8.3,52.3,0.9,2.5,35.1,1.6,2.4,69.3,1.2,3.4,4.6,1.0,1.0,0.5,1.1,2.6,22.0,1,0,-4.2
172,Cody Zeller,CHA,28,48,21,27,20.9,9.4,3.8,6.8,55.9,0.1,0.6,14.3,1.8,2.5,71.4,2.5,4.4,6.8,1.8,1.1,0.6,0.4,2.5,22.0,8,0,0.9
173,Danilo Gallinari,ATL,32,51,29,22,24.0,13.3,4.0,9.3,43.4,2.0,5.0,40.6,3.2,3.4,92.5,0.3,3.8,4.1,1.5,0.8,0.6,0.2,2.1,22.0,2,0,1.8
174,Dorian Finney-Smith,DAL,28,60,36,24,32.0,9.8,3.7,7.8,47.2,2.0,5.0,39.4,0.5,0.7,75.6,1.6,3.8,5.4,1.7,0.8,0.9,0.4,2.3,22.0,1,0,3.3
175,DeAndre Jordan,BKN,32,57,37,20,21.9,7.5,3.3,4.4,76.3,0.0,0.0,0.0,0.8,1.6,50.0,2.1,5.4,7.5,1.6,1.5,0.3,1.1,2.0,21.7,6,0,-0.7
176,Isaiah Stewart,DET,20,68,20,48,21.4,7.9,3.3,6.0,55.3,0.3,0.9,33.3,0.9,1.4,69.6,2.3,4.3,6.7,0.9,1.0,0.6,1.3,2.7,21.7,8,0,-0.9
177,Saddiq Bey,DET,22,70,19,51,27.3,12.2,4.0,9.9,40.4,2.5,6.6,38.0,1.8,2.1,84.4,0.6,3.9,4.5,1.4,0.9,0.7,0.2,1.6,21.7,3,0,-3.0
178,Jae Crowder,PHX,30,60,42,18,27.5,10.1,3.3,8.2,40.4,2.5,6.3,38.9,1.0,1.3,76.0,0.5,4.2,4.7,2.1,0.9,0.8,0.5,2.1,21.7,0,0,3.6
179,Royce O'Neale,UTA,28,71,51,20,31.6,7.0,2.5,5.5,44.4,1.5,3.9,38.5,0.5,0.6,84.8,1.2,5.6,6.8,2.5,1.2,0.8,0.5,2.6,21.6,3,0,6.6
