Player,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE,POSS
Giannis Antetokounmpo,56,16,32.8,114.3,101.8,12.5,29.4,1.58,19.0,6.6,27.3,17.6,12.0,59.9,64.4,31.4,105.27,21.8,"5,174"
James Harden,51,27,36.8,116.6,110.3,6.3,39.4,1.51,18.2,2.3,15.7,8.9,12.0,54.1,61.6,39.6,98.06,20.1,"5,851"
Anthony Davis,25,31,33.0,113.5,110.1,3.4,18.6,1.95,14.1,8.9,24.9,17.0,7.3,54.0,59.7,28.8,103.73,19.7,"3,996"
Joel Embiid,43,21,33.7,112.5,104.8,7.6,18.5,1.04,12.0,7.5,29.2,19.1,11.6,51.7,59.3,32.7,103.92,19.6,"4,672"
LeBron James,28,27,35.2,109.6,107.6,2.0,37.6,2.30,23.6,2.9,19.3,11.4,10.2,56.0,58.8,31.1,104.12,18.8,"4,218"
Nikola Jokic,53,27,31.3,113.3,107.5,5.8,36.1,2.34,26.5,8.9,24.9,16.9,11.4,54.5,58.9,27.1,98.40,18.8,"5,140"
Nikola Vucevic,41,39,31.4,110.4,106.4,4.0,20.8,1.93,16.0,8.8,28.6,18.8,8.3,54.9,57.3,27.6,99.22,18.5,"5,194"
Karl-Anthony Towns,34,43,33.0,112.2,111.3,0.9,16.9,1.08,13.0,9.7,25.7,17.6,12.0,57.2,62.2,28.0,101.05,17.7,"5,361"
Kawhi Leonard,41,19,34.0,115.7,107.8,7.9,15.9,1.64,12.2,3.9,16.5,10.6,7.4,54.6,60.6,30.0,100.31,17.2,"4,272"
Rudy Gobert,50,31,31.8,110.5,103.6,6.9,9.5,1.24,13.0,11.7,27.0,19.4,10.5,66.9,68.2,17.5,101.23,17.0,"5,439"
Jonas Valanciunas,31,18,22.3,109.7,107.0,2.7,10.9,0.78,8.9,9.6,26.8,18.4,11.5,57.2,61.6,27.4,101.77,16.9,"2,317"
Boban Marjanovic,31,27,11.7,105.3,105.3,0.1,12.8,0.92,12.6,12.4,23.2,18.0,13.7,62.3,66.4,22.2,104.16,16.4,"1,478"
Russell Westbrook,44,29,36.0,112.4,107.4,5.0,44.0,2.41,28.2,3.6,25.5,14.1,11.7,46.8,50.1,30.1,104.93,16.4,"5,751"
Kevin Durant,54,24,34.6,118.7,107.3,11.4,25.1,2.03,20.0,1.3,15.3,8.8,9.8,57.1,63.1,28.3,103.33,16.2,"5,813"
Domantas Sabonis,43,31,24.8,108.8,103.6,5.2,18.0,1.33,17.8,9.9,26.9,18.4,13.4,59.6,63.0,22.6,99.33,16.2,"3,804"
Hassan Whiteside,33,39,23.3,107.0,106.2,0.7,5.4,0.58,6.0,13.9,30.5,22.2,10.4,57.2,56.4,21.5,99.34,16.2,"3,462"
Paul George,46,31,36.9,112.1,103.9,8.2,17.3,1.55,13.5,3.3,17.3,10.1,8.7,52.9,58.3,28.5,104.35,16.1,"6,172"
Andre Drummond,40,39,33.5,111.7,108.4,3.3,6.8,0.64,7.3,15.1,31.1,22.8,11.5,53.6,55.5,22.6,98.15,15.9,"5,412"
Kyrie Irving,37,30,33.0,113.4,107.1,6.2,33.0,2.70,23.5,3.1,11.3,7.2,8.7,55.7,59.2,28.6,102.01,15.7,"4,723"
Clint Capela,44,23,33.6,114.0,108.7,5.4,7.0,1.02,9.3,13.0,24.1,18.5,9.1,64.8,65.8,18.0,98.21,15.6,"4,594"
Damian Lillard,51,29,35.5,116.0,107.9,8.2,29.9,2.60,22.0,2.3,10.0,6.2,8.5,52.2,58.8,28.1,101.18,15.5,"5,984"
DeAndre Jordan,25,44,29.7,105.1,110.1,-5.1,11.9,1.02,17.8,10.5,31.5,21.0,17.4,64.1,67.4,14.8,100.18,15.4,"4,274"
Blake Griffin,39,36,35.0,109.8,109.3,0.5,26.8,1.59,18.0,3.6,18.2,10.5,11.3,53.2,58.1,29.6,98.63,15.3,"5,394"
Enes Kanter,28,39,24.5,106.4,112.6,-6.2,12.0,0.98,11.6,13.8,24.5,18.8,11.8,55.6,59.4,21.9,100.15,15.2,"3,431"
Stephen Curry,52,17,33.8,119.5,105.8,13.7,22.5,1.88,18.0,2.0,12.2,7.5,9.6,60.4,64.1,29.2,104.18,15.2,"5,058"
Mike Conley,30,40,33.5,106.3,105.6,0.7,32.7,3.45,24.2,1.7,8.8,5.1,7.0,50.7,56.9,26.2,98.11,15.1,"4,782"
Luka Doncic,28,44,32.2,107.6,110.6,-3.1,31.7,1.74,20.7,3.6,19.8,11.7,11.9,49.7,54.5,29.6,100.99,14.9,"4,891"
Lou Williams,47,28,26.6,113.1,109.2,3.9,31.8,2.22,20.9,1.9,8.1,5.1,9.4,47.1,55.4,30.8,105.69,14.7,"4,399"
Jusuf Nurkic,45,27,27.4,117.0,106.5,10.5,16.8,1.39,16.8,11.9,24.1,18.1,12.1,51.0,57.0,24.1,101.57,14.6,"4,171"
Ben Simmons,50,29,34.2,111.3,108.9,2.4,34.1,2.23,30.0,6.2,17.9,12.2,13.5,56.3,58.2,21.5,103.99,14.5,"5,838"
Danilo Gallinari,40,28,30.3,113.3,111.0,2.3,13.4,1.80,13.4,2.7,17.1,10.1,7.4,55.4,63.3,23.7,101.56,14.3,"4,360"
LaMarcus Aldridge,48,33,33.2,112.5,111.0,1.5,11.5,1.35,10.6,9.6,18.0,13.9,7.9,52.2,57.6,26.8,98.36,14.3,"5,509"
Joakim Noah,14,28,16.5,103.5,101.7,1.8,20.2,1.78,22.1,7.8,24.7,16.1,12.4,51.6,57.1,19.1,100.40,14.2,"1,438"
Derrick Favors,46,30,23.2,106.3,101.6,4.6,7.9,1.06,10.0,11.5,18.8,15.2,9.4,60.0,62.4,18.8,102.36,14.2,"3,773"
D'Angelo Russell,42,39,30.2,108.1,107.9,0.2,39.2,2.23,23.4,2.0,9.9,6.0,10.5,51.2,53.3,31.1,102.40,14.1,"5,227"
Montrezl Harrell,48,34,26.3,111.9,109.9,1.9,12.3,1.23,12.0,8.5,14.6,11.7,9.8,61.7,63.6,22.7,104.09,14.0,"4,666"
Kemba Walker,39,43,34.9,112.1,111.8,0.4,28.7,2.29,18.9,1.7,10.6,6.0,8.2,51.1,55.8,30.8,99.38,14.0,"5,933"
Ed Davis,42,39,17.9,106.5,102.2,4.3,6.4,0.95,12.2,13.5,30.7,22.0,12.8,61.6,63.2,12.5,100.93,13.9,"3,023"
Deandre Ayton,17,54,30.7,105.2,113.3,-8.1,9.4,0.99,10.4,10.1,24.0,16.9,10.5,58.5,60.8,21.0,101.34,13.9,"4,604"
Chris Paul,39,19,32.0,112.4,104.2,8.3,38.2,3.11,33.1,1.9,12.3,7.0,10.6,50.8,56.0,22.0,100.37,13.8,"3,873"
Julius Randle,31,42,30.6,111.2,111.4,-0.2,15.8,1.10,13.2,6.9,19.8,13.4,12.0,55.5,60.0,27.3,104.48,13.7,"4,857"
John Collins,24,37,30.0,111.7,113.0,-1.4,10.2,1.01,10.2,11.2,19.6,15.4,10.2,59.3,62.7,23.0,105.00,13.6,"3,990"
DeMar DeRozan,44,33,34.9,110.9,110.9,0.0,27.7,2.39,21.9,2.0,14.7,8.5,9.2,48.3,54.2,27.7,98.32,13.5,"5,510"
Thomas Bryant,29,43,20.8,109.0,112.6,-3.6,9.0,1.53,13.0,7.2,21.9,14.5,8.5,64.8,67.4,17.0,103.28,13.5,"3,224"
Devin Booker,15,49,35.0,108.2,115.1,-6.9,32.7,1.64,20.2,1.7,9.9,5.8,12.3,52.1,58.4,32.0,102.17,13.4,"4,771"
Al Horford,41,27,29.0,112.5,106.4,6.1,20.3,2.77,24.7,6.2,16.1,11.3,8.9,58.6,60.5,18.8,100.82,13.4,"4,146"
Bam Adebayo,39,43,23.3,105.0,104.5,0.5,14.6,1.52,20.7,8.3,22.1,15.1,13.6,57.9,62.3,15.7,99.50,13.3,"3,966"
Marc Gasol,39,40,30.8,108.4,104.9,3.5,22.2,2.25,23.5,3.4,22.7,13.2,10.4,50.5,54.6,21.0,97.16,13.1,"4,924"
J.J. Barea,20,18,19.8,109.5,106.3,3.2,45.4,2.93,30.2,1.6,10.6,6.0,10.3,46.8,49.5,26.3,102.73,13.1,"1,612"
Tobias Harris,46,36,34.7,110.9,110.5,0.4,12.6,1.52,13.0,2.4,18.8,10.8,8.6,54.9,59.2,22.5,102.03,13.1,"6,050"
Rudy Gay,42,27,26.7,110.9,106.8,4.1,14.5,1.60,16.5,3.4,20.9,12.5,10.3,55.4,58.3,21.6,99.55,12.8,"3,823"
Bradley Beal,32,50,36.9,111.7,113.5,-1.8,23.3,2.00,18.2,2.8,10.4,6.6,9.1,54.0,58.1,27.8,102.79,12.8,"6,486"
Derrick Rose,24,27,27.3,111.5,110.8,0.7,24.4,2.68,19.6,2.2,7.0,4.6,7.3,51.8,55.7,26.1,103.61,12.8,"3,012"
Jrue Holiday,30,37,35.8,113.5,109.1,4.4,30.8,2.47,25.9,3.0,9.9,6.5,10.5,52.3,55.5,25.0,104.13,12.7,"5,212"
JaVale McGee,35,40,22.3,106.7,111.1,-4.4,4.5,0.48,6.0,11.2,20.3,15.9,12.5,62.5,63.4,19.7,104.87,12.7,"3,651"
Ivica Zubac,32,27,17.6,106.5,104.7,1.8,9.3,0.90,11.1,10.8,21.6,16.4,12.3,55.9,60.4,19.9,104.36,12.7,"2,260"
Jimmy Butler,38,27,33.6,111.9,108.3,3.6,17.9,2.77,18.5,5.4,9.4,7.5,6.7,49.9,57.1,21.8,102.44,12.6,"4,660"
Eric Bledsoe,59,19,29.1,115.3,104.2,11.1,26.0,2.61,25.8,3.5,10.8,7.4,9.9,54.8,57.7,22.5,104.43,12.5,"4,948"
Richaun Holmes,16,54,16.9,103.5,108.9,-5.4,8.2,1.15,10.9,9.5,17.3,13.4,9.5,60.8,64.7,17.4,102.33,12.5,"2,507"
