Player,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE,POSS
Russell Westbrook,46,35,34.6,110.6,106.1,4.5,54.3,1.92,23.5,4.6,25.1,14.7,12.3,47.6,55.4,40.2,100.39,23.0,"5,854"
Anthony Davis,31,44,36.1,105.2,104.1,1.1,11.0,0.87,7.4,6.2,24.1,15.5,8.5,51.8,58.0,32.1,98.95,19.2,"5,577"
James Harden,54,27,36.4,115.6,108.9,6.7,50.5,1.95,27.9,3.1,18.5,10.9,14.3,52.5,61.3,33.3,101.32,19.0,"6,223"
Kevin Durant,51,11,33.4,118.0,102.3,15.7,21.8,2.17,18.5,2.0,20.7,12.2,8.5,59.4,65.1,27.1,102.86,18.6,"4,444"
LeBron James,51,23,37.8,116.7,108.5,8.3,38.8,2.13,25.7,3.6,18.9,11.4,12.1,59.4,61.9,29.2,97.00,18.3,"5,655"
Chris Paul,43,18,31.5,117.3,102.8,14.4,44.4,3.83,35.1,2.2,13.2,8.0,9.2,55.5,61.4,23.9,96.97,18.2,"3,889"
DeMarcus Cousins,30,42,34.2,108.6,109.5,-0.9,26.2,1.23,14.4,6.4,27.3,16.7,11.6,49.8,56.2,35.9,96.04,17.8,"4,943"
Giannis Antetokounmpo,42,38,35.6,108.6,107.5,1.1,26.9,1.85,19.7,5.2,19.9,12.7,10.6,54.1,59.9,28.0,95.24,17.6,"5,638"
Kawhi Leonard,54,20,33.4,113.8,105.1,8.7,18.2,1.69,13.3,3.4,14.3,8.9,7.9,54.1,61.0,30.6,94.78,17.4,"4,891"
Karl-Anthony Towns,31,51,37.0,111.8,112.1,-0.3,12.7,1.04,10.5,10.1,24.7,17.3,10.1,57.6,61.8,27.1,95.73,17.0,"6,041"
Nikola Jokic,37,36,27.9,116.3,109.7,6.5,26.6,2.10,24.2,10.6,24.8,17.8,11.5,60.5,64.0,23.1,100.23,16.7,"4,264"
Jimmy Butler,40,36,37.0,108.0,104.7,3.3,24.3,2.62,19.7,4.4,11.8,8.1,7.5,49.2,58.6,26.1,96.48,16.4,"5,654"
Hassan Whiteside,39,38,32.6,108.7,106.6,2.0,3.7,0.37,4.3,11.5,31.3,21.4,11.6,55.7,57.9,22.3,95.57,16.3,"5,002"
Rudy Gobert,51,30,33.9,110.3,102.0,8.3,5.7,0.66,9.0,12.4,25.9,19.4,13.6,66.1,68.1,16.6,91.77,16.1,"5,246"
Isaiah Thomas,51,25,33.8,115.1,110.5,4.6,30.5,2.13,18.7,1.7,6.1,4.0,8.7,54.6,62.5,33.2,98.32,16.1,"5,278"
Mike Conley,35,34,33.2,109.6,106.2,3.4,32.9,2.78,24.9,1.4,9.5,5.4,9.0,54.5,60.4,25.6,93.87,16.0,"4,499"
Damian Lillard,38,37,35.9,111.8,110.4,1.4,27.7,2.23,18.8,1.7,11.8,6.7,8.4,51.6,58.6,30.4,98.21,15.9,"5,511"
Gordon Hayward,46,27,34.5,110.6,103.8,6.8,17.9,1.80,14.7,2.1,13.6,8.1,8.1,53.6,59.5,26.9,92.39,15.8,"4,850"
DeMar DeRozan,47,27,35.4,111.3,108.7,2.5,20.4,1.61,12.6,2.7,11.9,7.4,7.8,47.7,55.2,33.7,96.43,15.5,"5,270"
Enes Kanter,43,29,21.3,109.3,108.0,1.3,7.8,0.54,6.4,12.6,18.5,15.6,11.7,54.9,59.9,27.1,98.44,15.4,"3,149"
John Wall,48,30,36.4,113.0,108.8,4.2,45.0,2.58,29.5,2.1,9.4,5.8,11.4,48.2,54.1,29.9,99.63,15.3,"5,887"
Blake Griffin,40,21,34.0,116.7,106.2,10.5,23.5,2.11,18.8,5.7,18.1,12.2,8.9,51.3,56.9,27.6,97.30,15.2,"4,208"
Zach Randolph,38,35,24.5,105.8,105.8,0.0,13.1,1.23,9.6,9.6,24.6,16.7,7.8,46.0,49.0,28.0,93.33,15.2,"3,509"
Dwight Howard,37,37,29.7,103.0,105.0,-2.0,7.6,0.61,9.6,13.3,27.8,20.7,15.8,63.3,62.7,19.0,98.04,15.1,"4,479"
Stephen Curry,65,14,33.4,120.1,102.7,17.4,28.7,2.19,22.4,2.4,10.1,6.5,10.2,58.0,62.4,28.6,103.28,15.1,"5,690"
Marc Gasol,40,34,34.2,107.7,106.7,1.0,24.6,2.04,18.7,2.4,16.7,9.4,9.2,50.3,55.4,26.2,93.21,15.1,"4,921"
DeAndre Jordan,51,30,31.7,114.7,105.8,8.9,5.4,0.83,9.8,12.2,30.5,21.7,11.7,71.4,67.3,15.2,97.00,15.0,"5,190"
Kevin Love,40,20,31.4,115.5,107.1,8.4,9.3,0.95,9.4,7.7,26.7,17.2,9.9,51.0,57.3,25.3,98.17,14.8,"3,861"
Kyle Lowry,36,24,37.4,114.1,106.4,7.7,29.3,2.41,25.2,2.2,10.9,6.5,10.5,56.9,62.3,24.3,95.46,14.7,"4,469"
Pau Gasol,47,17,25.4,110.8,104.0,6.8,14.3,1.85,16.3,6.9,24.5,15.9,8.8,54.8,57.8,21.3,95.40,14.3,"3,236"
