#,Player,Team,Age,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
321,Jakob Poeltl,TOR,21,54,38,16,626,9.5,3.9,6.6,58.3,0.0,0.0,0.0,1.8,3.3,54.4,4.5,5.0,9.5,0.7,1.7,1.0,1.1,6.5,26.6,0,0,-0.3
323,Shabazz Muhammad,MIN,24,78,29,49,1516,18.3,6.8,14.2,48.2,1.2,3.4,33.8,3.5,4.5,77.4,2.0,3.2,5.2,0.8,1.3,0.5,0.1,2.0,26.5,1,0,-1.8
324,Mindaugas Kuzminskas,NYK,27,68,24,44,1016,15.1,5.6,13.1,42.8,1.9,6.0,32.1,1.9,2.4,80.9,1.7,2.8,4.5,2.4,1.8,1.0,0.4,2.8,26.5,0,0,-0.1
325,Wesley Johnson,LAC,29,68,40,28,810,8.3,3.2,8.9,36.5,1.3,5.2,24.6,0.5,0.8,64.7,1.2,6.9,8.0,1.0,0.8,1.3,1.3,3.7,26.5,0,0,-2.5
326,Ryan Anderson,HOU,29,72,50,22,2116,16.7,5.5,13.1,41.8,3.5,8.6,40.3,2.2,2.6,86.0,1.9,3.7,5.6,1.2,0.9,0.5,0.2,2.4,26.5,2,0,6.9
327,Nicolas Brussino,DAL,24,54,18,36,521,10.4,3.6,9.7,36.9,2.0,6.6,30.5,1.2,1.5,77.3,1.8,4.8,6.6,3.2,1.8,1.2,0.6,3.0,26.5,0,0,-7.4
329,Marco Belinelli,CHA,31,74,34,40,1778,15.8,5.3,12.5,42.9,2.1,5.7,36.0,3.0,3.4,89.3,0.3,3.3,3.6,3.0,1.4,0.9,0.2,1.8,26.4,1,0,0.9
330,Josh Richardson,MIA,23,53,23,30,1614,12.0,4.5,11.4,39.4,1.7,5.1,33.0,1.3,1.7,77.9,0.8,3.0,3.7,3.1,1.4,1.3,0.9,2.9,26.4,0,0,0.2
331,Kentavious Caldwell-Pope,DET,24,76,33,43,2528,14.9,5.3,13.2,39.9,2.2,6.2,35.0,2.2,2.6,83.2,0.8,2.7,3.5,2.7,1.2,1.3,0.2,1.7,26.4,1,0,-2.1
332,Jamal Crawford,LAC,37,82,51,31,2157,16.8,6.0,14.5,41.3,1.9,5.4,36.0,2.9,3.4,85.7,0.3,1.9,2.2,3.6,2.2,1.0,0.2,1.9,26.3,0,0,0.4
333,Joe Ingles,UTA,29,82,51,31,1972,10.6,3.7,8.2,45.2,2.2,5.1,44.1,0.9,1.2,73.5,0.4,4.3,4.8,4.1,2.0,1.8,0.1,3.0,26.2,0,0,2.9
334,Jared Dudley,PHX,31,64,17,47,1362,11.5,4.1,9.1,45.4,2.0,5.4,37.9,1.1,1.7,66.2,0.8,5.1,5.9,3.2,1.9,1.1,0.4,4.1,26.1,0,0,-1.2
335,Raul Neto,UTA,25,40,24,16,346,10.4,4.3,9.5,45.1,1.0,3.2,32.3,0.8,0.9,88.9,0.4,2.7,3.1,3.5,1.6,2.2,0.5,5.0,26.0,0,0,8.7
336,Rodney Stuckey,IND,31,39,17,22,696,14.5,4.7,12.6,37.3,1.0,3.1,31.7,4.1,5.5,74.8,0.3,4.0,4.3,4.3,2.7,0.8,0.0,2.3,26.0,0,0,-1.7
337,E'Twaun Moore,NOP,28,73,32,41,1820,13.8,5.6,12.2,45.7,1.5,4.1,37.0,1.1,1.5,77.0,0.7,2.4,3.0,3.2,1.2,1.0,0.6,2.6,26.0,0,0,-2.2
339,Jonathon Simmons,SAS,27,78,60,18,1392,12.5,4.6,10.9,42.0,0.8,2.6,29.4,2.6,3.4,75.0,0.5,3.6,4.1,3.3,2.0,1.2,0.6,3.8,26.0,0,0,5.4
340,Jaylen Brown,BOS,20,78,50,28,1341,13.8,5.2,11.3,45.5,1.2,3.6,34.3,2.3,3.3,68.5,1.2,4.7,5.9,1.7,1.8,0.9,0.5,3.8,25.9,0,0,-3.3
