#,Player,Team,Age,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
157,Denzel Valentine,CHI,24,26,8,18,25.0,10.5,4.1,10.1,40.5,1.8,4.9,37.0,0.5,0.8,66.7,0.5,4.0,4.5,3.2,1.6,1.0,0.2,2.3,22.8,2,0,-3.8
158,Dwyane Wade,MIA,36,22,10,12,22.4,11.9,4.7,11.5,41.3,0.5,2.1,23.9,2.0,2.7,72.9,0.5,2.9,3.5,3.0,2.3,0.8,0.7,2.0,22.7,1,0,-2.7
159,Fred VanVleet,TOR,24,28,23,5,23.2,10.5,3.6,8.5,42.7,1.9,4.5,42.5,1.3,1.5,81.4,0.5,2.3,2.8,3.9,1.1,1.0,0.3,1.7,22.6,0,0,6.4
160,Rudy Gay,SAS,31,22,12,10,19.8,11.7,4.7,9.9,47.2,0.6,2.1,28.3,1.7,2.3,74.5,1.2,3.7,4.9,0.9,1.0,0.8,0.7,1.6,22.6,0,0,0.5
161,Dillon Brooks,MEM,22,31,4,27,29.8,13.7,5.1,12.4,40.8,1.3,4.0,32.0,2.3,3.1,75.0,0.7,2.5,3.2,2.4,2.0,1.0,0.1,2.4,22.5,0,0,-4.8
163,Trevor Ariza,HOU,33,23,20,3,31.8,10.9,3.9,10.0,38.9,2.2,6.5,33.6,1.0,1.3,79.3,0.4,3.5,3.9,1.5,0.6,1.3,0.2,2.1,21.9,0,0,5.3
164,Jeremy Lamb,CHA,26,31,15,16,23.5,11.9,4.5,9.4,47.6,1.2,3.1,39.6,1.7,1.8,91.2,0.5,2.7,3.2,2.5,1.2,0.8,0.4,1.6,21.9,0,0,3.3
165,Kosta Koufos,SAC,29,24,8,16,20.5,8.2,4.0,6.6,60.1,0.0,0.0,0.0,0.3,0.7,35.3,2.3,5.3,7.5,1.4,0.6,0.5,0.5,2.5,21.9,4,0,1.3
166,Domantas Sabonis,IND,22,24,16,8,22.3,9.8,3.8,8.2,45.7,0.2,0.5,33.3,2.1,2.5,82.0,1.5,4.8,6.3,1.9,1.5,0.6,0.4,3.0,21.7,3,0,-1.2
167,Cameron Payne,CHI,23,24,7,17,22.9,9.0,3.5,8.6,41.3,1.4,3.7,37.5,0.5,0.7,75.0,0.8,2.0,2.8,4.3,1.4,1.0,0.4,1.7,21.6,1,0,-2.9
168,E'Twaun Moore,NOP,29,31,20,11,30.3,11.9,5.0,10.2,48.9,1.4,3.4,42.3,0.5,0.7,76.2,0.7,2.5,3.2,2.5,1.3,1.0,0.2,2.1,21.6,0,0,5.1
169,Tyler Ulis,PHX,22,20,2,18,24.3,10.1,4.0,9.4,42.0,0.9,2.7,34.0,1.3,1.5,89.7,0.5,1.7,2.2,5.4,2.2,0.8,0.2,1.7,21.4,3,0,-3.3
170,Marcin Gortat,WAS,34,31,15,16,23.5,7.7,3.3,6.5,49.8,0.0,0.0,0.0,1.2,1.4,81.8,2.1,4.8,6.9,2.1,1.1,0.4,0.7,2.0,21.4,4,0,0.7
171,Alex Len,PHX,25,26,3,23,19.2,8.6,3.2,5.6,57.9,0.0,0.1,33.3,2.1,3.4,60.7,2.2,4.3,6.5,1.1,0.9,0.5,0.9,2.4,21.3,5,0,-5.6
172,Tyler Johnson,MIA,26,28,13,15,27.5,11.5,4.4,9.6,45.6,1.7,4.4,39.3,1.0,1.3,77.8,0.4,2.6,3.0,2.5,1.0,0.8,0.3,1.7,21.2,0,0,1.4
173,Jarell Martin,MEM,24,26,3,23,28.6,10.4,4.0,9.2,43.3,0.7,1.9,34.7,1.8,2.4,74.2,1.4,4.3,5.7,1.7,1.6,0.5,0.5,3.3,21.2,2,0,-8.0
174,Nemanja Bjelica,MIN,30,27,14,13,27.6,8.2,3.1,7.1,43.8,1.4,3.6,39.6,0.6,0.7,75.0,1.1,4.6,5.7,2.1,0.9,0.9,0.4,2.6,21.2,1,0,0.8
175,Quinn Cook,GSW,25,23,13,10,27.7,12.2,4.7,9.7,48.9,1.8,3.9,45.6,0.9,1.0,87.5,0.3,2.7,3.1,3.2,1.3,0.5,0.0,2.2,21.1,0,0,-1.2
176,Shelvin Mack,ORL,28,31,9,22,23.1,9.4,3.7,8.4,43.7,1.1,3.0,37.2,0.9,1.4,64.3,0.4,2.5,2.9,4.4,1.8,1.0,0.1,1.7,21.1,1,0,-2.6
177,Marvin Williams,CHA,32,29,13,16,25.1,9.6,3.3,7.6,43.0,1.6,4.2,38.2,1.4,1.9,77.8,0.9,3.8,4.7,1.3,1.0,0.8,0.7,1.3,20.8,0,0,0.2
178,Cory Joseph,IND,26,30,19,11,29.0,8.3,3.3,8.1,40.7,0.8,2.4,31.5,0.9,1.3,69.2,0.7,3.3,3.9,3.3,1.3,1.2,0.2,2.1,20.7,1,0,0.2
179,Marquese Chriss,PHX,20,27,2,25,21.2,8.7,3.2,7.2,44.1,0.7,2.6,29.0,1.6,2.7,59.7,1.3,4.9,6.1,1.0,1.8,0.7,0.9,2.6,20.6,3,0,-7.2
180,Jerian Grant,CHI,25,22,6,16,23.4,8.8,2.8,7.0,40.3,0.9,2.7,31.7,2.3,3.0,76.9,0.5,1.8,2.3,4.4,1.0,1.0,0.1,1.7,20.5,2,0,-2.1
181,Joe Harris,BKN,26,28,8,20,26.4,11.9,4.3,8.3,51.5,2.0,4.5,44.1,1.4,1.5,88.4,0.8,3.0,3.8,2.1,1.6,0.4,0.4,2.1,20.4,1,0,-1.1
182,Dragan Bender,PHX,20,30,3,27,30.3,8.4,3.0,7.2,41.0,1.7,4.6,36.7,0.8,1.0,76.7,0.8,5.2,6.0,2.2,1.7,0.3,0.8,2.5,20.3,3,0,-8.5
183,Stanley Johnson,DET,22,30,14,16,27.8,9.5,3.4,8.8,38.6,0.9,3.2,27.8,1.8,2.3,77.1,0.4,3.1,3.5,1.7,1.4,1.6,0.2,2.5,20.3,0,0,0.6
184,Lance Stephenson,IND,27,30,19,11,21.7,9.7,3.9,9.4,41.1,0.9,3.4,25.5,1.1,1.6,70.2,0.7,4.0,4.7,2.7,1.7,0.6,0.3,2.3,20.3,1,0,-1.0
185,Jerami Grant,OKC,24,30,17,13,20.6,10.3,3.7,6.2,59.1,0.5,1.3,37.5,2.5,3.9,64.1,1.2,3.3,4.5,0.7,0.6,0.3,1.0,2.0,20.2,1,0,0.6
187,Pascal Siakam,TOR,24,32,25,7,22.0,9.0,3.8,6.9,55.5,0.4,1.3,35.0,1.0,1.3,73.8,0.8,3.7,4.5,2.2,0.9,0.6,0.5,2.1,20.1,0,0,6.1
188,Jae Crowder,UTA,27,29,22,7,27.3,11.3,4.0,10.4,38.9,1.7,5.3,31.6,1.5,2.1,73.3,0.6,2.9,3.5,1.6,1.1,0.8,0.3,2.5,20.0,0,0,4.1
189,Danny Green,SAS,31,27,13,14,25.1,9.0,3.1,8.3,37.5,1.8,4.8,36.9,1.0,1.3,80.0,0.8,2.8,3.6,1.1,0.8,0.7,1.2,2.3,19.9,0,0,0.9
190,George Hill,CLE,32,26,16,10,27.8,9.2,3.3,7.5,44.4,1.1,3.1,35.8,1.4,1.8,77.1,0.8,1.8,2.7,2.9,1.2,0.9,0.5,2.2,19.9,0,0,4.2
191,Yogi Ferrell,DAL,25,30,8,22,25.7,10.0,3.9,9.5,40.8,1.6,4.7,34.0,0.7,0.9,77.8,0.1,2.3,2.5,2.7,0.7,1.0,0.2,1.4,19.7,1,0,-2.9
192,Andre Iguodala,GSW,34,21,12,9,24.7,6.8,2.7,5.1,52.8,0.8,2.0,38.1,0.6,1.0,61.9,0.7,3.3,4.0,3.2,1.1,0.8,0.7,1.7,19.7,0,0,5.0
