#,Player,Team,Age,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
1,Giannis Antetokounmpo,MIL,24,25,21,4,32.0,30.2,10.5,17.9,58.8,1.2,3.6,32.6,8.0,10.4,76.6,2.0,10.3,12.3,5.8,3.5,0.9,1.7,2.8,58.1,19,1,9.6
2,James Harden,HOU,29,31,23,8,35.7,35.8,11.2,24.9,44.8,4.8,13.0,36.8,8.7,9.7,89.7,0.6,6.0,6.6,6.6,4.1,1.9,0.8,2.8,57.6,13,1,8.4
4,Russell Westbrook,OKC,30,31,17,14,36.7,24.7,9.1,20.6,44.3,2.3,6.9,32.6,4.2,6.3,66.5,1.5,9.7,11.3,10.6,4.4,1.5,0.6,3.2,56.1,24,17,0.9
5,LeBron James,LAL,34,20,7,13,35.9,27.7,10.5,20.9,50.1,2.1,6.5,32.3,4.7,7.4,63.3,1.2,7.2,8.4,10.1,3.9,1.4,0.5,2.0,54.4,14,5,1.0
6,Karl-Anthony Towns,MIN,23,26,9,17,33.0,27.9,10.2,18.3,55.3,2.0,4.5,44.9,5.6,6.8,81.5,3.5,9.5,12.9,3.8,3.7,0.7,1.2,3.8,51.2,21,0,-1.5
7,Andre Drummond,DET,25,32,19,13,34.0,18.3,7.2,12.5,57.6,0.0,0.3,12.5,3.8,5.8,65.2,5.5,11.0,16.6,1.8,1.9,1.9,1.9,3.6,50.5,30,0,7.3
8,Paul George,OKC,29,28,15,13,38.4,29.3,9.2,21.9,41.9,4.2,11.6,36.4,6.7,7.9,85.5,1.1,7.3,8.4,4.3,2.8,2.0,0.4,2.8,50.1,8,1,3.9
9,Nikola Jokic,DEN,24,31,19,12,31.1,19.9,7.8,15.1,51.8,0.9,2.9,30.3,3.4,4.4,77.4,3.0,8.5,11.5,6.6,3.1,1.2,0.6,2.9,46.1,23,4,2.5
10,Bradley Beal,WAS,26,31,10,21,36.7,27.0,9.6,19.7,48.5,2.5,7.3,34.5,5.4,6.5,82.6,1.0,3.9,4.9,6.1,2.7,1.6,0.6,2.5,46.0,5,0,-1.2
11,Nikola Vucevic,ORL,28,29,20,9,31.5,21.1,8.9,17.4,51.3,0.9,2.6,33.3,2.4,2.9,81.2,3.0,9.0,12.0,3.9,1.9,1.1,1.1,1.9,46.0,25,0,6.7
12,Luka Doncic,DAL,20,23,6,17,32.5,22.9,7.6,18.3,41.6,2.3,8.0,28.3,5.4,8.0,68.3,1.4,8.3,9.7,7.1,3.9,1.0,0.5,2.0,45.6,15,6,-5.8
13,Kemba Walker,CHA,29,32,15,17,36.0,27.6,9.5,21.8,43.6,3.2,9.0,35.6,5.3,6.0,88.1,0.8,3.8,4.7,6.4,2.6,1.3,0.2,1.6,44.7,8,0,0.6
14,Devin Booker,PHX,22,24,7,17,35.7,29.5,9.8,20.6,47.7,2.1,6.4,33.1,7.7,8.7,88.5,0.8,4.3,5.0,6.9,4.4,0.8,0.3,3.0,44.6,7,0,-3.0
15,Damian Lillard,POR,28,29,20,9,35.8,24.8,8.2,18.9,43.4,3.2,8.7,36.4,5.2,5.7,92.1,0.9,3.8,4.8,8.0,2.4,1.1,0.3,2.0,44.5,7,0,8.3
16,Kyrie Irving,BOS,27,24,11,13,33.8,24.1,9.0,19.4,46.7,2.5,6.7,38.1,3.5,3.8,91.3,0.8,4.5,5.4,6.9,2.3,1.2,0.6,2.9,44.0,9,1,1.4
17,Rudy Gobert,UTA,27,29,21,8,32.2,17.3,6.3,9.0,70.1,0.0,0.0,0.0,4.7,7.6,62.0,3.9,9.0,12.9,1.6,1.7,0.6,2.6,3.0,43.0,25,0,5.2
18,Trae Young,ATL,20,31,13,18,32.6,23.4,7.7,17.9,42.9,2.5,6.9,36.0,5.5,6.5,85.1,1.0,3.7,4.7,9.2,3.4,0.9,0.1,1.8,42.4,16,1,-2.0
20,Stephen Curry,GSW,31,29,21,8,33.0,24.1,8.2,18.8,43.6,4.9,11.8,41.2,2.9,3.2,89.4,0.6,5.1,5.7,5.0,2.6,1.6,0.4,2.2,41.6,1,0,9.8
21,D'Angelo Russell,BKN,23,29,14,15,31.3,23.9,9.0,21.0,42.9,3.2,9.0,36.0,2.6,3.5,75.2,0.8,3.2,4.1,7.9,3.6,1.3,0.2,1.8,41.5,9,0,-0.2
22,LaMarcus Aldridge,SAS,33,28,17,11,34.0,21.8,8.8,16.7,52.7,0.2,0.8,26.1,4.0,4.8,84.2,3.3,6.6,9.9,2.0,1.5,0.5,1.5,2.3,41.3,15,0,1.7
25,Kawhi Leonard,TOR,28,21,15,6,32.0,24.8,8.8,18.0,48.9,2.0,5.3,37.5,5.1,6.0,85.0,1.1,5.0,6.1,3.6,2.0,1.5,0.2,1.3,40.8,2,0,8.3
26,Ben Simmons,PHI,22,28,16,12,35.4,17.1,6.9,12.7,54.4,0.0,0.2,0.0,3.3,5.2,63.0,2.0,5.7,7.7,7.0,3.5,1.6,0.8,2.8,40.3,10,2,0.0
27,Donovan Mitchell,UTA,22,29,21,8,34.8,25.9,9.2,20.8,44.2,2.8,6.7,41.5,4.7,5.6,82.8,0.9,3.7,4.6,4.6,3.0,1.1,0.4,2.7,39.8,0,0,7.2
28,Kevin Durant,GSW,30,27,18,9,32.9,22.9,8.5,15.0,56.4,1.5,4.7,32.0,4.4,5.3,83.2,0.3,4.6,4.9,5.8,2.2,0.6,1.0,2.0,39.8,3,0,7.6
29,Julius Randle,NOP,24,26,9,17,32.4,24.2,8.8,17.6,49.8,1.5,4.1,36.4,5.2,7.2,72.0,2.4,5.1,7.5,3.5,3.3,0.9,0.7,3.2,39.8,8,0,-3.3
30,DeMar DeRozan,SAS,29,28,17,11,34.1,21.0,8.1,15.6,51.6,0.0,0.1,0.0,4.8,5.7,84.4,0.6,5.0,5.5,6.0,2.5,1.3,0.4,2.4,39.2,3,0,1.1
32,DeMarcus Cousins,GSW,28,24,18,6,26.5,16.9,6.2,12.8,48.4,0.8,3.4,24.4,3.6,5.0,73.1,1.5,7.0,8.6,3.5,2.5,1.4,1.7,3.5,39.0,10,0,1.4
33,Chris Paul,HOU,34,30,22,8,31.4,16.0,5.2,12.4,42.1,2.4,6.5,36.4,3.1,3.4,91.3,0.6,4.4,5.0,8.3,2.3,1.8,0.3,2.4,38.7,12,0,9.0
35,Lauri Markkanen,CHI,22,23,9,14,33.4,20.8,7.0,16.1,43.7,2.0,6.2,32.9,4.7,5.3,89.3,1.9,8.5,10.3,2.0,1.7,0.6,0.4,2.6,37.5,12,0,-1.3
36,Jusuf Nurkic,POR,24,21,14,7,27.5,16.8,6.2,11.9,52.6,0.0,0.2,0.0,4.3,5.2,81.8,3.2,7.1,10.4,3.3,2.3,0.8,1.1,3.9,37.5,12,0,7.4
37,Blake Griffin,DET,30,27,17,10,32.3,21.6,7.1,16.4,43.4,2.7,7.4,36.2,4.7,6.3,73.7,1.3,5.1,6.5,5.4,2.7,0.5,0.3,2.3,37.0,4,1,2.9
38,De'Aaron Fox,SAC,21,31,13,18,31.4,17.0,6.2,13.7,45.2,1.0,2.7,38.6,3.6,4.9,72.5,0.4,3.5,3.9,7.5,2.4,1.5,0.6,2.4,36.9,6,0,1.0
39,Clint Capela,HOU,25,25,20,5,32.5,15.0,6.4,9.3,68.2,0.0,0.0,0.0,2.3,3.5,65.5,3.6,9.2,12.8,1.4,1.2,0.8,1.0,2.2,36.5,16,0,8.4
40,John Collins,ATL,21,27,12,15,30.1,19.7,7.4,14.1,52.8,0.9,2.7,31.1,4.0,5.0,78.7,3.4,6.1,9.5,1.7,1.7,0.4,1.0,3.2,36.2,13,0,-1.9
41,Jimmy Butler,PHI,29,25,14,11,34.4,17.8,5.8,13.1,44.2,0.7,2.3,29.8,5.5,6.3,86.7,2.1,3.6,5.6,4.5,1.4,1.6,0.6,1.6,36.2,1,0,3.4
44,Pascal Siakam,TOR,25,28,20,8,32.6,19.8,7.4,13.9,53.1,1.5,3.6,41.0,3.6,4.6,76.9,1.5,5.3,6.7,3.5,2.2,0.8,0.6,2.9,35.3,7,0,9.5
45,Kyle Lowry,TOR,33,23,17,6,33.5,14.5,4.7,11.3,41.5,2.9,7.4,39.2,2.2,2.8,79.7,0.7,4.7,5.4,7.7,2.7,1.4,0.4,2.7,35.3,7,1,8.4
46,Danilo Gallinari,LAC,30,24,17,7,28.4,21.3,6.5,13.3,48.6,2.3,5.5,40.9,6.1,6.8,90.1,0.6,5.9,6.5,2.8,1.5,0.7,0.5,1.5,35.2,4,0,4.8
47,Al Horford,BOS,33,27,16,11,30.1,15.3,6.3,11.7,54.1,1.0,2.8,35.5,1.6,1.9,86.0,1.7,5.2,6.9,4.9,1.3,1.0,0.9,1.8,35.2,4,1,4.3
48,Khris Middleton,MIL,27,29,21,8,30.8,19.8,7.2,16.4,44.2,2.3,6.1,37.6,3.0,3.6,82.9,0.9,5.4,6.4,4.5,2.3,0.9,0.1,2.0,35.1,5,0,5.9
49,Buddy Hield,SAC,26,31,13,18,32.6,21.5,7.6,17.8,43.0,3.4,8.8,38.5,2.8,3.1,90.5,1.4,3.8,5.2,2.8,1.7,1.0,0.5,2.5,34.8,1,0,0.1
