#,Team,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,Year
15,Denver Nuggets,10,5,5,0.5,49,116.5,43.2,87.5,49.4,12.5,33.5,37.3,17.6,23.7,74.3,10.1,32.6,42.7,27.1,15,8,4.3,4.2,20.8,22.7,3.7,2020
15,Miami Heat,8,4,4,0.5,48,108.5,39.1,81.5,48,12.6,34.9,36.2,17.6,23,76.6,6.1,37.8,43.9,26.8,17.5,7.3,3.6,3.4,20.6,21.6,-1.1,2020
15,San Antonio Spurs,10,5,5,0.5,48.5,111.1,42,94.4,44.5,12.1,30.9,39.2,15,19.4,77.3,9.3,36.1,45.4,25.5,10.8,6.6,5.1,6.3,17.8,19.4,-2,2020
19,Brooklyn Nets,11,5,6,0.455,48.5,118.5,42.3,88.5,47.8,14,36.5,38.4,20,24.7,80.9,8.7,38.2,46.9,25.5,16.4,7.4,5.8,4.1,19.5,21.5,5.5,2020
19,Cleveland Cavaliers,11,5,6,0.455,48.9,100,38.8,86.9,44.7,9.7,27.5,35.3,12.6,19.4,65.3,11,32.8,43.8,23.7,16.6,10.5,4.8,4.8,19.5,18.5,-2.8,2020
19,New York Knicks,11,5,6,0.455,48,100.1,37.5,84.7,44.3,9.5,27.3,34.7,15.5,21.2,73.4,10.6,35.7,46.4,22.2,15.8,6.8,4.8,6.4,20.5,19.7,-5.4,2020
19,Sacramento Kings,11,5,6,0.455,48.5,113.7,41.2,88.3,46.7,11.2,30.8,36.3,20.2,28,72.1,10.5,33.7,44.2,24.6,14.3,6.5,5.6,5.5,20.5,21.7,-7.4,2020
23,New Orleans Pelicans,9,4,5,0.444,48.6,107.1,39,85.6,45.6,10.2,31.8,32.2,18.9,26.6,71.1,11.3,37.1,48.4,23.3,16.7,8.6,3.9,5,17.3,22.4,0.6,2020
24,Memphis Grizzlies,10,4,6,0.4,48.5,105.4,40.7,91,44.7,10.4,31.3,33.2,13.6,17.5,77.7,10.3,35.7,46,26.2,15.2,9.6,5.2,6.1,17.9,17.1,-2.6,2020
25,Houston Rockets,8,3,5,0.375,48.6,112.8,40.3,84.9,47.4,13.3,38.6,34.3,19,24.9,76.4,7.9,34.5,42.4,23.1,15.1,7.3,7,5.4,20.5,21,0,2020
26,Chicago Bulls,11,4,7,0.364,48,116.1,41.9,87.9,47.7,13.4,35.5,37.7,18.9,23.2,81.6,8.4,35,43.4,24.9,17.8,7.5,3.6,4.5,21.5,22.3,-5,2020
27,Minnesota Timberwolves,10,3,7,0.3,48.5,108.8,40.7,91.5,44.5,11.5,34.1,33.7,15.9,21.4,74.3,11.7,33.2,44.9,23.5,14.9,7.9,4.9,5.3,20.9,19.5,-10,2020
28,Washington Wizards,11,3,8,0.273,48,120.5,43.9,91.9,47.8,13,33.5,38.9,19.6,26.6,73.7,9.1,33.7,42.8,27.3,13.5,7.3,3.5,4.4,24.6,22.3,-0.8,2020
29,Detroit Pistons,10,2,8,0.2,49.5,108.8,38.7,92.7,41.7,12.8,38.3,33.4,18.6,23,80.9,11.1,32.7,43.8,23.6,13.5,8.4,4.5,6,19.7,21.4,-6.6,2020
29,Toronto Raptors,10,2,8,0.2,48,111.1,39.3,89.4,44,15.6,42.8,36.4,16.9,21.5,78.6,9.6,33.9,43.5,23.6,14.3,8.4,6,6.6,23.3,19.3,-1.4,2020
