#,Team,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE,POSS,Year
16,Miami Heat,10,5,5,485,95.2,92.7,2.5,56.1,1.13,14.7,29.3,68.7,48.5,17.5,45.2,49.8,89.76,51.3,904,2000
16,Toronto Raptors,10,5,5,480,102.5,98.5,3.9,69.8,1.63,18.2,34.9,71.1,53.1,16,45.7,51,93.7,54,937,2000
19,Boston Celtics,10,4,6,485,97.8,102.2,-4.3,55.9,1.1,14.1,30.8,69.4,48.8,17.3,45.2,50.3,95.7,44.2,966,2000
19,Detroit Pistons,11,4,7,528,96,98.6,-2.6,57.9,1.09,15.3,33.2,68.7,51.5,19.4,45.7,50.3,98.05,47.5,1078,2000
19,Los Angeles Clippers,12,4,8,581,94.9,98.6,-3.7,52,0.91,13.6,36.6,68.8,53.2,20.5,45.2,49,91.08,46.5,1100,2000
19,Orlando Magic,11,4,7,538,94.6,98.8,-4.2,54.4,0.97,14.2,33.8,63.1,47.8,19.9,44.5,48.8,96.94,43.7,1084,2000
19,Seattle SuperSonics,11,4,7,528,98.1,100.9,-2.8,60.8,1.1,15.8,33.5,64.5,49.2,20,46.7,51.2,95.77,48.2,1052,2000
19,Vancouver Grizzlies,10,4,6,480,95.5,93.8,1.7,64.5,1.39,16.8,29.7,70.9,49.9,16.7,44.4,49.1,93.2,51.4,930,2000
25,Milwaukee Bucks,9,3,6,432,101,105.5,-4.6,55.7,1.46,16,28.7,65.1,46.7,14.9,47.8,51.5,92.06,46.9,828,2000
25,Washington Wizards,11,3,8,528,95.5,97.7,-2.2,60.1,1.11,15.8,27.2,70.2,49.2,19.1,46.4,51.3,94.36,48.3,1034,2000
27,Golden State Warriors,10,2,8,490,92.8,101.1,-8.3,59.3,1.14,14.9,34.1,71.5,51.8,18.1,42.5,47,97.96,42.4,999,2000
28,Atlanta Hawks,11,1,10,528,95.3,106.7,-11.4,53.5,0.95,14,32.4,69,49.4,19.8,45.3,50.2,92.55,40.6,1019,2000
28,Chicago Bulls,10,1,9,480,91,107.7,-16.8,61.2,1.14,14.6,32.7,66.2,48.4,17.6,40.5,46,90.55,36.9,907,2000
1,Los Angeles Lakers,10,9,1,485,104.7,96.3,8.4,60.6,1.5,17,29.6,65.7,48.2,15.5,49.2,53.3,95.51,56.3,965,2001
1,Minnesota Timberwolves,10,9,1,490,110,97.9,12.1,64.1,2.11,19.4,33.7,69.8,52.8,13.2,50.2,54.6,90.47,61.3,926,2001
3,Sacramento Kings,11,8,3,528,105.9,94.4,11.6,59.4,1.57,17.3,31.9,72.2,52.4,15.3,49.1,53.1,96.5,56.8,1059,2001
4,Detroit Pistons,9,7,2,432,104.8,93.1,11.6,63.7,1.59,18.4,24.4,70.4,49,15.8,52.1,56.1,93.5,59.7,841,2001
4,Houston Rockets,12,7,5,591,101.2,101.6,-0.5,53.9,1.33,14.8,30.5,70.6,50.6,15,46.4,51.1,89.18,50.5,1100,2001
4,Indiana Pacers,13,7,6,634,105.4,103.2,2.2,63.9,1.63,17.7,31.3,68.3,49.9,15.2,47.7,53,94.41,52.1,1248,2001
4,New Jersey Nets,10,7,3,485,99.2,95.1,4.1,63.8,1.54,17.1,33.3,69.6,51.3,15.7,44.8,49.3,94.96,53.3,960,2001
4,San Antonio Spurs,9,7,2,432,111.1,103,8.1,58.6,1.53,16.5,31.5,67,49.8,14.9,51.7,56.2,92.06,55.9,828,2001
4,Toronto Raptors,12,7,5,576,102.2,99.7,2.5,65.5,1.56,17.4,33.2,65.2,49,15.8,46.9,50.9,93.58,51.8,1125,2001
10,Dallas Mavericks,11,6,5,528,104.4,107.1,-2.6,56.4,1.71,16.4,26.9,69.1,47.5,12.9,47.9,52.4,92.73,47.6,1020,2001
10,Denver Nuggets,11,6,5,533,106.7,105.5,1.2,58.1,1.81,16.5,36.4,67.7,51.2,13.1,45.8,50.1,90.15,48.1,1000,2001
10,Golden State Warriors,12,6,6,581,98.4,99.7,-1.3,60.2,1.1,15,41.5,69.2,54.9,19.6,43,48.1,92.98,48.5,1125,2001
10,Milwaukee Bucks,7,6,1,341,109.8,106.4,3.4,64.8,1.89,18.5,27.3,66.9,47.5,13.6,52,56.7,90.37,51.8,642,2001
10,Portland Trail Blazers,12,6,6,576,105.2,103.9,1.3,63.7,1.6,18,32.4,67,49.7,15.8,48.3,53,90.38,50.7,1082,2001
15,Boston Celtics,8,5,3,384,107.2,102.4,4.8,64.6,1.94,17.9,28.2,73.8,49.9,12.9,49.7,53.5,93.75,50.9,753,2001
15,Charlotte Hornets,10,5,5,480,100.9,103.9,-3,50.7,1.22,14.1,29.3,68.7,49.4,15.4,46.4,51.5,91.6,47.1,914,2001
15,Los Angeles Clippers,11,5,6,538,104.5,103.2,1.3,55,1.26,15.2,34.1,66.4,50.7,16.6,47.1,53,94.75,50.1,1062,2001
15,New York Knicks,12,5,7,576,96.2,98.3,-2.1,61.4,1.27,15.8,28.2,69.9,49.4,16.9,44.9,50.1,90.33,46.9,1083,2001
15,Orlando Magic,11,5,6,538,105.6,102.9,2.7,57.6,1.65,15.9,33,62.6,47.5,13.3,45.7,51.2,94.88,50,1065,2001
15,Philadelphia 76ers,10,5,5,480,97.6,95.6,2,56.8,1.13,15.2,35.3,71,53.1,18.9,44.6,49.4,88.6,50.4,884,2001
15,Phoenix Suns,11,5,6,528,103.2,102.7,0.5,59,1.51,17.4,31.6,70.4,51,16,49.1,52.9,94.77,50.9,1047,2001
15,Seattle SuperSonics,12,5,7,591,103.2,104.3,-1.1,59.9,1.43,16.9,31.9,65.1,48.7,16.5,48.9,52.6,91.98,48.7,1131,2001
23,Utah Jazz,11,4,7,533,102.3,108.3,-6,72.9,1.35,18.9,37,67.5,52.6,20.1,47.9,53.8,92.49,50,1029,2001
24,Atlanta Hawks,11,3,8,533,97,103.8,-6.8,51.9,1.02,14,31.2,68.6,50.1,18.4,45.7,50.7,93.57,45.5,1039,2001
25,Cleveland Cavaliers,11,2,9,528,96.5,107.2,-10.7,63.2,1.44,16.7,28.4,70.8,49,16,44.2,49.2,91.95,43.1,1009,2001
25,Miami Heat,10,2,8,485,90.8,97,-6.2,57.4,1.18,15.7,26,67.6,46.9,17.8,44.8,47.8,89.12,46.2,900,2001
25,Washington Wizards,10,2,8,480,99.1,105.3,-6.2,53.5,1.38,14.7,28.4,69.3,48.1,14.4,44.1,49.7,92.25,45,922,2001
28,Chicago Bulls,10,1,9,480,89.8,107.4,-17.6,66.2,1.28,16.7,28.5,70.8,49.1,17.8,42.3,46.8,92.1,38.9,919,2001
28,Memphis Grizzlies,9,1,8,432,94.6,106.2,-11.6,65.2,1.34,16.5,31.8,67.5,48.5,17.2,44,47.9,94.83,41.7,854,2001
1,Dallas Mavericks,10,10,0,480,109.3,93.7,15.6,57.2,1.64,17.2,27.2,69.8,49.9,14.3,51.4,55.9,94.9,60,947,2002
2,Detroit Pistons,11,8,3,528,95,89.8,5.2,62.7,1.16,16,27.4,72.4,51,18.4,46.8,51.8,89.59,55.9,988,2002
2,Indiana Pacers,9,8,1,437,101.3,93,8.3,64.6,1.41,17.8,30.5,71.7,52.7,17.4,47.4,52.8,94.35,60.1,861,2002
2,New Jersey Nets,11,8,3,528,101.6,93.1,8.5,63.6,1.37,17,31.1,70,50.8,17.1,46.9,52.6,95.27,56.9,1046,2002
2,Seattle SuperSonics,10,8,2,480,104.3,97.1,7.1,64.9,1.78,18.8,30.2,67.7,49.4,14.9,49.5,52.7,90.95,54.9,910,2002
6,New Orleans Hornets,10,7,3,485,103.7,97.9,5.8,59.2,1.54,16.3,33.7,67.5,49.8,14.9,46,50.5,90.71,53.1,914,2002
6,Philadelphia 76ers,10,7,3,490,99.6,95.6,4,62.6,1.46,16.3,34.3,76.1,53.7,15.7,43.6,49.4,95.17,52.6,972,2002
6,Sacramento Kings,11,7,4,528,101.7,95.4,6.3,62.3,1.48,17.7,29,66.7,48.5,16.4,49.1,52.8,98.73,54.1,1085,2002
6,San Antonio Spurs,11,7,4,533,97,91.2,5.9,60.9,1.24,16.1,29.3,68.4,49.4,17.8,47.4,51,93.7,54.6,1040,2002
10,Atlanta Hawks,10,6,4,480,102.7,99.1,3.7,58.2,1.06,16.2,35.2,65.8,51.8,21.1,49.9,55,95.65,53.1,957,2002
10,Boston Celtics,10,6,4,485,99.3,99.6,-0.3,59.9,1.36,15.7,25.5,70,47,15.5,46.8,51.2,95.06,46.7,957,2002
10,Orlando Magic,11,6,5,528,107.7,107.6,0.1,57.7,1.48,16.5,30,66.1,47.8,15.1,49.2,55,96.82,49.2,1066,2002
10,Washington Wizards,11,6,5,528,101.4,95.2,6.2,55.9,1.25,15.3,29.8,68.5,49.8,16.4,46.5,52.6,92.14,54.9,1012,2002
14,Houston Rockets,8,5,3,384,100.7,97.7,3,46.4,1.07,13.2,32.1,69,50.6,16.6,46.2,50.5,90.5,49.3,722,2002
14,Milwaukee Bucks,9,5,4,442,105.8,102.2,3.6,57.1,1.44,16.9,27.3,67,48.3,15.9,52.1,55.5,93.72,52.2,861,2002
14,Minnesota Timberwolves,11,5,6,528,97.3,101.2,-4,60.2,1.39,16.5,27.7,70.7,49.5,16.2,45.5,50.5,96.32,48.4,1061,2002
14,Phoenix Suns,8,5,3,384,91.1,92,-0.8,63.9,1.22,16.5,33.8,67.5,50.6,19.1,42.5,46.5,90.19,51.6,722,2002
18,Chicago Bulls,10,4,6,485,95.9,101.6,-5.8,56.5,1.19,15.2,32.7,72,52,17.6,45.2,48.9,96.25,45,975,2002
18,Los Angeles Clippers,11,4,7,533,98.7,103.1,-4.3,59.8,1.11,15.8,28.5,66.9,48.7,19.2,47.8,52.9,93.25,47.6,1033,2002
18,Portland Trail Blazers,10,4,6,485,98.4,100,-1.6,63.8,1.37,17.2,35.9,64.4,50.2,17.9,46.7,50.2,88.28,48.8,894,2002
18,Toronto Raptors,10,4,6,485,92.7,101.1,-8.4,46.9,0.9,12,31.8,66,48.3,17.7,42.2,47.6,93.43,42.6,945,2002
18,Utah Jazz,11,4,7,528,99,102.4,-3.4,68.5,1.22,17.5,37.9,68.4,53.1,20.6,46.6,51.6,91.82,49.8,1011,2002
23,Golden State Warriors,12,3,9,581,102.8,105.7,-3,58,1.23,15.2,38.8,66.3,52.5,17.4,44.8,50.8,95.26,49,1154,2002
23,Los Angeles Lakers,10,3,7,495,95.3,99.3,-4,62.4,1.54,16.1,32.1,66.6,48.3,14.7,42.2,46.9,92.27,48,955,2002
25,Cleveland Cavaliers,11,2,9,528,88,99,-11.1,58.9,1.03,14.5,33.3,71.8,51.3,19.3,40.1,45.1,95.18,40.7,1046,2002
25,Denver Nuggets,10,2,8,480,85.1,93.6,-8.5,59.4,0.88,14.5,38,69.2,52.4,23.3,40.5,44,89.9,41.1,898,2002
25,New York Knicks,10,2,8,485,96.8,104.2,-7.4,56.8,1.35,15.7,27.5,66.6,46.2,15.7,45.4,49.8,93.18,42.4,941,2002
28,Miami Heat,8,1,7,384,93.4,104.7,-11.3,54,1.36,14.6,31.2,72.1,50.3,14.7,42.8,46.4,88.06,40.3,708,2002
29,Memphis Grizzlies,10,0,10,485,96,106.7,-10.7,58.7,1.15,15.9,29.5,62.9,45.9,18.7,46,50.4,96.54,43,974,2002
1,Indiana Pacers,10,8,2,485,99.3,93.8,5.5,63.4,1.34,16.8,31.5,65.5,48.7,17.6,46.4,50.5,87.69,53.6,883,2003
1,Los Angeles Lakers,11,8,3,538,104,99,5,64.4,1.63,17.6,31.8,71.1,51.4,15.2,47.6,52,95.11,53.5,1063,2003
1,New Orleans Hornets,11,8,3,538,105.7,102.5,3.3,63.8,1.53,17.9,32.8,65.4,49,16.5,50.3,53.8,90.65,51.3,1015,2003
4,Dallas Mavericks,11,7,4,533,105.1,100.3,4.8,61.5,1.79,17.5,32.1,68.2,50.2,13.8,47.8,52,93.07,53.8,1035,2003
4,Detroit Pistons,11,7,4,533,102.8,97.7,5,54.9,1.22,14.8,36.6,67.6,51.8,16.9,45.7,51.6,91.5,53.2,1018,2003
4,Houston Rockets,10,7,3,490,98.8,89.9,8.9,56.7,1.01,14.8,33.9,67.6,51.7,20.1,47,51.8,88.26,56.5,901,2003
4,San Antonio Spurs,12,7,5,586,94.4,89.8,4.6,63.6,1.24,15.5,31.7,68.3,50.4,17.2,42.4,48,91.29,56.7,1116,2003
8,Minnesota Timberwolves,11,6,5,538,98.4,94.7,3.6,63.8,1.6,18.1,30.8,67.7,49.7,15.8,46.6,50,88.1,54.1,987,2003
8,Sacramento Kings,10,6,4,490,107.5,103.7,3.8,71.3,1.98,20.4,32,66.5,49.2,15,49.9,53.8,93.06,53.3,948,2003
8,Seattle SuperSonics,9,6,3,432,104.8,102.9,1.9,53.9,1.35,15.6,31.6,63.9,47.6,15.8,49.9,53.2,93.17,50.3,841,2003
8,Utah Jazz,11,6,5,528,102.7,103.5,-0.8,60.1,1.34,16.5,38.6,67.5,52.9,17.5,45.8,51,89.36,49.1,981,2003
12,Boston Celtics,10,5,5,480,96.9,95.8,1.1,64.7,1.45,17,30.5,67.5,49.2,16.3,45.2,49.7,91.05,52.7,912,2003
12,Denver Nuggets,10,5,5,485,92.2,93.5,-1.2,55.2,1,13,36.4,65.1,50,18,39.4,45.4,95.6,46.5,967,2003
12,Memphis Grizzlies,9,5,4,437,99.3,97,2.2,66.7,1.61,17.4,29.9,64.8,46.9,15.1,45.8,50.4,93.09,50.8,848,2003
12,Milwaukee Bucks,10,5,5,480,104.4,100.5,3.9,61.8,1.68,16.9,33.7,67.1,50.5,14.1,46.3,51.6,93.25,52.8,933,2003
12,New Jersey Nets,11,5,6,528,94.3,93.6,0.7,72.4,1.6,18.3,30.4,67.7,48.4,16.2,43.6,48.4,90.77,52.7,1001,2003
12,Philadelphia 76ers,11,5,6,538,100,99.3,0.7,60.8,1.42,15.9,31.5,64.8,47.8,15.5,44.9,50.2,89.98,50.8,1007,2003
12,Portland Trail Blazers,10,5,5,485,103.3,107.2,-3.9,60.4,1.46,17.1,39.9,68.7,53.5,17,46.7,50.2,87.49,47.4,887,2003
12,Toronto Raptors,10,5,5,490,89.1,96.6,-7.4,63.3,1.17,15.3,31.2,67.6,49.5,18,41,46.4,85.37,45.9,873,2003
20,Atlanta Hawks,12,4,8,586,96.6,100.9,-4.3,57.6,1.06,15.3,30.5,65.2,49.1,19.6,46.8,51.5,93.17,47.4,1136,2003
20,Chicago Bulls,12,4,8,581,93.2,103.5,-10.3,63,1.08,15.9,30.5,68.1,49.6,20.1,45.1,49.7,93.56,43.1,1132,2003
20,Cleveland Cavaliers,11,4,7,533,98,100.3,-2.3,64,1.46,17.6,32.5,71.1,52.4,16.9,46.3,49.9,92.44,50.9,1027,2003
20,Golden State Warriors,10,4,6,485,99.5,99.6,-0.1,58.3,1.28,16.4,29.9,70.6,50.4,17.5,47.7,51.4,91.69,49.3,928,2003
20,Los Angeles Clippers,7,4,3,341,103.8,105.3,-1.6,55.5,1.31,15.1,36.1,67,51.2,16.2,46.1,51,97.55,48.3,692,2003
20,Phoenix Suns,10,4,6,480,98.7,99.6,-0.9,51.6,1.32,14.5,29.9,70,49.6,14.7,45.2,49.9,92.5,48.7,928,2003
20,Washington Wizards,10,4,6,485,98.5,97.5,1,56.3,1.24,15.2,32,66.3,49.1,16.8,45.8,49.9,93.62,48.7,944,2003
27,Miami Heat,11,3,8,533,92,102,-10,49.9,0.93,12.8,32.5,73.8,52.4,18.4,42.7,47.3,90.15,40.2,1000,2003
27,New York Knicks,10,3,7,485,94.5,98.9,-4.4,64.3,1.2,16.8,29.7,72.3,51.9,19.2,45.8,50.4,90.66,47,916,2003
29,Orlando Magic,11,1,10,533,96.4,103.8,-7.4,53.7,1.2,14,31.1,61.6,46,15.8,43.4,48.1,91.05,40.9,1007,2003
1,Seattle SuperSonics,11,9,2,533,111.5,98.8,12.7,56.5,1.48,16.7,34.8,64.3,50.4,15.8,52,55.9,95.01,58,1056,2004
1,Dallas Mavericks,11,9,2,528,109.1,101.9,7.2,55.2,1.2,15.1,35.3,70.2,52.4,17.4,50.5,55.8,90.86,53.3,1000,2004
3,Miami Heat,12,8,4,581,104,99.9,4,49.3,1.29,13.9,33.1,63.4,48.6,14.6,47.1,52.1,95.67,52.3,1161,2004
3,Phoenix Suns,11,8,3,543,106.4,104,2.4,57.1,1.44,16.2,30.7,68.4,50.2,15.3,51.4,55,92.07,53.2,1045,2004
3,San Antonio Spurs,11,8,3,528,104.1,97.3,6.8,63.9,1.49,17.1,33.3,69.3,51.3,16.1,48.2,52.6,91.09,56.8,1006,2004
6,Indiana Pacers,10,7,3,495,102.1,101.2,1,59.3,1.1,15.6,29.5,69.5,50.3,19,48.9,55.1,90.96,51.3,939,2004
6,Utah Jazz,11,7,4,533,108.7,100.6,8.1,66.8,1.6,18.5,35.2,69.3,53.5,16.4,49.6,55.9,89.92,59.6,1001,2004
8,Cleveland Cavaliers,10,6,4,495,103.9,97.8,6.1,63.5,1.54,17.3,31.4,68.7,51,15.6,46.8,52.6,91.68,56.3,946,2004
8,Houston Rockets,12,6,6,586,98.3,98.1,0.3,61.2,1.34,16.6,27.6,69.8,49.5,16.8,47.4,51.9,88.59,49.1,1082,2004
8,Los Angeles Lakers,11,6,5,528,104.7,106.1,-1.4,56.2,1.12,14.9,31.5,66.9,50.4,17.8,49.1,55.3,92.32,48.6,1018,2004
8,Orlando Magic,9,6,3,437,105,101.7,3.3,62.5,1.63,18,30.8,66.8,50,15.3,49.1,53.6,90.34,53.1,821,2004
8,Sacramento Kings,9,6,3,432,98.8,97.5,1.2,54.4,1.14,14.4,34.2,70.3,52.3,17.3,44.5,50.1,98.56,51.5,886,2004
8,Denver Nuggets,10,6,4,485,103.4,104.5,-1,65.2,1.69,17.3,30.3,66.5,48.8,14.2,46,52.2,94.91,52,959,2004
14,Detroit Pistons,10,5,5,485,100.8,102.2,-1.4,63.1,1.46,16.8,30.9,67.3,48.3,16,46,51.1,94.37,48.3,952,2004
14,Los Angeles Clippers,9,5,4,452,102.7,106.1,-3.4,63,1.51,17.1,34.3,67.2,50.5,15.9,47.5,52.3,89.42,50.3,845,2004
14,Minnesota Timberwolves,11,5,6,543,103.6,100.7,2.9,66.3,1.41,18.5,32.4,67.1,50.7,18.3,49.3,54.4,91.27,54,1030,2004
14,Toronto Raptors,11,5,6,528,103.5,100.1,3.4,64.2,1.29,17.2,33.3,66.5,50.2,18.6,48.9,54,93.64,52.8,1029,2004
14,Washington Wizards,11,5,6,528,104.5,105.7,-1.2,54.4,1.5,15.6,33.8,62.8,47.7,14.5,47.8,51.6,92.64,48,1021,2004
14,Boston Celtics,9,5,4,437,103.5,105.3,-1.7,58.6,1.36,15.4,33.6,62.6,47.4,15.7,45.3,51.5,96.11,46.7,874,2004
20,Memphis Grizzlies,8,4,4,389,103.6,97.2,6.5,62.2,1.38,17.5,29.2,68.3,49.9,17.4,50.1,54.8,91.31,56.4,741,2004
20,New York Knicks,9,4,5,432,100.2,103.9,-3.7,58,1.3,15.9,31.3,72,50.4,16.9,46.7,51.3,93.44,45.1,840,2004
20,Philadelphia 76ers,10,4,6,490,98.3,100.8,-2.5,56.8,1.07,14.5,29.9,68.8,49.2,18.2,45.7,51.6,94.24,46.9,959,2004
20,Portland Trail Blazers,9,4,5,432,100.7,100.7,0,56.4,1.31,15.1,33.6,67.8,50.6,15.9,45.3,50.5,89.11,50.7,801,2004
24,Milwaukee Bucks,8,3,5,394,100.8,101.7,-0.9,55.8,1.39,15.4,31.8,68.7,49.7,15.2,45,50,94.96,46.8,777,2004
25,Atlanta Hawks,9,2,7,432,94,107,-13,56.1,1.28,15.1,30.2,66,46.4,16.2,44.6,47.6,91.56,38.3,822,2004
25,Golden State Warriors,10,2,8,485,90.4,98.3,-8,62,1.32,15.4,29.9,70,47.9,16.1,40.8,45,93.67,40.3,944,2004
25,New Jersey Nets,9,2,7,447,89.2,101.6,-12.4,57.9,0.83,13.6,32.1,71.8,52.2,22,41.5,48.3,88.32,41,822,2004
28,Charlotte Bobcats,9,1,8,442,99.2,106.8,-7.6,60.5,1.28,16.1,34.7,65.2,49.5,17.6,46.2,50.4,94.43,43.1,869,2004
28,Chicago Bulls,9,1,8,432,102,108.6,-6.6,68.3,1.65,18.5,37.6,68.9,52.1,16.4,46.1,50.2,88.11,46.3,794,2004
30,New Orleans Hornets,9,0,9,442,93,103.5,-10.5,62.9,1.19,16.2,31.9,70.2,49.2,19.1,44.6,47.5,95.4,38.8,874,2004
1,San Antonio Spurs,11,9,2,533,104.3,96.8,7.5,52.2,1.23,15.7,30.6,70.7,51.7,17.1,50.6,54.4,91.9,55.8,1022,2005
2,Cleveland Cavaliers,10,8,2,485,113,103.4,9.6,52.1,1.3,15.3,37.6,73.9,55.5,16.3,51.1,56.2,91.35,54.9,924,2005
2,Detroit Pistons,9,8,1,432,110.2,102.4,7.8,60.8,1.98,18.3,32.9,70.1,50.9,13.2,50,53.8,88.56,54.4,798,2005
2,Los Angeles Clippers,10,8,2,485,104.8,99.2,5.7,57.7,1.29,16.1,32.2,70.4,52.8,16.9,48.8,55.1,94.42,55.3,956,2005
5,Dallas Mavericks,9,7,2,442,106.5,98.8,7.7,46.2,1.09,13.6,33.2,68.9,51.6,16.6,49.6,54.6,90.84,54.5,835,2005
5,Golden State Warriors,12,7,5,576,100.7,97.8,2.9,59.3,1.34,15.6,27.8,66,46.8,15.7,47.1,51.3,94,50.2,1127,2005
5,Memphis Grizzlies,11,7,4,528,101.7,100,1.7,57.1,1.29,15.5,31.5,68.6,50,16.5,48.6,52.1,88.82,49.4,978,2005
5,Philadelphia 76ers,12,7,5,581,109.7,110.2,-0.5,56,1.7,16.7,29.8,63.8,46.9,13.4,50,55.5,94.35,51.5,1143,2005
9,Denver Nuggets,11,6,5,533,99.1,94.8,4.3,63.6,1.5,17.7,33.1,70.3,51.8,16.7,46,50.1,94.92,55.4,1056,2005
9,Indiana Pacers,9,6,3,432,105.2,102.8,2.4,59.5,1.16,16.1,29.7,66.6,49,18.6,50.7,56,92.22,52.4,828,2005
9,Miami Heat,10,6,4,485,105.4,103,2.3,55.6,1.18,16.1,31.8,68.9,51.5,18.5,52.3,55.7,92.34,52.2,934,2005
12,Milwaukee Bucks,9,5,4,437,101.7,105.8,-4,56.7,1.27,15.1,35,68.1,50.8,16.6,45.5,50.4,94.74,45,860,2005
12,Minnesota Timberwolves,9,5,4,442,105.2,100.7,4.5,62.2,1.72,18.6,27.8,65.9,47.3,15,50.4,53.9,89.16,54,820,2005
12,New Jersey Nets,10,5,5,480,105.6,106.7,-1,62.5,1.42,16.3,36.9,69.1,53.1,16.2,47,52.9,90,50.8,903,2005
12,Seattle SuperSonics,10,5,5,490,105.6,113.6,-7.9,61.3,1.32,16.4,34.2,62.5,47.7,17.3,48.7,54.1,91.89,44.3,939,2005
12,Utah Jazz,12,5,7,581,98,100.2,-2.2,62.1,1.17,15.5,37.9,71.7,53.9,18.9,43.9,48.6,89.43,47,1080,2005
12,Washington Wizards,9,5,4,432,107.3,101.9,5.4,53.2,1.5,15.5,30.9,62.6,47.1,14,49.1,53.3,93,53,835,2005
18,Boston Celtics,9,4,5,442,103.3,104.6,-1.3,63.6,1.37,18,30.3,67.9,49.8,18.2,51.1,55,92.8,51.4,855,2005
18,Chicago Bulls,9,4,5,442,99.3,102.7,-3.4,62,1.33,16.4,33.5,68.6,50.4,17.3,45.8,49.7,92.69,45,852,2005
18,Los Angeles Lakers,10,4,6,485,98.7,100.3,-1.6,56.6,1.27,15.4,30.9,68.8,49.6,16.5,45.9,50.5,93.77,47.7,947,2005
18,New Orleans/Oklahoma City Hornets,10,4,6,485,99.8,102,-2.3,57.5,1.27,15.5,29.5,72.3,49.8,16.6,46,51.2,91.74,49.7,926,2005
18,Phoenix Suns,9,4,5,442,106.8,105.2,1.6,67.6,2.07,20.2,24.9,64.5,45.5,13.7,51.8,55,96.16,53.4,885,2005
18,Sacramento Kings,11,4,7,528,103,103.2,-0.2,65.9,1.48,17.8,29,69.1,49.1,16.6,47.9,53.5,94.45,50.1,1037,2005
24,Charlotte Bobcats,11,3,8,543,99.3,100.7,-1.4,58.1,1.39,14.9,30.9,66,47.3,14.5,43.1,49.4,94.23,49,1067,2005
24,Houston Rockets,10,3,7,480,96.2,100.6,-4.4,53.4,0.99,13.6,30.5,68.1,50.1,18.2,44.6,50.2,87.1,47,872,2005
24,New York Knicks,10,3,7,485,94.2,96.8,-2.6,55.2,0.98,14.4,34.5,70.9,52.3,20.1,44.8,48.9,92.59,47.6,936,2005
24,Orlando Magic,9,3,6,437,98.2,104.1,-5.9,51.3,0.97,13.4,34.4,70.9,52.6,18.6,45.2,50.7,85.95,46,784,2005
24,Portland Trail Blazers,8,3,5,384,97.7,104.8,-7,52.7,0.99,14.3,33.5,66.2,50.3,19.8,47.1,50.9,88.63,44.3,708,2005
29,Toronto Raptors,10,1,9,485,102.3,111.8,-9.5,55.5,1.36,15.6,28.5,67.2,46.9,15.5,48.2,52.4,94.47,41.9,955,2005
