#,Team,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE,POSS,Year
1,Philadelphia 76ers,10,10,0,480,103.1,91.1,12,59.3,1.24,16.1,33,66.2,50.6,17.9,47.7,53.4,93.53,61.7,934,2000
2,Dallas Mavericks,12,8,4,576,98.5,101,-2.5,53.8,1.22,15,27.4,66,46.8,16.3,47.1,51.7,93.54,48.4,1124,2000
3,Los Angeles Lakers,11,7,4,533,106.1,102.9,3.3,59.8,1.49,17.3,33.4,69.1,51.4,16.4,50.3,53.5,91.36,52,1013,2000
3,New York Knicks,11,7,4,533,96.7,94.5,2.1,52.6,1.15,14.6,28.3,70.7,49.8,16.9,45.9,50.8,88.98,50.8,990,2000
3,Phoenix Suns,10,7,3,480,99.3,91.4,7.9,65.2,1.24,17.7,33.2,69.1,51.5,20,48.1,52.5,96.15,56.7,960,2000
3,Portland Trail Blazers,12,7,5,581,101.6,99.4,2.3,63.4,1.36,17.9,33.1,68.2,51.4,18.4,49,53.3,90.88,54.1,1104,2000
3,Sacramento Kings,10,7,3,500,102.5,93.6,8.9,66.4,1.58,18,29.6,68.2,48.9,15.8,48.1,53.1,94.61,57.8,989,2000
3,San Antonio Spurs,10,7,3,485,99.3,94.8,4.5,58.7,1.24,15.9,30.2,71.7,51.8,17.4,47.5,52.5,93.28,53.7,944,2000
3,Utah Jazz,10,7,3,485,105.3,98,7.3,71.1,1.49,19.2,32.4,70.3,52.2,18.2,50.5,55.1,91.05,56.2,923,2000
10,Charlotte Hornets,12,6,6,581,98,94.9,3.1,62.1,1.26,15.8,32.7,69,50.9,17.4,44.8,50.2,91.04,53.5,1103,2000
10,Cleveland Cavaliers,9,6,3,442,95.9,98,-2.1,60.6,1.07,16.5,32.8,67.7,51.1,21.4,48.1,52,93.04,49.6,857,2000
10,Denver Nuggets,11,6,5,533,101.6,104.9,-3.3,66.1,1.56,17.6,31.9,66.5,48.8,15.9,46.9,51.1,94.11,47.4,1047,2000
10,Houston Rockets,11,6,5,528,103.1,99.8,3.3,55.5,1.14,15.3,30.1,68.2,49.3,18.1,48.4,54.1,90.95,51.8,999,2000
10,Minnesota Timberwolves,10,6,4,490,102.6,100,2.6,60.4,1.46,17.5,31.7,67.6,49.9,16.8,49,52.8,92.28,52,941,2000
10,New Jersey Nets,10,6,4,480,99.2,96.6,2.5,61.7,1.53,16.8,30.2,63.8,46.5,15.2,46.7,50.6,94.7,52.4,949,2000
16,Indiana Pacers,9,5,4,432,99,96.3,2.8,61.2,1.3,16.2,32,71,50.8,17.3,46.6,51,92.94,51.5,837,2000
