#,Team,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,Year
1,Philadelphia 76ers,20,16,4,0.8,48,93.1,34.1,77.3,44.1,2.8,9.8,28.2,22.2,30.3,73.4,12.1,31.9,44,19.4,16.5,8.8,6.1,6.3,22.1,0,7.3,2000
1,Utah Jazz,20,16,4,0.8,48.3,98.5,37.1,75.9,48.8,3.9,10.1,38.3,20.5,28.7,71.6,10,29.4,39.4,26.2,16.1,8.3,6.2,5.8,26.3,0.1,9,2000
3,Sacramento Kings,18,14,4,0.778,49.1,100.2,37.8,84.9,44.6,5.3,15.8,33.3,19.3,25.1,76.8,12.2,32.2,44.4,23.6,15.7,10.2,5.4,5.2,21.3,0,10.1,2000
4,Phoenix Suns,19,13,6,0.684,48.8,94.5,36.1,81.9,44,5.1,14.8,34,17.4,23.7,73.2,11.6,30.7,42.3,23.3,16.7,10.3,5.7,5.4,23.8,0.1,5.6,2000
5,Los Angeles Lakers,22,15,7,0.682,48.5,102,39.8,83.7,47.5,5.6,15.5,36,16.9,25.5,66.3,14,30.8,44.9,24.1,15.4,6.5,7.4,4.1,22.4,0,4.1,2000
6,Dallas Mavericks,22,14,8,0.636,48,95.9,36.6,80,45.7,6.1,16.2,37.9,16.6,21.2,78.2,10.5,30.1,40.6,19.6,14.7,6.7,6,4.2,23.8,0,2.7,2000
6,New York Knicks,22,14,8,0.636,48.2,87.9,33.4,76.3,43.7,4.5,13.5,33.4,16.6,20.3,82.1,9.7,30.5,40.3,17.1,14.2,7.1,4.3,4.5,23.4,0.1,3.9,2000
6,Portland Trail Blazers,22,14,8,0.636,48.2,94.1,36,77,46.7,4.4,12.1,36.3,17.8,23,77.6,11.3,29.8,41.1,22.6,16.6,9,6.4,3.7,22.6,0.1,3.8,2000
9,Cleveland Cavaliers,19,12,7,0.632,48.5,90.1,35.3,77.4,45.5,2.8,7.9,35.1,16.7,22.7,73.8,12.4,30.5,42.8,21.4,18.7,7.8,6.5,6.1,24.5,0,-1.4,2000
9,San Antonio Spurs,19,12,7,0.632,48.3,93.6,34.5,77.4,44.6,4.5,11.1,40.5,20.2,27.7,73,10.9,32.3,43.2,20.7,15,7.6,6.3,6.6,19,0,5.7,2000
11,Minnesota Timberwolves,20,12,8,0.6,48.5,97.3,37.9,82.9,45.7,4.2,11.6,35.9,17.3,21.7,79.7,12,29,40.9,23.3,14.6,8,5.8,4.2,23.3,0.1,2.1,2000
12,Charlotte Hornets,22,13,9,0.591,48.5,90.9,33.2,76.7,43.2,4,12,33,20.6,27.8,74.1,12.8,30.7,43.5,22,15.8,7.4,6,4.7,21.9,0,3.9,2000
13,Houston Rockets,20,11,9,0.55,48.3,94.8,34.2,76,45,5.9,16.3,35.9,20.7,26.5,77.9,10.8,27.8,38.6,19.1,15.8,8.3,4.4,4.9,21.4,0,1.3,2000
14,Indiana Pacers,20,10,10,0.5,48.5,92.8,35,79.1,44.2,5,15,33.1,17.9,23.7,75.5,11.5,31.9,43.3,20.6,16.6,8.3,5.5,5.6,23.2,0.1,0.9,2000
14,Toronto Raptors,20,10,10,0.5,48.3,94.7,35,81.8,42.7,4.2,13.2,31.9,20.6,27.8,74.2,13.4,30.9,44.3,23.4,14.1,6.5,5,6.2,20.6,0.1,1.6,2000
16,Miami Heat,21,10,11,0.476,48.2,87.1,31.2,74.2,42,5.2,14.6,35.8,19.5,24.8,78.8,10.5,28.3,38.8,17.8,15.5,8.5,4.7,5.7,23.1,0,0.5,2000
17,Denver Nuggets,22,10,12,0.455,48.7,95.9,35.4,82.9,42.7,5.4,16.3,33,19.7,27.4,71.9,12.9,30.8,43.7,22.5,14.5,6.6,6.6,6,24,0,-4.5,2000
17,Seattle SuperSonics,22,10,12,0.455,48,98.8,36.9,81.3,45.4,5.4,15.9,34.1,19.7,26,75.8,12.5,30.6,43.1,21.1,16.7,8.2,5.5,6.6,22.4,0,-1,2000
19,Boston Celtics,20,9,11,0.45,48.8,95.1,33.6,79.7,42.2,6.8,17.5,39,21.1,29.1,72.5,11.4,30.9,42.3,19.5,16.8,9,4.3,6.2,24.4,0,-2,2000
19,Milwaukee Bucks,20,9,11,0.45,48,95.7,36.1,81.1,44.5,6.3,18,35.1,17.3,22.8,76,12.3,28.6,40.8,21,14.3,8.2,4.7,5,25.8,0.3,-1.2,2000
