#,Team,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,Year
19,Orlando Magic,20,9,11,0.45,48.8,94.3,35.3,82.7,42.7,4.8,14.5,32.8,18.9,26.9,70.3,13.6,29,42.5,20.8,18.3,8.8,6.4,5,25.4,0.1,-0.4,2000
22,Detroit Pistons,21,9,12,0.429,48,94.7,36.2,81.5,44.4,4.4,13,34.1,17.9,24.7,72.4,12.7,30.9,43.6,20.1,18,8.2,4.7,4.4,25.5,0,-2.6,2000
23,Vancouver Grizzlies,20,7,13,0.35,48.8,88.8,33.4,80,41.8,3.6,11.1,32.6,18.4,24,76.6,11.7,30.7,42.4,21.7,16.6,8,3.8,6.9,22.6,0.1,-2.9,2000
24,New Jersey Nets,21,7,14,0.333,48,87,32,77.7,41.1,3.4,10,34.4,19.7,27.4,71.8,10.9,28.4,39.2,19.5,15.9,8.9,5.5,6.3,24.4,0.1,-5.7,2000
25,Golden State Warriors,21,6,15,0.286,48.7,94.7,36.3,86.1,42.1,3.5,11.3,31.1,18.6,27.2,68.3,15,29.7,44.7,22,17,8.5,5.5,6.5,22.9,0,-7.4,2000
26,Los Angeles Clippers,22,6,16,0.273,48.7,87.1,32.9,78.3,42,3.9,13.5,29,17.4,26.4,65.9,13.7,32.1,45.8,16.6,18.5,5.7,5.7,5.8,23.7,0,-5.4,2000
27,Atlanta Hawks,20,4,16,0.2,48,87.6,32.5,77,42.2,4.5,13.2,34.2,18.1,24.3,74.3,12.3,26.8,39.1,16.7,18.1,8.6,4.6,5.9,25,0.2,-6.8,2000
28,Washington Wizards,21,4,17,0.19,48,89.6,33,77.2,42.7,2.9,9.3,30.6,20.8,27.6,75.5,10.6,30.2,40.8,20,17.7,7.4,5.5,6.5,25.8,0.1,-5.6,2000
29,Chicago Bulls,20,2,18,0.1,48,83,31.2,78.4,39.7,3.1,9.7,31.6,17.7,24.3,72.6,12.6,27,39.6,18.5,16.4,7.8,5.4,6.4,24.9,0,-13.8,2000
1,Los Angeles Lakers,20,17,3,0.85,48.3,100.8,38,82.5,46.1,5.2,16.3,31.9,19.6,29.6,66,13.3,31.9,45.2,22.9,13.4,8.5,7.7,4.6,22,0.1,10.1,2001
2,San Antonio Spurs,20,16,4,0.8,48.3,101.4,36.2,78.4,46.1,7.7,17.3,44.5,21.4,29.5,72.7,11.9,32,43.9,20.6,14.6,6.7,7.3,4.8,19.9,0,8.6,2001
3,Minnesota Timberwolves,21,16,5,0.762,48.5,100.8,40.8,87.1,46.8,3.8,10,38.1,15.4,19.3,79.8,13.7,31.9,45.6,26.5,13.1,7.6,6.2,5,21.7,0,8,2001
4,Sacramento Kings,24,17,7,0.708,48.4,100.5,38.1,84.6,45.1,4.6,13,35.1,19.6,27.1,72.4,12.5,33.5,45.9,22.5,14,8,4.5,5.5,19.2,0.2,5.4,2001
5,Detroit Pistons,20,14,6,0.7,48,97.9,36.3,76.6,47.4,7.9,20,39.3,17.6,22.7,77.5,8.4,29.4,37.8,22.8,14.9,7.9,6.7,3.8,21.8,0.1,6,2001
6,New Jersey Nets,21,14,7,0.667,48.7,95.2,37,86.6,42.8,5,14.8,33.8,16.1,23.1,69.9,13.7,32.7,46.3,24.4,14.4,8,7.3,5.6,20.1,0.1,4.4,2001
7,Boston Celtics,20,13,7,0.65,49,96.8,35.3,85.2,41.4,8.8,24.4,36.1,17.5,23.6,73.9,13,32.7,45.7,21.2,12.9,9.2,4,6,20.4,0,4.9,2001
8,Milwaukee Bucks,19,12,7,0.632,48.3,93.4,35.4,78.3,45.3,7,19.4,36,15.6,20.9,74.6,9.9,29.9,39.8,21.9,14.4,9.3,4,4.4,20.7,0.1,-0.1,2001
9,Dallas Mavericks,23,14,9,0.609,48.2,100.7,37.9,83.2,45.5,6.2,18,34.6,18.7,23.3,80.3,11,29.9,40.8,21.8,11.4,6.8,4.7,4.8,22.7,0.2,1.9,2001
10,Phoenix Suns,24,14,10,0.583,48.4,99.6,39.6,84.8,46.7,4.8,14.2,33.5,15.7,20.1,77.8,11.9,31.3,43.2,23,14.5,9.3,5.3,5.8,22.6,0.1,4.4,2001
11,Indiana Pacers,24,13,11,0.542,48.6,98.4,37.3,83.2,44.9,4.6,12.7,36.4,19.1,24.8,77.3,11.9,32.1,44,25,15,7.5,5.8,5.3,23.1,0.2,0.4,2001
12,Los Angeles Clippers,23,12,11,0.522,48.4,97.3,36.3,80.6,45.1,4.3,12.6,33.9,20.4,26.6,76.6,12.3,31.3,43.6,20.7,16.2,6.6,7.6,5.7,22,0.2,2.4,2001
12,Toronto Raptors,23,12,11,0.522,48.2,93.4,36.3,85,42.8,6.2,17.3,35.8,14.6,20.4,71.4,14.6,28.9,43.5,22.9,14.3,9.3,7.9,5.4,21,0.1,0.3,2001
14,Charlotte Hornets,22,11,11,0.5,48,94.3,35.7,80.9,44.1,4.8,12.6,37.8,18.1,24,75.6,13,29.5,42.5,20.4,14.7,7.2,5.2,6.1,22.2,0.1,-1.6,2001
14,Orlando Magic,24,12,12,0.5,48.4,103.4,38.1,85.6,44.5,7.3,19.5,37.3,20,25.6,78.2,13.1,30.4,43.5,22,13.3,7.5,5.8,5.1,22.3,0.1,5.5,2001
16,New York Knicks,23,11,12,0.478,48.2,88.1,33.1,77.5,42.8,4.4,14.5,30.3,17.5,23.5,74.4,10.7,31.7,42.4,19.8,14.9,6.4,3.3,4.9,22.3,0.2,-1.9,2001
16,Utah Jazz,23,11,12,0.478,48.7,97.4,35,76.8,45.6,3,9.6,31.4,24.3,31.7,76.7,13.1,28.7,41.8,24.8,17.7,8.5,7,6.6,24.1,0.1,-1.1,2001
18,Portland Trail Blazers,21,10,11,0.476,48,94.7,36.1,78.6,45.9,4.2,13.3,31.8,18.2,24,75.8,12.2,28.4,40.7,23.1,14.5,7.9,4.4,5.2,21,0,0.3,2001
19,Washington Wizards,22,10,12,0.455,48.2,90.4,35.2,81.9,43,2.9,8.2,35.6,17.1,21.6,79.4,11.7,30.5,42.1,19.8,12.8,6.7,4.4,5.2,21.3,0,-2.3,2001
20,Cleveland Cavaliers,22,9,13,0.409,48.2,91.3,34.2,78.7,43.4,4.9,12.5,39.1,18,22.7,79.4,10.5,31.8,42.3,22.5,14.8,6.1,6,6,20.8,0.2,-4.4,2001
21,Seattle SuperSonics,25,10,15,0.4,48.8,96.2,36.8,82.7,44.6,6.4,17.5,36.8,16.1,21.3,75.6,12.2,27.4,39.6,22,14.6,7.7,3.8,5.7,22.4,0.1,-3.3,2001
22,Atlanta Hawks,22,8,14,0.364,48.2,94.9,35.6,79.6,44.7,4.8,14,34.4,18.9,24.3,77.6,11.3,30.2,41.5,19,16,7.9,4.1,5.9,21,0.1,-4.7,2001
22,Denver Nuggets,22,8,14,0.364,48.5,93.6,36.1,86.8,41.6,5.6,17.7,31.9,15.8,20.9,75.8,14.6,29.1,43.7,21.6,12.4,6.7,6,7.1,22.2,0.2,-3.2,2001
22,Philadelphia 76ers,22,8,14,0.364,48,85.8,33.1,79.1,41.8,2.7,9.6,28.3,16.9,22.1,76.4,14,31.3,45.4,18.7,16.7,7.7,5.2,6.3,19.3,0.1,-1.7,2001
25,Golden State Warriors,23,8,15,0.348,48.2,92.7,34.1,82.9,41.1,3.6,10.3,35.2,20.9,29.6,70.5,17.6,30.5,48,20.3,18,7.4,6.3,7.5,22.1,0.2,-5.7,2001
26,Houston Rockets,24,7,17,0.292,48.8,89.4,33.1,80,41.4,5.8,17.5,33.3,17.4,23,75.7,12.3,29.9,42.2,18,14.8,7.2,4,5.4,17,0.1,-5.7,2001
27,Memphis Grizzlies,21,5,16,0.238,48,88.9,33.9,81.6,41.5,5.4,16.7,32.3,15.7,22.3,70.3,12,29,41,21.9,16,9.2,5.9,6.1,19.9,0.1,-8.2,2001
28,Chicago Bulls,21,4,17,0.19,48,83.4,32,76.1,42,2.5,8.8,28.3,17,24.4,69.6,10.2,29,39.2,21.8,16.2,8,3.9,5,19.7,0,-12,2001
28,Miami Heat,21,4,17,0.19,48.7,84.3,32.8,76.5,42.9,3.8,10.4,36.5,14.9,21.9,68,10.7,29.7,40.4,19.8,15.4,5.9,6,4.3,22.9,0.1,-4.9,2001
1,Dallas Mavericks,22,19,3,0.864,48,105.5,39,84.2,46.3,8,19.3,41.4,19.5,23.4,83.5,10.5,33.1,43.6,22,12.5,9,5.3,4.2,21,0.1,12,2002
2,Indiana Pacers,21,16,5,0.762,48.7,98.3,36.8,80.8,45.5,3.9,10.2,37.9,20.9,27,77.3,12,32.6,44.6,23,16.3,8,5.4,6.4,24.6,0.1,5.6,2002
3,Sacramento Kings,24,18,6,0.75,48,99.3,38.4,83.3,46.1,5.6,15.8,35.4,17,23.9,70.9,11,31.8,42.7,23.6,15.2,9.5,6.3,4.7,20,0,7.3,2002
4,New Orleans Hornets,23,16,7,0.696,48.9,95.3,35.7,81.3,43.9,5.4,14.1,38.6,18.6,24.7,75.2,12.5,28.5,41,22.1,13.9,9,4.2,5,21,0.1,4.1,2002
5,New Jersey Nets,22,15,7,0.682,48.2,98.1,36.5,81.7,44.7,5.2,13,40.4,19.9,26,76.5,11.6,32,43.5,23.2,15.8,9.2,6.3,5.7,21.1,0,8,2002
5,Philadelphia 76ers,22,15,7,0.682,48.5,95,35.9,82.4,43.6,3.4,11,31.1,19.7,25.6,77.1,12,30.2,42.3,21.3,14.9,10.3,4,7.4,22.5,0.1,3.5,2002
7,Boston Celtics,21,14,7,0.667,49,97,34.2,82.5,41.5,9.3,27.8,33.4,19.2,26.3,73,11.4,31.3,42.7,19.6,14.4,10.3,4.2,4.8,22.4,0,2.2,2002
7,Detroit Pistons,21,14,7,0.667,48,86.4,31.8,74,43,6,16.7,35.6,16.9,23,73.3,10.3,30.3,40.6,20.1,14.6,6.8,6.3,4.4,22.7,0.2,2.9,2002
9,Houston Rockets,20,12,8,0.6,48.3,90.5,34.3,78.2,43.9,4.3,11.9,36.1,17.6,23.8,74.1,12.3,32.2,44.5,18.4,16,7.1,6.3,5.1,18.5,0.1,3.3,2002
10,San Antonio Spurs,22,13,9,0.591,48.2,92.1,34.2,77.3,44.3,6.3,17,37,17.4,25.8,67.5,11.8,32.8,44.6,19.2,16.9,7.5,7.3,5.3,21.2,0.1,4.1,2002
11,Minnesota Timberwolves,23,13,10,0.565,48.2,95.8,37.2,83.3,44.7,2.7,7.3,36.9,18.7,25.1,74.2,12.5,31.8,44.3,23.4,14.5,6.5,5.9,5.8,21.7,0.1,-0.3,2002
12,Seattle SuperSonics,22,12,10,0.545,48.5,94.5,37.4,83.3,44.9,5.2,13.9,37.6,14.6,20.3,72,11.8,29.3,41.1,23.1,12.4,9,3.8,5.8,20,0,0.8,2002
12,Utah Jazz,22,12,10,0.545,48,94.2,34.5,74.7,46.2,2.7,7.4,37,22.4,29.7,75.5,13.2,29.5,42.6,24.5,18.6,7.9,5.5,5.3,23.7,0,3,2002
14,Phoenix Suns,21,11,10,0.524,48.2,87.9,34.8,84.3,41.3,3.4,12,28.6,14.9,20.4,72.9,14.6,30,44.5,19.6,17.1,8.1,5.6,6,21.9,0,-1.9,2002
15,Orlando Magic,23,12,11,0.522,48.2,98.5,36,82.6,43.6,6.3,17.3,36.1,20.1,24.9,80.8,12,30.2,42.2,20.5,14.9,7.3,4.2,4.5,22.8,0.1,-1.9,2002
16,Portland Trail Blazers,20,10,10,0.5,48.3,90.3,35.2,79.1,44.5,4.3,12.6,34.3,15.6,22.2,70.3,12.5,28.9,41.3,22.7,15.5,8.3,4.3,5.4,20.2,0,2.1,2002
17,Atlanta Hawks,22,10,12,0.455,48.9,96.2,35.4,79.2,44.7,5.3,15,35.3,20.1,25.6,78.5,13.1,31.7,44.8,21,19,7.8,6.3,6.2,22.8,0.1,-2,2002
18,Milwaukee Bucks,21,9,12,0.429,49.2,99.8,37.4,82,45.6,7,18,38.5,18,24.4,73.7,11.2,29.8,41,21.7,13.8,8.4,5.2,4,23.5,0.1,0.5,2002
18,Washington Wizards,21,9,12,0.429,48,90.3,33.6,77,43.6,3.1,10.3,30.4,20,26,76.8,11.3,30,41.3,19.1,15,7.8,4.7,4.4,21.3,0,1.2,2002
20,Los Angeles Clippers,22,9,13,0.409,48.5,93.3,33.7,76.4,44.1,4.5,14.5,30.9,21.3,27.8,76.6,10.6,30.8,41.4,20,17.3,7.1,6.2,4.8,22.2,0,-3.1,2002
21,Los Angeles Lakers,23,9,14,0.391,48.9,94.6,36,84.7,42.5,5.1,16.4,31.3,17.6,23.9,73.5,13.3,31.6,44.9,22.4,15.6,8.3,5.6,4.4,23.4,0,-2.1,2002
22,Golden State Warriors,21,8,13,0.381,48.2,99.2,34.8,82.6,42.1,5,14.1,35.1,24.7,31.6,78.3,16.7,31,47.7,20.9,17.2,7.9,7,6,23.5,0,-0.6,2002
23,Toronto Raptors,21,7,14,0.333,48.2,88.5,33.2,81.5,40.7,4.8,15.3,31.5,17.3,23.8,72.8,12.7,29,41.7,17,14.8,8,4.8,4.9,21.5,0,-6.4,2002
24,New York Knicks,19,6,13,0.316,48.8,92.6,35.5,82.1,43.3,5.8,16.5,35,15.7,20.1,78.5,11.1,29.2,40.3,21.1,15.2,6.9,3.7,4.4,24.8,0.1,-2.7,2002
25,Chicago Bulls,22,6,16,0.273,48.2,92.6,35.7,82.2,43.4,3.2,10.7,30.2,17.9,25.9,69.2,12.9,29.7,42.6,20.4,17,7.7,5,5.7,23,0.1,-7.1,2002
25,Denver Nuggets,22,6,16,0.273,48,79.8,31.4,80.3,39.1,3.1,10.9,28.9,13.8,20.2,68.5,14.2,27.7,41.9,19.1,19.8,8.9,4.8,7.7,25.7,0.1,-7.9,2002
27,Miami Heat,21,5,16,0.238,48.5,82.8,32.5,81.5,39.9,4.5,14.6,31,13.2,17.9,73.9,12.8,30.5,43.2,18.1,13.8,5.8,3.6,5.3,23.6,0,-6.7,2002
28,Memphis Grizzlies,23,5,18,0.217,48.7,94,35.7,79.9,44.7,4.7,13.4,35,17.9,23.9,74.9,11.4,28.7,40.1,21.9,17.6,8.3,6.8,5.2,21,0,-6.2,2002
29,Cleveland Cavaliers,23,4,19,0.174,48.4,88.8,33.3,81.4,40.9,2.6,7.7,33.3,19.7,27.1,72.6,13.2,29.5,42.7,19.3,18.1,8.2,6.2,6.3,22.6,0,-11.5,2002
1,Los Angeles Lakers,22,18,4,0.818,48.5,101.9,37.1,80,46.4,4.1,12.5,32.6,23.6,33.4,70.8,10.5,32.4,42.9,24.5,14.4,8.6,5,3.4,21.9,0,7.9,2003
2,Indiana Pacers,23,18,5,0.783,48.4,89.6,34.1,78,43.7,5.3,14.2,37.3,16.1,21.8,73.7,12,30.2,42.2,20.9,15.1,8.5,5.5,6.4,21.1,0.1,6,2003
3,Sacramento Kings,20,15,5,0.75,48.8,104.6,39.6,84,47.1,6.6,16.1,40.7,18.9,23.7,79.7,11.6,30.4,42,27.7,13.8,8,4.7,5.9,20.9,0.1,8,2003
4,New Orleans Hornets,24,17,7,0.708,48.4,92.8,34.6,82.7,41.9,8,23,34.8,15.6,21.8,71.4,13.8,29.7,43.5,21.7,14.4,9.8,3.5,5.3,20.8,0.1,3.7,2003
5,Dallas Mavericks,22,14,8,0.636,48.2,101.2,38.6,88.4,43.7,5.9,18.5,31.8,18.1,23.2,78.1,15,31.9,46.8,22.1,12.5,8,4.5,5.4,20.6,0,4.6,2003
5,Denver Nuggets,22,14,8,0.636,48.2,97.3,34.8,83.1,41.9,5,13.5,37.5,22.6,29.5,76.7,15.2,30.3,45.5,21.4,17.1,9.5,8,6,22.4,0,3.4,2003
7,Houston Rockets,21,13,8,0.619,48.7,87.2,32.2,74.9,43,6.1,16.5,36.9,16.7,22.1,75.3,11.2,31.3,42.5,17.5,17,6.6,6.1,5,22.9,0,3.1,2003
8,Minnesota Timberwolves,22,13,9,0.591,48.7,92.4,37.5,81.2,46.2,3.6,10.5,34.2,13.8,17.8,77.6,9.7,31.3,41,23,12.9,6.9,6.1,3.4,21.6,0,3,2003
8,Toronto Raptors,22,13,9,0.591,48.7,84.5,31.6,76.2,41.5,5,13.6,36.8,16.3,21.2,76.9,10.7,28.9,39.6,20,14.8,6.8,4.9,4.3,20.3,0,-2.7,2003
10,Detroit Pistons,24,14,10,0.583,48.4,89.6,32.4,77.4,41.8,3.3,9.7,33.5,21.6,27.9,77.6,13.3,29.2,42.5,18.4,15.7,8.2,6.6,5.3,21.3,0,2.6,2003
10,San Antonio Spurs,24,14,10,0.583,48.4,90.5,33.4,79.8,41.8,4.5,13.6,33,19.3,27.5,70,12.7,33.9,46.5,20.7,14.9,8.2,6.7,5,21,0,5.9,2003
12,Memphis Grizzlies,21,12,9,0.571,48.7,95.1,35.6,83.7,42.5,5.8,17.6,32.7,18.2,25.3,72.1,13.4,28.8,42.2,23.2,14.5,9.6,6.7,6.6,23,0,0.7,2003
13,Utah Jazz,22,12,10,0.545,48.2,92.5,34.7,77,45.1,2.5,8.6,29.6,20.6,26.9,76.5,14,28.1,42.1,21.4,16.2,6.9,6.1,5.9,24.6,0,1.1,2003
14,Philadelphia 76ers,23,12,11,0.522,48.4,88.6,32.5,77.2,42.1,3.9,11.2,34.6,19.7,26.2,75.2,12,27.8,39.8,19.7,14.8,9.6,4.3,6.8,20,0,-0.4,2003
15,New Jersey Nets,22,11,11,0.5,48,89.7,33.9,78,43.5,3.8,11.3,33.7,18,23.4,77.2,10.6,28.7,39.3,24.3,14.5,8.8,4.5,5,21.3,0.1,2.2,2003
15,Portland Trail Blazers,20,10,10,0.5,48.5,88.8,35.3,81.6,43.3,4,12.3,32.2,14.3,19.4,73.5,14.7,28.3,43,21.7,14.4,7.3,4.2,4.9,18.7,0.1,-2.8,2003
15,Seattle SuperSonics,20,10,10,0.5,48,94.6,34.7,80.1,43.3,9.3,23.2,39.9,16,22.3,71.7,11.8,26.9,38.6,20,15,9.1,5.5,5.2,21.7,0,-1.3,2003
18,Boston Celtics,23,11,12,0.478,48,94.4,35.4,79.1,44.8,6.1,18,34.1,17.4,23.3,74.8,10.7,31.8,42.5,22.2,15.6,8.8,4.9,5.1,23.7,0,1.1,2003
18,Milwaukee Bucks,23,11,12,0.478,48.4,95.6,35.5,82.3,43.1,4.7,14.2,33,20,26.3,75.9,12.8,30.8,43.6,22.6,14.2,7.4,5.7,5.3,20.8,0,1.9,2003
20,Golden State Warriors,21,10,11,0.476,48.5,92.6,35.8,80.3,44.5,4.9,15.9,30.9,16.1,23,70,12,31.7,43.7,21.1,15,6.5,3.6,4.8,21.1,0,0.5,2003
21,Los Angeles Clippers,18,7,11,0.389,48.3,94.2,33.8,82.9,40.8,4.8,15.2,31.5,21.8,27.6,78.9,14.1,30.4,44.6,19,15.6,6.7,4.8,5.5,23.4,0.1,-4.6,2003
22,Phoenix Suns,22,8,14,0.364,48,92.1,35.4,81,43.7,4.6,14.1,32.9,16.7,21.8,76.7,10.8,30,40.8,20.1,14.8,8.5,5.5,5.3,22.7,0,-3,2003
23,Miami Heat,22,7,15,0.318,48.2,85,32,79.3,40.3,4.5,14.6,30.7,16.6,22.7,73,12.8,30.1,42.9,16.4,15.9,7.1,3.2,6.8,23.4,0,-5.5,2003
23,Washington Wizards,22,7,15,0.318,48.5,90,33.7,81.5,41.4,5,15.7,31.9,17.6,24.6,71.4,14,28.9,42.9,18.5,16.7,9.5,5.4,6,21.8,0,-5,2003
25,New York Knicks,23,7,16,0.304,48.4,85.8,33.2,77.4,42.9,5.3,16.6,31.9,14.1,17,82.7,10.1,32.1,42.3,20.3,17.9,7.2,4.9,4.7,23.4,0,-5.4,2003
26,Atlanta Hawks,24,7,17,0.292,48.6,91.3,34.8,79.5,43.7,4.1,13.2,31,17.7,22.9,77.4,12,32,43.9,20.3,17,7,6.1,5.8,22,0,-5.3,2003
27,Cleveland Cavaliers,22,6,16,0.273,48.7,91.3,35.7,82.2,43.4,3,9.5,32.1,16.9,23.6,71.3,13.5,34.4,47.9,22.8,16.5,6.7,7.3,5.5,22.6,0,-4,2003
28,Chicago Bulls,21,5,16,0.238,48.2,90,34.1,79.4,43,4.9,13,37.5,16.9,22.9,73.8,11.5,30.6,42.1,21.1,18,7.5,5.5,5,23.6,0.1,-9.4,2003
29,Orlando Magic,23,3,20,0.13,48.2,90.3,33.8,82.3,41.1,4.8,13.9,34.7,17.8,23.8,74.6,12.9,28.3,41.1,17.8,14.6,6.3,4.9,5.7,22.8,0.1,-7.6,2003
1,Phoenix Suns,22,19,3,0.864,48.2,109.4,40.5,84.8,47.8,8.8,23.1,38.1,19.5,26.1,74.6,12,32.2,44.2,22.9,13.5,6.2,6.7,4.4,19.4,0,12.3,2004
2,Seattle SuperSonics,22,18,4,0.818,48.2,100.2,34.6,77.3,44.8,8.7,22.2,39.1,22.3,28.1,79.2,12.1,27,39.2,19.2,14,7.7,3.8,5.2,25.3,0.2,6.4,2004
3,San Antonio Spurs,23,18,5,0.783,48,96.2,35,76.2,45.9,5.6,16,35.1,20.6,28.2,73,11.5,30.7,42.2,22.5,15.6,7.5,6.7,4.1,20.9,0.1,10.6,2004
4,Miami Heat,24,17,7,0.708,48.6,99,36.1,76.3,47.4,5.8,16.1,36.3,20.9,31.5,66.4,11,32.6,43.6,22.1,14,6.1,6.6,3.4,24.5,0,4.5,2004
5,Sacramento Kings,22,15,7,0.682,48.5,101.6,37.6,84.1,44.8,5.8,17.2,33.8,20.5,25.2,81.4,12.5,30.1,42.6,25.2,13.5,7.4,4,4.8,20.7,0,2.1,2004
6,Minnesota Timberwolves,22,14,8,0.636,48.5,100,38.2,82.7,46.2,6,16,37.6,17.6,22.1,79.7,12.5,32.5,45.1,23.2,13.8,6,5.4,3.8,21.5,0.1,4.1,2004
7,Dallas Mavericks,24,15,9,0.625,48.4,99,35.7,82.7,43.1,5.1,15.2,33.7,22.5,29.1,77.4,13.3,31.4,44.8,17.3,14.3,9,5.8,4.9,22.8,0,3.5,2004
8,Cleveland Cavaliers,23,14,9,0.609,48.7,96,36.2,79.8,45.3,3.6,10.1,35.2,20,25.8,77.6,11.4,29.5,40.9,22.7,14.4,8.3,5.5,4.8,23.5,0.2,3.1,2004
9,Washington Wizards,20,12,8,0.6,48.8,100.7,36.7,87.3,42,5.9,18.5,31.9,21.5,29.2,73.8,15.2,29.8,45,20.8,14.2,9.9,4.5,5.2,24.5,0,2.4,2004
10,Denver Nuggets,22,13,9,0.591,48.2,94.8,35.1,79,44.5,3.7,10.5,35.5,20.8,28.2,73.6,11.3,30.2,41.5,22.5,16.1,8.8,6,5.2,22.4,0,-0.4,2004
10,Los Angeles Lakers,22,13,9,0.591,48,97.7,34.5,77.8,44.4,7.5,20.9,35.7,21.2,27.5,77.3,12.2,31.2,43.4,19.9,15.1,5.9,5.1,5.5,22.7,0,0.8,2004
10,Orlando Magic,22,13,9,0.591,48,100.9,36.9,83.5,44.1,4.4,12.8,34.5,22.8,28.9,78.8,14.1,31.6,45.7,20,16.4,7.5,6.4,4.9,23.9,0,0.4,2004
13,Detroit Pistons,22,12,10,0.545,49.1,89.5,32.9,76.5,43,3.9,12.1,31.8,19.8,26.4,75.2,11.9,30,41.9,20.3,14.7,7.5,5.8,4.8,22.6,0,0.4,2004
