#,Team,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,Year
15,Orlando Magic,21,10,11,0.476,48,103.5,38.1,87.8,43.5,10.1,30.8,33,17.1,22,77.9,10.8,35,45.8,22.5,13.8,8.1,6.6,4.1,18.7,19.7,0.1,2019
15,Phoenix Suns,21,10,11,0.476,48.5,115.6,41.3,89.2,46.3,13,35.6,36.5,20,24.7,81.1,9,33,42,28.2,14.2,8.1,4,5.7,23.1,24.4,1.4,2019
17,Portland Trail Blazers,22,9,13,0.409,48.2,113.5,41.7,91.8,45.5,12.3,33.4,36.9,17.7,21.7,81.4,10.1,36.5,46.6,20.3,13.7,5.9,6.2,5.5,23.3,20.1,-1.4,2019
18,Oklahoma City Thunder,20,8,12,0.4,48.3,107.1,38.9,84.1,46.2,10.7,30.1,35.4,18.8,23.8,78.8,7.8,34.6,42.4,22.1,14.6,7.3,4.7,4.8,20,22.6,-1.2,2019
18,Sacramento Kings,20,8,12,0.4,48.3,104.9,38.8,86.7,44.8,12.2,34.7,35.1,15.2,19.5,77.7,10.1,31.8,41.9,22.9,15.8,7.7,4.9,4.8,22.3,19.2,-3.9,2019
20,Charlotte Hornets,23,9,14,0.391,48.2,105.4,38.7,86.7,44.7,13,35.5,36.5,15,20.5,73.2,10.5,31.4,41.9,24.2,15.7,6.8,4.3,4.3,19.5,20.3,-7.4,2019
21,Chicago Bulls,22,8,14,0.364,48,106.4,38,89.4,42.6,12.3,35.3,34.8,18,24,74.9,10.6,33.2,43.8,22.8,15.7,9.5,4.1,6.8,22.8,21.6,-3.2,2019
21,Detroit Pistons,22,8,14,0.364,48,108.8,40,84.5,47.3,12.5,31.7,39.5,16.4,22.2,73.8,9.5,33.2,42.7,25.5,16.3,6.6,5.2,4.9,19.6,19.8,0,2019
21,San Antonio Spurs,22,8,14,0.364,48.5,112,42.3,90.6,46.6,9.1,25.9,35.3,18.3,23.4,78.2,10.5,35.2,45.8,24.5,13.6,6.4,5.7,4.9,19.2,20.8,-4,2019
24,Washington Wizards,20,7,13,0.35,48,118.9,44.9,94.2,47.7,12.8,34.4,37.3,16.3,20.2,80.7,10,31.9,41.8,28.3,14.5,7.5,3.7,5.8,22.3,20.3,-3.5,2019
25,Memphis Grizzlies,21,6,15,0.286,48.2,108.5,41.3,91.9,44.9,10.8,31.3,34.6,15.1,19.5,77.6,10.3,35.2,45.5,26.5,16,7.7,5.3,6.4,22.4,19.6,-8,2019
26,New Orleans Pelicans,22,6,16,0.273,48.5,114.5,41.8,92.2,45.4,14.9,39.3,37.9,16,21.6,73.7,10.5,34.2,44.7,24.9,16.2,8.1,5.1,4.7,23.1,20.5,-5.2,2019
27,Cleveland Cavaliers,20,5,15,0.25,48,104.2,38.1,87.3,43.6,10.9,31.8,34.2,17.2,22.1,77.8,10.3,33.7,44,20.4,15.1,7.4,3.2,7.1,17.9,21.1,-8.7,2019
28,Atlanta Hawks,22,5,17,0.227,48.5,108,40.2,88.6,45.3,10,32.2,31.2,17.6,23.6,74.6,10.1,31.6,41.7,23.3,17.7,8.8,4.9,7.5,22.8,21.6,-9.7,2019
29,New York Knicks,22,4,18,0.182,48,100.5,36.4,86.2,42.2,10.7,30,35.8,17,25.3,67.3,12,32.2,44.1,19.8,15.1,7.9,4.7,4.4,23.8,20.6,-10.8,2019
30,Golden State Warriors,23,4,19,0.174,48.2,104.9,38.1,88.6,43,9.2,28.4,32.5,19.5,23.4,83.1,10.4,33,43.3,23.8,14.7,7.9,4.6,5.8,19,20.2,-9.8,2019
1,Utah Jazz,23,18,5,0.783,48,114.7,40.8,87.7,46.6,17.1,42.1,40.7,16,20.9,76.3,11.3,37.8,49,23.8,14.7,6,5.8,4.4,18.7,19.1,8.6,2020
2,Los Angeles Lakers,23,17,6,0.739,48,111.9,41.9,86.6,48.4,11.5,30.3,37.9,16.7,22.3,74.7,9.8,35.7,45.5,24.7,14.7,7,6,4.3,18.4,21,8.3,2020
3,LA Clippers,24,17,7,0.708,48,115,41.5,85.8,48.3,15,35.4,42.4,17.1,20.2,84.7,9.3,34.5,43.7,24.5,13.3,7.5,4.8,3.1,19.3,17.6,7.4,2020
4,Philadelphia 76ers,23,16,7,0.696,48.2,113.7,41.3,86.7,47.6,10.9,30.2,36,20.2,26.3,76.8,10.2,35.1,45.3,23.4,16,9,6.5,4.5,20.5,21.8,3.4,2020
5,Milwaukee Bucks,22,14,8,0.636,48,121,45.4,92.4,49.1,15.4,38.6,39.8,15,20.4,73.3,11,38,49,27.3,14.2,8.4,5,5.5,17.7,18.2,9.1,2020
6,Brooklyn Nets,24,14,10,0.583,48.8,122,44,88,50,14.8,36.8,40.2,19.3,23.6,81.6,8.5,36.8,45.2,27.1,15.3,6.3,6,4.2,20,20.1,4,2020
7,Boston Celtics,21,12,9,0.571,48,111.9,41.8,88.5,47.2,12.1,32.1,37.8,16.1,21.3,75.7,10.9,33.2,44.1,22.6,14.6,8.8,5.2,5,20.6,19.7,2.2,2020
7,Denver Nuggets,21,12,9,0.571,49.2,115.5,43,89.8,47.8,13,34,38,16.6,21.6,77,11.4,33.5,44.9,26.8,14.4,8.8,4,4.2,20.3,21.6,3.7,2020
7,Phoenix Suns,21,12,9,0.571,49,109.9,40.5,87.7,46.2,13.2,37.3,35.5,15.7,18.8,83.3,8.6,35.8,44.4,25.8,14,6.2,4.2,3.8,21.2,19.3,2.3,2020
7,Portland Trail Blazers,21,12,9,0.571,48.2,115.7,41,92.8,44.3,16,42,38.1,17.6,21.2,82.7,10.6,33.6,44.2,20.5,11.4,8,4.8,4.9,19.3,18.7,-0.8,2020
11,Golden State Warriors,22,12,10,0.545,48,113.7,40.9,89.3,45.8,13.8,37.5,36.9,18.2,23.6,77.1,8.3,35.5,43.8,27.1,14.2,7.6,5.5,5,23.1,21.5,0.4,2020
11,San Antonio Spurs,22,12,10,0.545,48.2,111.2,42,92.3,45.5,11,30.3,36.3,16.2,20.8,78.1,9.5,35.8,45.2,25.3,11,7,4.9,6.1,17.1,18.7,-0.9,2020
13,Memphis Grizzlies,17,9,8,0.529,48.3,109.8,42.5,91.9,46.3,10.8,30.5,35.5,13.9,18.1,77.2,10.5,34.6,45.1,28.2,14.1,10.2,5.5,6.2,18.8,17.2,0.5,2020
14,Houston Rockets,21,11,10,0.524,48.2,111.2,40.1,88,45.6,14.5,39.8,36.4,16.5,21.8,75.7,8.5,35.8,44.3,23.4,15.8,8.1,6,6.1,20.2,19.1,2.4,2020
15,Indiana Pacers,23,12,11,0.522,48.4,113.9,42.7,89.1,48,12.6,34.1,36.9,15.8,20.6,76.6,8.7,33.7,42.4,26.9,14,8.5,5.8,5.9,20.5,18.4,1.6,2020
16,Sacramento Kings,21,10,11,0.476,48.2,113.5,41.6,87.8,47.4,12.5,33.2,37.5,17.8,24.7,72.1,10.5,32.9,43.4,25.5,14.5,6.7,5.3,5.1,20.2,21,-5.3,2020
17,Atlanta Hawks,22,10,12,0.455,48.5,111.7,39.3,88.6,44.4,12.2,34.9,35.1,20.8,25.5,81.6,11.7,35.6,47.3,24.2,14.6,6.8,4.7,5.7,20,20.9,1,2020
17,Toronto Raptors,22,10,12,0.455,48,112.3,39.6,89.1,44.5,16,42,37.9,17.1,20.8,82.1,10.1,32.8,42.9,24.7,14.3,9.3,5.7,5.8,22.1,19.2,1.9,2020
19,Charlotte Hornets,23,10,13,0.435,48.2,110.1,40.1,88.8,45.2,13.6,36.5,37.2,16.3,21.7,75.3,10.9,32.6,43.5,28.4,14.6,8.2,4.9,5.7,18.4,19.4,-1.6,2020
19,Cleveland Cavaliers,23,10,13,0.435,48.9,103.8,39.4,87.6,45,9.4,26.4,35.6,15.5,21.7,71.7,11.4,32.4,43.8,23.3,15.7,9.1,5.4,6.1,18.8,20.2,-5.6,2020
19,New York Knicks,23,10,13,0.435,48,102.4,38,85.2,44.7,9.4,26.9,35,16.9,22.1,76.4,10.8,35.7,46.5,21,13.9,6.6,5.1,5.9,20.8,19.2,-1.7,2020
22,New Orleans Pelicans,21,9,12,0.429,48.2,111.2,41.1,87.6,46.9,11.2,31.9,35.1,17.9,24.9,71.8,11.5,35.3,46.8,23.8,15.1,7.6,3.9,5.5,17.9,21.1,-1.2,2020
22,Oklahoma City Thunder,21,9,12,0.429,48.2,106.9,39.1,86.9,45.1,13.1,38.3,34.2,15.5,21.2,72.9,7.2,37,44.2,22.5,14.7,7.1,5,4,17.6,19.1,-6.8,2020
24,Dallas Mavericks,23,9,14,0.391,48.2,109.6,39.9,87.5,45.6,12.1,36.6,33.2,17.7,23,76.8,8.5,34.1,42.7,22.4,12.2,7,4.7,4.1,20.9,21.5,-2.9,2020
24,Orlando Magic,23,9,14,0.391,48.2,105.6,39,90.3,43.2,11.3,32.2,35.1,16.3,20.7,78.6,11.5,35.1,46.6,22.7,13.9,7.1,3.7,5.4,18,18.9,-6.3,2020
26,Chicago Bulls,21,8,13,0.381,48.2,115,42.2,88.6,47.7,13.4,36.1,37.2,17,21.4,79.7,8.8,34.9,43.7,26.1,16.7,7.7,3.8,3.8,20.8,20.7,-2.4,2020
27,Miami Heat,22,8,14,0.364,48.5,107.2,38.6,82.5,46.8,13.1,37,35.5,16.9,21.7,77.8,7,34.8,41.9,25.7,17.1,6.7,3.9,4.2,20.1,20.9,-3.9,2020
28,Minnesota Timberwolves,22,6,16,0.273,48.2,106.4,39.7,91.3,43.5,11.9,34.5,34.3,15.1,20,75.9,11,32.9,43.8,23.8,14.5,8.4,5.7,6.3,21.5,18.3,-8.5,2020
29,Washington Wizards,19,5,14,0.263,48,115.2,41.7,91,45.9,12.3,34.3,35.8,19.4,25.6,75.8,10.1,33.3,43.4,25.2,13.9,7.1,3.8,4.2,22.8,21.4,-6,2020
30,Detroit Pistons,22,5,17,0.227,48.9,107.5,37.9,89,42.6,12.7,36.2,35,19,24.4,78,10.8,32.4,43.2,23.5,14.7,7.8,4.8,6.1,20.6,21.8,-5.2,2020
