#,Team,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,Year
15,Detroit Pistons,24,12,12,0.5,48,99.2,39.3,87.2,45.1,7.1,20.8,34.2,13.4,17.8,75,9.7,35.4,45,21,11.7,6.9,4.2,4.8,17.3,16.5,2.9,2016
15,Indiana Pacers,22,11,11,0.5,48.9,104.5,39.5,86.9,45.5,7.5,21.8,34.4,17.9,22.4,79.7,9.3,33.3,42.6,22.3,15.2,9.3,5.7,5.9,20.1,20.5,-2.9,2016
15,Portland Trail Blazers,24,12,12,0.5,48.6,109.1,39.7,87.9,45.2,11,30.2,36.3,18.8,23.7,79.2,9.6,33.3,43,22.2,13.3,6.9,4.8,5.3,22.7,19.6,-2.3,2016
18,Atlanta Hawks,23,11,12,0.478,48,100.3,38.2,84.4,45.2,8.2,25.6,32.1,15.7,22.3,70.4,10.3,33.6,43.8,23.5,16.9,9.3,5.3,5,17.7,20.7,-1.7,2016
19,Orlando Magic,23,10,13,0.435,48,94.3,35.5,83.8,42.3,8.2,24.7,33.3,15.1,21.3,71.2,10,34.2,44.2,20.7,13.6,6.5,5.8,5.7,18,18.9,-4.5,2016
20,Los Angeles Lakers,24,10,14,0.417,48,104.5,38.9,87.1,44.7,8.5,24.7,34.3,18.2,23.4,77.8,11.8,32.5,44.3,20.8,16.4,8.6,3.5,5,20.8,19.2,-5.8,2016
21,Sacramento Kings,21,8,13,0.381,48.7,103.2,37.6,84.1,44.7,8.2,23.6,34.7,19.8,25.3,78.2,9.8,32.5,42.3,22,14.4,8,4.1,6,20.9,22.3,-0.9,2016
21,Washington Wizards,21,8,13,0.381,48.7,103.7,39.7,87.5,45.3,7.9,22,35.9,16.5,21.3,77.2,11,31.7,42.7,21.4,14.9,9,3.9,4.8,22.2,20.5,-2.3,2016
23,Denver Nuggets,23,8,15,0.348,48.7,105.5,38.3,88.6,43.2,9.2,26.2,35,19.8,26.7,74.1,13.3,36.4,49.7,21.4,16.8,6.7,4.5,5.7,21,22.4,-3,2016
24,Miami Heat,22,7,15,0.318,48.2,97.3,37,85.8,43.1,8.5,25,34.1,14.7,22,67.1,11.4,32.8,44.2,20,12.9,7.3,5.8,6,20.3,18.9,-2.5,2016
25,New Orleans Pelicans,23,7,16,0.304,49.1,101.7,38,86.7,43.9,7.8,24.8,31.4,17.8,23,77.2,8.1,36.2,44.3,22.5,13,7.9,6.2,4.5,19,19.8,-3.5,2016
26,Brooklyn Nets,21,6,15,0.286,48.5,106.2,37.9,86.7,43.7,11.3,34.4,32.9,19.1,24.7,77.6,9.5,34.4,43.9,20.8,16.9,8,4.4,5.4,20.2,21.3,-8,2016
