#,Team,GP,W,L,MIN,OPP FGM,OPP FGA,OPP FG%,OPP 3PM,OPP 3PA,OPP 3P%,OPP FTM,OPP FTA,OPP FT%,OPP OREB,OPP DREB,OPP REB,OPP AST,OPP TOV,OPP STL,OPP BLK,OPP BLKA,OPP PF,OPP PFD,OPP PTS,+/-,Year
1,Philadelphia 76ers,23,17,6,48.2,33.6,82.8,40.5,4.5,13.9,32.6,15.6,21.3,73.1,13.5,29.7,43.2,20.7,17.1,8.1,6.1,6.3,26.5,21.8,87.2,-6.2,2000
1,Portland Trail Blazers,25,17,8,48.2,33.9,78.4,43.2,4.7,13.3,35.5,18,24.6,73.2,12,26.5,38.6,20.1,15.6,8.4,3.8,6,22.1,22.4,90.5,-4.5,2000
1,Utah Jazz,23,17,6,48.2,31,72.9,42.5,4.5,13.8,32.4,22.7,29.4,77.1,10.6,26.5,37.1,17.5,17.5,7.9,5.9,6,25.5,26.4,89.1,-8.4,2000
4,Los Angeles Lakers,25,16,9,48.4,37,83.4,44.4,4.8,13.5,35.6,18.6,24.2,76.8,11.8,29.2,41,20.4,13.9,7.5,4,7.2,23.1,22.3,97.4,-4,2000
5,Charlotte Hornets,24,15,9,48.4,32.1,78.5,40.9,4.3,12.5,34.3,18.8,24,78,11.3,27.7,39,18.8,14.9,7.6,4.6,5.9,23,22.2,87.2,-4.6,2000
5,Dallas Mavericks,25,15,10,48,34.8,79.1,44,4.2,13.5,30.8,19.6,27.4,71.3,14,30.9,44.9,20.4,16.1,7.4,4.5,5.8,22.7,23.8,93.3,-2.7,2000
5,Phoenix Suns,22,15,7,48.7,32.7,78,41.9,3.4,11.9,28.7,20.4,26.7,76.3,11.6,30.8,42.5,18.6,18.8,8.4,5.2,5.5,23.1,24.1,89.1,-5.1,2000
5,Sacramento Kings,21,15,6,49,34.5,82.2,42,4,12.2,32.4,18,24.1,74.7,12.4,31.9,44.3,18.7,19,7.6,5.1,5.2,22.2,20.9,91,-8.9,2000
9,Cleveland Cavaliers,21,14,7,48.5,33.2,79,42,4.4,13.7,32.4,20.6,27,76.2,12.2,27,39.2,21.3,15.4,8.8,6.4,6.4,21.5,24.5,91.4,0.7,2000
9,Minnesota Timberwolves,23,14,9,48.7,36.4,79.6,45.8,3.5,10.5,33.1,19.3,26.9,71.9,11.5,30.7,42.2,21,16.4,7.1,4.2,5.7,21.6,23.9,95.7,-1.4,2000
9,New York Knicks,24,14,10,48.2,31,74.1,41.8,4.9,14.6,33.6,16.8,23.5,71.5,11.3,29.6,40.9,18.6,16,6.8,4.6,4.6,19.8,23,83.6,-2.2,2000
12,Houston Rockets,22,13,9,48.2,35.7,78.9,45.3,4.4,11.7,37.2,17,22.2,76.4,11.8,28.7,40.5,20.3,15.1,6.8,4.8,4.6,22.8,20.8,92.8,-1.6,2000
12,San Antonio Spurs,22,13,9,48.2,35.6,83.2,42.8,3.9,12.8,30.6,13.9,19.5,71.2,11.9,30.3,42.2,20.3,14.7,8,6.5,6.5,24.7,19.6,89,-4.6,2000
12,Seattle SuperSonics,25,13,12,48,38.2,85.5,44.6,5.2,17,30.9,17,23.7,71.5,14.4,29.3,43.7,22.9,15.4,8.4,6.5,5.4,23.4,22.5,98.5,0,2000
15,Miami Heat,24,12,12,48.4,32.3,75.1,43.1,4.4,12.5,35.3,18.1,24.3,74.3,11.3,30.6,41.9,17,16.9,8.1,5.9,4.5,24.1,22.6,87.2,-0.4,2000
15,Milwaukee Bucks,23,12,11,48,34.5,78.2,44.1,6.7,17.1,38.8,21.8,27.9,78.2,12,29.8,41.8,21.8,16.1,6.8,4.7,4.6,23.7,25.6,97.4,0.1,2000
15,Toronto Raptors,23,12,11,48.2,37,82.2,44.9,4.2,11.8,35.7,14.3,19.7,72.2,11.3,29.5,40.8,19.9,14,7,6.2,5.1,24,20.7,92.4,-1.7,2000
18,Denver Nuggets,24,11,13,48.6,37.4,83.5,44.8,5.5,15.5,35.2,19.7,26.7,73.8,11.9,32.5,44.4,24.4,14.4,7,6,6.6,24,24.1,100,4.3,2000
18,Indiana Pacers,23,11,12,48.4,34,79.8,42.6,5,14.1,35.7,19.7,26,76,13.1,30,43.2,20.3,15.7,8,5.3,5.6,23.8,23.2,92.9,0,2000
20,Detroit Pistons,23,10,13,48,35.5,83,42.8,5,14.2,34.9,20.1,27,74.7,12.8,31.1,43.9,23.8,16.2,8.9,4.5,4.7,24.3,25.1,96.1,1.7,2000
21,Boston Celtics,22,9,13,48.7,36.4,80.1,45.4,4.6,13.2,34.7,20.4,26.6,76.6,11.4,32.1,43.5,22.6,17,8.3,5.9,4.1,24.2,24.5,97.7,3.7,2000
21,Orlando Magic,23,9,14,48.7,34.3,78,43.9,4.5,13.7,32.7,22.1,30.2,73.3,12.6,31.9,44.5,22,19.7,10,5,6.6,25.7,25.1,95.1,1.5,2000
23,Los Angeles Clippers,25,8,17,48.8,34.8,81.9,42.6,4.2,12.6,32.9,18,24.8,72.9,11.8,28.8,40.6,21.2,13,8.4,5.9,6,23.5,23.5,91.9,4.1,2000
23,New Jersey Nets,22,8,14,48,35.3,77.2,45.7,4.6,12.5,36.9,17.6,25,70.2,11.8,32.1,44,22.3,18.5,7.7,6.1,5.4,22.8,24.4,92.7,4.4,2000
25,Vancouver Grizzlies,23,7,16,48.7,35.8,79.3,45.1,4.6,12.7,36.3,15.4,21.5,71.7,11.2,32.5,43.7,20.6,16.6,8,7,3.8,22.7,21.7,91.6,3.8,2000
26,Atlanta Hawks,23,6,17,48,34,76,44.7,4.7,12.3,38.4,20.8,27.3,76.2,11.1,30.2,41.3,18.7,15.9,8.9,5.7,4.6,23.1,24.7,93.5,6,2000
26,Golden State Warriors,23,6,17,48.7,38.6,83.8,46,5.2,14.1,36.7,19.6,25.8,75.9,13,32.7,45.8,26.1,16.8,9.3,6.3,5.3,22.4,22.8,101.9,7.3,2000
28,Washington Wizards,23,4,19,48,34.7,78.8,44,5,13.3,37.3,21.5,29.2,73.6,11.1,30.9,42,20.9,16,8.6,6.7,5.4,24.9,26,95.8,6.6,2000
29,Chicago Bulls,23,3,20,48,35.1,76.4,46,4.1,11.2,36.4,21,29.4,71.2,12.5,31.9,44.3,22.2,15.3,7.2,5.9,5.3,22.4,24.9,95.3,11.9,2000
1,Los Angeles Lakers,20,17,3,48.3,34.2,83.8,40.8,4.1,14.3,28.4,18.3,24.5,74.7,13.2,30.5,43.6,20,15.3,7.3,4.6,7.7,25.1,22,90.7,-10.1,2001
1,Sacramento Kings,24,17,7,48.4,37.4,86.2,43.4,3.9,13.4,29,16.4,21.7,75.8,12.4,32.9,45.3,22,14.1,7.4,5.5,4.5,22.4,19.2,95,-5.4,2001
1,San Antonio Spurs,21,17,4,48.2,35.4,83.2,42.6,4.6,12,38.1,16.8,21.4,78.4,11.8,29.1,40.9,18.2,13.9,7.7,4.6,7.5,23.9,20,92.2,-9.1,2001
4,Minnesota Timberwolves,22,16,6,48.5,34.6,81.1,42.6,6.3,16.4,38.6,18.7,25.8,72.7,12.2,27.5,39.7,21.1,15.1,6.3,4.8,6.1,19.1,21.9,94.2,-7.3,2001
5,Dallas Mavericks,24,15,9,48.2,37.8,82.5,45.8,4.5,13.3,34,19.5,26.3,74.1,13.3,31.7,45,22.2,13.9,6.4,4.8,4.5,22,22.5,99.5,-2.2,2001
