#,Team,GP,W,L,MIN,OPP FGM,OPP FGA,OPP FG%,OPP 3PM,OPP 3PA,OPP 3P%,OPP FTM,OPP FTA,OPP FT%,OPP OREB,OPP DREB,OPP REB,OPP AST,OPP TOV,OPP STL,OPP BLK,OPP BLKA,OPP PF,OPP PFD,OPP PTS,+/-,Year
1,San Antonio Spurs,22,19,3,48.5,38.1,82.6,46.1,6.1,15.2,40.1,15,20.7,72.6,10.4,30.4,40.8,20.5,16,7,5.1,4.8,21.5,18.5,97.3,-9.6,2010
2,Boston Celtics,22,18,4,48.7,33.7,77.1,43.7,5.4,15.4,35.2,19.5,25.3,77.3,9.5,28.5,38,18.7,15.9,6.5,3.7,4.3,21.2,21,92.3,-8.8,2010
2,Dallas Mavericks,22,18,4,48,34.7,80.3,43.2,6.3,17.3,36.5,16.7,22.4,74.6,11.1,30,41.1,20.4,14.5,7.6,3.4,4.8,19.6,18.5,92.4,-6.1,2010
4,Utah Jazz,24,17,7,48.6,34.4,79.2,43.4,6.1,19.5,31.1,22.3,28.9,77.3,12.6,29.5,42.2,18.5,15.2,6.9,4.7,5.5,22.5,23.5,97.2,-4.1,2010
5,Los Angeles Lakers,23,16,7,48,37.3,85.5,43.6,7.4,21,35.5,16.8,22,76.6,13.2,29.1,42.3,22.3,14.8,7.4,5.2,5.3,21,20.1,98.9,-7.9,2010
5,Miami Heat,24,16,8,48.2,34.1,79.3,43,5.6,17.9,31.2,17.9,24.6,72.6,10.5,29.3,39.9,19.8,14.3,6.4,2.6,4.9,22,21.3,91.6,-9.2,2010
5,Oklahoma City Thunder,24,16,8,49,39.2,83.7,46.9,6.2,15.8,39.2,18.3,24.5,74.7,11.6,30,41.6,21.9,15.2,7.2,4,5.8,22.8,22.1,102.9,-0.2,2010
8,Atlanta Hawks,24,15,9,48.2,36.9,80.5,45.9,5.2,15.6,33.1,17.6,23.1,76.4,10.8,30.3,41,20.3,13.2,6.5,4.5,4.6,20,19.8,96.6,-2.3,2010
8,New York Knicks,24,15,9,48.4,40,85,47.1,6.2,16.3,38,19.5,26.3,74.1,11.5,31.1,42.6,21.7,15.5,7.6,3.6,6.8,22.5,21.8,105.8,-1.9,2010
8,Orlando Magic,23,15,8,48,34.6,78.2,44.2,6,16.5,36.4,17.1,23.2,73.7,9.1,28.8,38,19.3,14,7.6,4.2,4.6,22.8,19.9,92.2,-4.9,2010
11,Denver Nuggets,22,14,8,48,39,84.8,46,6.6,20.6,32.2,19.1,26.4,72.5,11,31.7,42.7,21.7,14,7,6.4,4.1,23.5,22.1,103.8,-2,2010
11,New Orleans Hornets,22,14,8,48,34.1,77.5,44,6.6,19.7,33.7,17.2,22.3,77,9.6,31.2,40.9,20.5,15,6.7,4.6,4.6,21,21.7,92,-2.7,2010
13,Chicago Bulls,21,13,8,49,35.9,82,43.8,6.5,18.6,34.9,19.9,25.5,77.8,10.9,29.9,40.8,21,16,8.3,6,5.9,20.7,21.5,98.1,-1.3,2010
14,Portland Trail Blazers,23,12,11,48.2,34.5,73.7,46.8,6.1,17.6,34.9,19.9,26,76.6,9.7,29.3,39,19.3,16.3,6.3,4.5,4.5,22.2,21.3,95,-0.5,2010
15,Indiana Pacers,21,11,10,48.2,35.2,82.6,42.7,5.8,16.9,34.2,21.2,28,75.8,11.9,31.7,43.6,18.5,14,7.6,6,6.9,21,23,97.4,-3,2010
15,Phoenix Suns,23,11,12,49.1,42.2,86.2,49,7.5,20,37.3,17.6,23.7,74.2,12.8,31.1,44,24.3,15.7,7.8,4.3,3.9,24,20.9,109.5,1.4,2010
17,Memphis Grizzlies,23,9,14,48.9,37.7,81.6,46.1,8.1,21.1,38.5,19.5,25.3,76.8,12.4,30.6,43,21.5,16.8,8.2,5.7,5,21.2,21.9,102.9,2,2010
17,Milwaukee Bucks,22,9,13,48.2,33.7,75.9,44.4,6.3,18,35,19.2,24.3,79.2,8.7,32.5,41.2,19,15.7,6.2,5.1,4.9,24.5,21.3,92.9,1.5,2010
19,Charlotte Bobcats,22,8,14,48.2,35.3,79.1,44.6,8.1,21.9,37.1,18.4,23.4,78.6,9.5,28.3,37.7,21.6,14,7.5,6.5,6.3,21.2,20.8,97.2,2.2,2010
19,Golden State Warriors,23,8,15,48,37.9,80.6,47.1,7.1,18.7,38.1,24,30,79.9,12.4,32,44.4,24.5,16.5,8.7,5.5,4.2,17.7,23.3,107,6.3,2010
19,Houston Rockets,22,8,14,48.5,39.7,85.1,46.7,6.1,15.9,38.3,19.8,26.2,75.4,11.9,31.1,43,20.1,13.6,7.9,5.8,4.9,23.4,21.1,105.3,0.7,2010
19,Toronto Raptors,23,8,15,48,38.8,80.6,48.2,6.8,17.3,39.2,20.6,25.9,79.5,9.9,29.5,39.4,21.8,14.7,7.9,5.4,3,22,22.4,105,2.9,2010
23,Cleveland Cavaliers,22,7,15,48,38.6,81,47.7,8.1,19.8,41.1,17,22.7,74.8,9.3,33.4,42.7,24.1,13.2,7.1,5.6,3.5,20.7,19.5,102.4,8.5,2010
23,Detroit Pistons,24,7,17,48.8,37.9,80.2,47.3,6,18.1,32.9,18.3,23.7,77,11.5,31.3,42.8,22.3,13.4,7.9,5,4.2,20,19.9,100,6.6,2010
23,Philadelphia 76ers,22,7,15,48.5,35.3,79.1,44.6,5.5,16.5,33.5,22.8,28.3,80.4,10.1,31.3,41.4,20.6,14.1,7.6,4.6,4.5,19.7,22.3,99,0.5,2010
26,Minnesota Timberwolves,23,6,17,48.2,38.6,83.5,46.2,7.6,20.2,37.7,24.1,30.1,80.1,10.1,31.9,42,24.3,14.3,9.3,6.3,6.2,22,24.2,109,6.3,2010
26,New Jersey Nets,23,6,17,49.1,36.7,79.9,45.9,5.9,16.4,35.8,19.9,27.7,72,10.5,31.8,42.3,22.3,11.9,6.5,4.4,4.4,20.1,22.8,99.1,5.7,2010
26,Washington Wizards,22,6,16,48.7,39.8,82.6,48.2,6.8,17.9,37.8,20,26.7,75,13.1,30.6,43.7,23.2,16.2,7.8,4.8,6,20.8,23.5,106.3,8.4,2010
29,Los Angeles Clippers,23,5,18,48.7,36.5,79.3,46.1,8.3,20,41.2,21.5,27.9,77.1,10.2,29.6,39.8,23.1,13.8,8,5.8,4.4,22.9,22.7,102.8,6,2010
29,Sacramento Kings,20,5,15,48,37.1,78.5,47.3,5,14.4,34.8,21.8,28.3,77,10.4,30.6,41,19.5,14.4,6.5,4.9,5.2,21.5,23.7,101,6.1,2010
1,Chicago Bulls,23,18,5,48,34.5,81,42.6,4.7,13.3,35.4,13.8,19.2,71.7,11.3,28.5,39.8,19,14.4,7.2,4.8,6.2,18.1,17.4,87.4,-9.4,2011
2,Atlanta Hawks,22,16,6,49.1,34.7,81.6,42.5,5.9,17.6,33.5,15.3,19.7,77.6,10.6,30.8,41.5,21.5,15.8,7.2,4.9,5.1,19.8,17.7,90.6,-7,2011
2,Miami Heat,21,16,5,49.2,35.1,81,43.3,8,22.2,36.3,18,24.5,73.2,10.9,29,40,20.2,18,9,4.5,5,22.8,21.1,96.2,-7.9,2011
2,Oklahoma City Thunder,20,16,4,48,35.5,83.5,42.5,5.7,18.4,31.1,18.4,23.6,77.8,12.6,28.8,41.3,19.6,14.3,8.3,4.7,6.9,20.7,20.5,95.1,-5.3,2011
5,Philadelphia 76ers,21,15,6,48.5,33.8,81.7,41.4,4.5,15.5,28.9,14,19.5,71.7,11.5,32.5,44,18,15.1,6,4.6,4.9,17.5,17.6,86.1,-11.4,2011
6,Dallas Mavericks,22,14,8,48.2,33,78.3,42.1,6.5,18,36.2,18.2,24.2,75.2,10.7,31.9,42.6,18.2,15.8,8.7,4.1,5,18.6,19.9,90.6,-4.1,2011
6,Denver Nuggets,21,14,7,49,38.3,85.3,44.9,7.6,20.8,36.4,15,20,75.2,11.1,30.5,41.6,21.9,17.1,8.3,6.3,5,24,18.5,99.2,-6.2,2011
6,Indiana Pacers,20,14,6,48.3,33.9,80.7,42,6.8,19.5,34.7,16.3,23.1,70.5,12.2,30.3,42.5,18.9,15.6,7.3,5.7,5.5,21.2,20.9,90.8,-3,2011
9,Los Angeles Lakers,22,13,9,48.2,34.8,84,41.4,6.2,19,32.5,14.9,20.7,71.9,12.1,29.5,41.6,19.8,12,7.9,3.6,5.2,20.2,19.2,90.6,-3,2011
9,San Antonio Spurs,22,13,9,48.7,37.5,82.1,45.6,6,17.7,33.9,13.6,18.2,75,10.1,31.1,41.3,18.5,13.5,8.1,5.3,4.2,18.5,17,94.5,-3.3,2011
11,Houston Rockets,21,12,9,48.7,38.2,85,45,5,16.6,30.4,15.5,20.5,75.8,11.6,30.1,41.7,19.5,14.4,7.3,5.3,5,17.2,20.5,97,-1.7,2011
11,Los Angeles Clippers,18,12,6,48.3,35,78.9,44.4,6.5,17.2,37.7,20.1,26.4,76,11.2,30.1,41.3,20.4,14.7,6.8,4.1,5.7,23.2,21.1,96.6,-2,2011
11,Orlando Magic,21,12,9,48.2,34.8,78.8,44.2,5.6,17,32.7,15.6,20.5,76.3,9.1,31.6,40.7,20.1,13.1,7.5,4.3,4.1,21.9,18.6,90.8,-0.4,2011
11,Portland Trail Blazers,21,12,9,48.2,34.5,79.3,43.5,5.4,17.4,31.1,18,24.5,73.2,10.1,31.8,41.9,19.6,16,7.5,5,5,21.4,20.7,92.4,-4.5,2011
11,Utah Jazz,19,12,7,48.8,35.7,79.6,44.8,6,18.1,33.1,18.2,24.1,75.7,10.5,30.5,41,19.8,15.2,7.2,5.8,6.5,21.8,22.1,95.6,-1.2,2011
16,Memphis Grizzlies,21,11,10,48.2,33.8,78,43.3,6.8,19.5,34.6,17.9,24,74.5,11.7,30.5,42.2,19,18.3,8.2,5.5,4.9,20,19.8,92.3,-1.3,2011
17,Boston Celtics,20,10,10,48,32.6,77.2,42.2,4.6,15.7,29.3,18.2,23.1,79,11,30.2,41.2,16.3,15.6,8.7,5.6,5.4,19.8,20.7,88,-1.8,2011
17,Minnesota Timberwolves,21,10,11,48,36.3,82.1,44.2,5.9,17.3,33.9,16.4,22,74.5,11.2,30.9,42.1,19.9,14.6,8.4,5.8,4.2,22.1,19.4,94.8,-1.8,2011
19,Milwaukee Bucks,20,9,11,48,34.8,79.1,44,5.7,17.8,32.1,19.4,25.7,75.3,12.1,32.1,44.1,20.6,16.7,8.1,5.3,4.7,19.2,20.7,94.6,0.3,2011
