#,Player,Team,Age,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
2,Giannis Antetokounmpo,MIL,26,61,40,21,2013,30.7,11.2,19.7,56.9,1.2,4.0,30.3,7.1,10.4,68.5,1.7,10.3,12.0,6.4,3.7,1.3,1.3,3.0,58.8,41,7,7.3
3,Joel Embiid,PHI,27,51,39,12,1585,33.0,10.5,20.4,51.3,1.3,3.5,37.7,10.7,12.4,85.9,2.6,9.7,12.2,3.3,3.6,1.1,1.6,2.8,57.1,31,0,9.2
4,Nikola Jokic,DEN,26,72,47,25,2488,27.5,10.6,18.7,56.6,1.3,3.4,38.8,4.9,5.7,86.8,3.0,8.3,11.3,8.7,3.2,1.4,0.7,2.8,57.0,60,16,5.6
5,Russell Westbrook,WAS,32,65,30,35,2369,22.0,8.3,18.8,43.9,1.3,4.1,31.5,4.1,6.3,65.6,1.7,9.7,11.4,11.6,4.7,1.4,0.3,2.9,53.4,59,38,-1.3
7,Luka Doncic,DAL,22,66,40,26,2262,29.1,10.3,21.5,47.9,3.1,8.7,35.0,5.5,7.5,73.0,0.9,7.5,8.4,9.0,4.5,1.0,0.6,2.4,53.0,26,11,2.6
8,James Harden,BKN,31,44,31,13,1609,24.2,7.7,16.4,46.6,2.7,7.5,36.2,6.2,7.2,86.1,0.8,7.0,7.8,10.6,4.0,1.2,0.7,2.2,51.3,32,12,2.3
9,LeBron James,LAL,36,45,30,15,1504,27.0,10.1,19.7,51.3,2.5,6.8,36.5,4.3,6.1,69.8,0.7,7.6,8.3,8.4,4.0,1.1,0.6,1.7,50.7,18,5,6.9
11,Stephen Curry,GSW,33,63,37,26,2152,33.7,11.0,22.8,48.2,5.6,13.4,42.1,6.1,6.6,91.6,0.5,5.3,5.8,6.1,3.6,1.3,0.1,2.0,50.5,8,0,4.1
12,Karl-Anthony Towns,MIN,25,50,19,31,1689,26.4,9.1,18.7,48.6,2.6,6.7,38.7,5.7,6.6,85.9,2.8,8.4,11.3,4.8,3.4,0.8,1.2,4.0,49.9,33,0,0.2
13,Nikola Vucevic,CHI,30,70,26,44,2348,25.1,10.2,21.4,47.7,2.7,6.7,40.0,2.0,2.4,84.0,2.2,10.3,12.5,4.1,1.9,1.0,0.7,2.1,49.6,48,2,-5.2
14,Andre Drummond,LAL,27,46,19,27,1242,19.9,8.2,16.6,49.3,0.0,0.2,0.0,3.6,5.9,60.0,4.8,11.2,16.0,2.7,3.6,1.8,1.4,4.3,49.3,28,0,-3.0
15,Jimmy Butler,MIA,31,52,33,19,1745,23.0,7.6,15.2,49.7,0.5,2.1,24.5,7.4,8.6,86.3,1.9,5.5,7.4,7.6,2.2,2.2,0.4,1.5,48.9,17,4,4.0
16,Robert Williams III,BOS,23,52,29,23,985,15.2,6.8,9.4,72.1,0.0,0.1,0.0,1.6,2.7,61.6,4.9,8.2,13.1,3.4,1.9,1.6,3.3,3.8,48.9,4,0,0.3
17,Clint Capela,ATL,27,63,34,29,1898,18.1,7.8,13.2,59.4,0.0,0.0,0.0,2.5,4.3,57.3,5.6,11.5,17.1,0.9,1.4,0.8,2.4,2.7,48.5,48,1,4.8
20,Jonas Valanciunas,MEM,29,62,32,30,1755,21.7,9.0,15.2,59.2,0.4,1.2,36.8,3.2,4.2,77.3,5.2,10.7,15.9,2.3,2.1,0.7,1.2,3.7,47.9,49,0,2.7
21,Jusuf Nurkic,POR,26,37,22,15,880,17.3,7.0,13.6,51.4,0.5,1.2,40.0,2.9,4.6,61.9,3.5,10.1,13.6,5.1,3.0,1.6,1.6,4.2,47.8,13,0,5.1
22,Anthony Davis,LAL,28,36,23,13,1162,24.4,9.3,19.0,49.1,0.8,3.1,26.0,4.9,6.6,73.8,1.9,6.9,8.9,3.4,2.3,1.4,1.8,1.9,47.5,12,0,3.6
23,Rudy Gobert,UTA,29,71,52,19,2187,16.7,6.4,9.5,67.5,0.0,0.1,0.0,3.8,6.2,62.3,4.0,11.9,15.8,1.5,1.9,0.7,3.1,2.7,47.3,49,0,12.0
24,Zion Williamson,NOP,20,61,29,32,2026,29.3,11.3,18.4,61.1,0.2,0.6,29.4,6.6,9.4,69.8,3.0,4.9,7.8,4.0,3.0,1.0,0.7,2.4,46.8,14,0,1.6
25,Kyrie Irving,BKN,29,54,36,18,1886,27.7,10.5,20.7,50.6,2.9,7.2,40.2,3.8,4.2,92.2,1.0,3.9,4.9,6.2,2.5,1.5,0.7,2.7,46.8,8,0,4.4
26,Kawhi Leonard,LAC,30,52,36,16,1772,26.2,9.4,18.4,51.2,2.1,5.2,39.8,5.3,6.0,88.5,1.1,5.7,6.8,5.5,2.1,1.6,0.4,1.7,46.7,9,0,9.1
28,Domantas Sabonis,IND,25,62,29,33,2231,20.3,7.8,14.6,53.5,0.8,2.6,32.1,3.9,5.3,73.2,2.4,9.6,12.0,6.7,3.4,1.2,0.5,3.3,46.6,48,9,-1.5
29,Hassan Whiteside,SAC,32,36,16,20,546,19.3,8.3,14.8,56.3,0.0,0.1,0.0,2.7,5.2,51.9,4.0,10.2,14.2,1.3,2.6,0.6,3.0,4.8,46.6,4,0,-6.9
31,Trae Young,ATL,22,63,36,27,2125,27.0,8.3,18.8,43.8,2.3,6.7,34.3,8.2,9.3,88.6,0.6,3.5,4.2,10.1,4.4,0.9,0.2,1.9,46.0,28,0,4.5
32,Damian Lillard,POR,30,67,39,28,2398,28.9,9.0,20.0,45.1,4.1,10.6,39.1,6.7,7.3,92.8,0.5,3.8,4.2,7.6,3.0,0.9,0.3,1.5,45.9,16,0,3.0
33,DeMarcus Cousins,LAC,30,41,22,19,713,18.5,6.6,15.4,42.6,2.4,6.8,34.8,3.0,4.1,72.8,2.7,10.6,13.3,3.8,3.2,1.7,1.2,5.4,45.7,7,0,-3.0
34,Mo Bamba,ORL,23,46,11,35,725,18.2,7.1,15.0,47.2,1.9,5.9,32.2,2.2,3.3,68.2,3.8,9.4,13.2,1.7,1.8,0.7,2.9,4.3,45.6,4,0,-10.1
38,Bradley Beal,WAS,28,60,32,28,2147,31.5,11.2,23.2,48.5,2.2,6.3,34.9,6.8,7.7,88.9,1.2,3.5,4.7,4.4,3.1,1.2,0.4,2.3,45.3,4,0,-0.1
40,Bam Adebayo,MIA,23,64,34,30,2143,20.1,7.7,13.4,57.0,0.0,0.1,25.0,4.8,5.9,79.9,2.4,7.2,9.6,5.8,2.8,1.3,1.1,2.4,44.7,33,2,0.4
41,JaVale McGee,DEN,33,46,21,25,678,17.9,7.6,15.0,51.1,0.3,1.3,20.8,2.3,3.6,65.7,4.1,8.6,12.7,2.1,3.2,1.0,2.9,6.4,44.6,1,0,-4.7
43,Chris Boucher,TOR,28,60,25,35,1453,20.3,7.1,13.9,51.4,2.2,5.8,38.3,3.8,4.8,78.8,2.9,7.1,10.0,1.6,1.1,0.9,2.8,4.1,44.3,12,0,2.4
44,Jayson Tatum,BOS,23,64,34,30,2290,26.6,9.5,20.7,45.9,2.9,7.6,38.6,4.6,5.3,86.8,0.8,6.6,7.4,4.3,2.7,1.2,0.5,1.9,44.3,15,1,2.5
45,De'Aaron Fox,SAC,23,58,24,34,2036,25.8,9.4,19.6,47.7,1.8,5.7,32.2,5.3,7.4,71.9,0.6,3.0,3.6,7.4,3.1,1.5,0.5,3.0,44.2,11,0,-3.4
46,LaMelo Ball,CHA,19,51,23,28,1469,19.7,7.2,16.5,43.6,2.3,6.4,35.2,3.1,4.0,75.8,1.5,5.9,7.4,7.7,3.6,2.0,0.4,3.3,43.8,7,1,-2.1
47,Daniel Gafford,WAS,22,54,31,23,791,17.3,7.0,10.2,68.4,0.0,0.0,0.0,3.3,4.9,66.7,4.3,6.2,10.5,1.3,1.9,1.2,3.4,4.5,43.8,2,0,2.3
48,Donovan Mitchell,UTA,24,53,39,14,1771,28.5,9.7,22.2,43.8,3.6,9.4,38.6,5.4,6.4,84.5,1.0,3.8,4.8,5.6,3.0,1.1,0.3,2.4,43.7,2,0,5.8
49,Christian Wood,HOU,25,41,12,29,1326,23.4,8.9,17.4,51.4,2.1,5.6,37.4,3.4,5.4,63.1,2.1,8.7,10.7,1.9,2.2,0.9,1.3,2.4,43.6,19,0,-2.7
50,Kristaps Porzingis,DAL,25,43,26,17,1327,23.5,8.8,18.5,47.6,2.6,7.0,37.6,3.2,3.7,85.5,2.2,8.1,10.3,1.8,1.4,0.5,1.6,3.1,43.6,16,0,0.2
51,Julius Randle,NYK,26,71,40,31,2667,23.1,8.1,17.8,45.6,2.2,5.3,41.1,4.7,5.8,81.1,1.1,8.6,9.8,5.8,3.3,0.9,0.2,3.0,43.6,41,6,2.1
52,Chris Paul,PHX,36,70,49,21,2200,18.8,7.2,14.4,49.9,1.7,4.2,39.5,2.8,3.0,93.4,0.4,4.7,5.1,10.2,2.6,1.6,0.3,2.7,43.4,25,1,5.1
53,Paul George,LAC,31,54,38,16,1821,24.9,8.8,18.8,46.7,3.4,8.2,41.1,3.9,4.5,86.8,0.9,6.2,7.1,5.5,3.5,1.2,0.5,2.6,43.3,9,0,8.5
54,Dwight Howard,PHI,35,69,46,23,1196,14.5,5.4,9.1,58.7,0.2,0.6,25.0,3.6,6.3,57.6,5.7,11.7,17.5,1.8,3.4,0.9,1.9,6.0,43.2,12,0,-2.0
56,Thaddeus Young,CHI,33,68,30,38,1652,17.9,8.1,14.4,55.9,0.3,1.0,26.7,1.5,2.5,62.8,3.7,5.6,9.2,6.3,3.0,1.6,0.9,3.3,43.0,7,0,3.2
57,Isaiah Hartenstein,CLE,23,46,20,26,559,15.2,6.1,11.0,55.0,0.1,0.4,33.3,3.0,4.6,64.8,4.2,7.5,11.7,3.5,2.8,1.2,2.5,6.7,42.9,1,0,-0.1
58,Caris LeVert,IND,26,47,24,23,1485,23.0,8.7,19.7,44.1,2.0,6.3,32.6,3.5,4.4,81.1,0.8,4.4,5.2,5.9,2.5,1.6,0.7,2.5,42.6,6,0,-0.1
