#,Player,Team,Age,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
1,James Harden,HOU,26,30,14,16,39.9,30.3,9.2,20.5,45.0,3.0,8.2,36.0,8.9,10.5,84.4,0.7,5.4,6.1,8.5,5.0,2.1,0.6,3.0,53.5,11,1,4.3
2,DeMarcus Cousins,SAC,25,26,10,16,35.3,26.8,9.4,20.4,46.1,1.0,3.0,32.5,7.0,10.0,69.6,2.4,9.3,11.8,4.0,4.0,1.9,1.5,3.4,52.8,19,1,-2.2
3,Stephen Curry,GSW,28,32,27,5,35.0,30.6,10.7,21.5,49.7,5.3,11.8,45.4,3.8,4.3,89.1,1.0,4.8,5.8,6.9,3.3,2.1,0.2,2.1,51.5,6,0,8.6
4,Russell Westbrook,OKC,27,30,18,12,34.8,22.8,7.8,17.2,45.4,1.4,4.6,31.2,5.8,7.1,81.6,2.1,6.5,8.6,11.2,4.3,1.5,0.2,2.6,50.8,21,11,5.1
5,Kevin Durant,OKC,27,29,18,11,35.8,29.4,10.2,20.4,49.9,2.9,7.7,37.8,6.1,6.7,90.8,0.9,7.7,8.6,5.8,4.2,0.9,1.2,2.1,50.6,11,0,7.1
6,Anthony Davis,NOP,23,21,7,14,35.6,27.0,10.1,20.3,49.9,0.7,1.9,37.5,6.0,8.0,74.9,2.1,8.1,10.2,2.1,1.7,1.3,1.4,2.5,48.8,12,0,-8.0
7,LeBron James,CLE,31,30,21,9,35.7,25.5,10.0,18.8,53.1,1.2,3.6,33.0,4.4,5.9,73.6,1.9,6.1,8.0,7.3,3.4,1.4,0.6,1.8,48.5,13,3,8.0
8,Chris Paul,LAC,31,30,19,11,33.4,20.9,7.2,15.5,46.8,1.8,5.2,34.8,4.6,5.1,90.8,0.5,4.4,4.9,10.5,2.4,2.0,0.2,2.3,46.8,16,0,7.7
9,John Wall,WAS,25,32,16,16,36.7,20.4,7.6,17.9,42.6,1.6,4.3,37.0,3.5,4.4,80.1,0.4,5.4,5.8,10.8,3.8,1.6,0.7,1.9,46.7,24,4,3.2
10,Giannis Antetokounmpo,MIL,21,31,13,18,36.7,18.6,7.0,14.1,49.9,0.4,1.4,30.2,4.1,6.1,66.8,1.3,7.0,8.4,6.6,2.5,1.5,1.8,2.7,45.7,14,5,-1.4
11,Hassan Whiteside,MIA,27,30,19,11,29.3,16.7,6.4,10.6,60.4,0.0,0.0,0.0,3.9,5.3,74.2,3.4,9.5,12.9,0.5,1.6,0.6,3.5,3.2,43.6,24,1,3.9
12,Karl-Anthony Towns,MIN,20,31,14,17,35.7,21.0,8.7,15.9,54.7,0.4,1.3,30.8,3.2,4.2,76.3,3.0,8.4,11.4,2.8,2.4,0.7,1.5,3.0,43.1,26,0,-1.7
13,Pau Gasol,CHI,35,28,11,17,32.2,16.3,6.2,13.4,46.3,0.5,1.5,34.9,3.3,4.2,78.6,1.9,9.2,11.0,5.4,2.6,0.6,2.0,2.2,42.8,19,2,-3.1
14,Kawhi Leonard,SAS,25,26,22,4,33.7,23.0,8.3,16.5,50.7,1.7,4.4,39.1,4.5,5.2,88.1,1.5,5.7,7.2,2.6,1.5,1.7,1.1,1.9,42.3,5,0,8.9
15,Paul Millsap,ATL,31,31,21,10,33.3,16.1,6.1,13.4,45.3,1.2,3.3,35.0,2.8,4.0,69.9,2.2,7.3,9.5,3.2,2.4,1.8,2.3,2.9,42.2,14,0,6.6
16,Draymond Green,GSW,26,33,28,5,35.5,13.2,4.6,9.4,49.2,0.9,2.9,32.6,3.1,4.2,73.2,1.5,8.0,9.5,7.5,3.5,1.6,1.6,3.2,41.9,15,4,10.6
17,Paul George,IND,26,33,18,15,34.0,22.8,7.5,17.8,42.3,2.4,6.5,36.1,5.3,6.1,87.1,1.1,5.7,6.8,4.3,2.7,1.8,0.5,2.8,41.5,5,0,0.6
18,DeAndre Jordan,LAC,27,30,19,11,34.4,14.2,5.2,7.6,68.7,0.0,0.0,0.0,3.8,8.7,43.5,3.3,10.5,13.7,1.4,1.8,0.9,2.4,2.6,41.0,21,0,6.0
19,Damian Lillard,POR,25,32,20,12,35.6,26.3,8.2,19.7,41.6,3.2,8.4,38.1,6.8,7.3,92.3,0.5,3.1,3.6,6.6,3.2,0.7,0.5,2.0,40.9,5,0,2.0
20,Kyle Lowry,TOR,30,29,21,8,38.0,22.0,6.8,15.6,43.9,2.8,7.1,38.6,5.6,7.7,73.0,0.7,3.6,4.3,6.7,2.9,1.7,0.3,2.8,40.5,4,1,4.0
21,Carmelo Anthony,NYK,32,28,9,19,36.0,22.7,8.4,19.1,43.7,1.6,4.8,34.6,4.4,5.2,83.6,1.2,6.8,7.9,4.3,2.4,0.8,0.5,2.7,40.1,9,0,-2.9
22,Nikola Vucevic,ORL,25,21,9,12,31.6,21.3,9.3,17.8,52.5,0.0,0.1,33.3,2.6,3.4,77.5,2.3,6.7,9.0,2.6,2.3,1.0,1.0,3.0,39.7,8,0,0.1
23,LaMarcus Aldridge,SAS,30,30,25,5,32.6,21.4,8.4,15.5,54.2,0.0,0.2,0.0,4.6,5.0,91.4,2.1,6.4,8.6,1.7,1.3,0.8,1.4,1.9,39.7,12,0,7.3
24,Kemba Walker,CHA,26,31,22,9,36.1,22.6,7.4,16.8,43.7,3.0,7.7,38.8,4.9,5.9,83.1,0.5,4.2,4.7,5.4,1.9,1.3,0.3,1.4,39.2,3,0,6.7
25,Rajon Rondo,SAC,30,27,10,17,35.5,12.1,4.9,10.7,45.5,1.1,2.8,40.0,1.2,2.0,60.4,0.8,4.4,5.3,11.4,3.8,2.4,0.1,2.6,39.1,13,1,-3.1
26,Andre Drummond,DET,22,32,18,14,31.8,15.0,6.3,12.0,52.5,0.0,0.1,33.3,2.4,6.4,37.3,4.3,10.1,14.4,0.9,1.7,1.1,1.3,2.8,39.0,27,0,0.5
27,Jrue Holiday,NOP,26,25,9,16,32.5,20.3,7.8,18.0,43.1,1.5,5.1,29.1,3.3,3.7,89.2,0.5,3.0,3.4,7.1,3.3,1.8,0.4,2.2,38.3,3,0,-1.0
28,Victor Oladipo,ORL,24,30,12,18,36.8,19.4,7.2,15.2,47.6,1.4,4.0,35.0,3.5,4.2,83.3,0.8,4.1,4.9,3.8,2.1,2.1,1.0,2.6,38.3,1,0,-0.2
29,Khris Middleton,MIL,24,28,13,15,37.4,19.7,7.2,15.7,45.8,1.7,4.5,37.0,3.7,4.2,88.0,0.7,3.5,4.2,4.5,2.9,2.6,0.4,2.6,37.4,1,0,1.3
30,Brook Lopez,BKN,28,25,9,16,34.0,21.5,8.4,15.6,54.0,0.1,0.4,22.2,4.6,5.8,80.6,2.6,4.0,6.6,2.8,2.7,0.8,1.3,2.8,37.4,5,0,0.4
32,DeMar DeRozan,TOR,26,30,20,10,35.7,24.3,8.0,17.8,44.9,0.6,1.7,38.0,7.6,8.9,85.4,0.8,3.6,4.5,3.9,2.1,1.1,0.2,2.3,37.1,1,0,1.8
33,Isaiah Thomas,BOS,27,31,20,11,32.6,23.6,7.8,17.8,43.7,2.1,5.5,37.2,6.0,7.1,84.9,0.6,2.4,3.0,5.6,2.5,1.1,0.2,2.0,37.0,2,0,4.0
34,Derrick Favors,UTA,24,32,17,15,32.2,16.3,6.7,13.3,50.4,0.0,0.1,0.0,2.9,4.0,72.7,2.5,5.6,8.1,1.6,1.9,1.1,1.8,2.5,35.1,10,0,3.0
35,Al Horford,ATL,30,31,21,10,32.9,14.9,6.3,12.5,50.3,1.2,3.3,37.3,1.1,1.3,85.4,1.4,6.1,7.5,3.6,1.2,0.8,1.5,2.0,35.0,6,0,6.9
36,Nicolas Batum,CHA,27,30,22,8,35.7,15.7,5.8,12.9,45.2,2.1,5.8,35.8,2.0,2.3,86.8,0.6,5.3,6.0,6.2,2.7,1.0,0.8,1.5,34.8,4,1,5.2
37,Dwight Howard,HOU,30,29,13,16,32.8,12.7,5.1,8.1,62.7,0.0,0.1,0.0,2.5,6.4,38.9,3.2,8.8,12.0,1.3,2.3,1.0,1.7,3.2,34.8,16,0,-1.1
38,Thaddeus Young,BKN,28,25,9,16,33.9,15.1,6.8,12.9,52.5,0.1,0.3,28.6,1.5,2.0,74.5,2.0,7.2,9.2,2.4,1.9,1.5,0.8,2.6,34.7,7,0,-0.4
39,Kyrie Irving,CLE,24,32,20,12,33.6,21.2,7.9,17.3,45.8,1.9,5.5,34.3,3.5,4.0,89.0,0.7,2.2,2.8,5.3,2.5,1.1,0.4,2.5,34.5,1,0,2.4
40,Dwyane Wade,MIA,34,27,17,10,30.8,19.8,7.4,16.4,45.4,0.0,0.4,0.0,4.9,6.0,82.1,1.0,3.1,4.1,4.5,3.0,1.2,0.6,1.8,34.0,1,0,1.7
41,Klay Thompson,GSW,26,33,28,5,34.4,23.3,8.7,18.9,46.2,3.7,9.0,41.6,2.2,2.3,93.4,0.5,3.5,3.9,1.7,1.5,1.2,0.4,1.8,33.9,0,0,7.4
42,Gordon Hayward,UTA,26,32,17,15,37.1,19.6,6.4,15.0,42.8,1.7,5.1,32.5,5.1,6.1,83.2,0.7,4.2,4.9,3.8,2.4,1.3,0.4,2.4,33.8,2,0,3.2
43,CJ McCollum,POR,24,32,20,12,34.6,21.1,7.9,17.3,45.8,2.6,5.5,47.4,2.7,3.2,85.3,0.6,2.2,2.8,4.2,2.8,1.3,0.4,2.5,33.2,0,0,2.6
44,Goran Dragic,MIA,30,31,19,12,33.8,16.4,6.7,13.9,48.0,0.9,3.0,31.2,2.1,2.9,74.2,0.8,3.9,4.7,6.9,2.8,1.0,0.2,2.6,33.1,5,0,3.8
45,Zach Randolph,MEM,34,23,12,11,32.2,18.0,7.3,15.8,46.3,0.2,0.7,29.4,3.2,3.7,86.0,2.1,5.6,7.7,3.2,1.7,0.6,0.2,2.5,32.9,6,1,1.5
46,Ricky Rubio,MIN,25,31,14,17,31.6,11.3,3.2,7.8,40.7,1.1,2.9,36.7,3.9,4.4,89.6,0.3,4.0,4.3,8.8,3.0,1.9,0.2,2.8,32.9,9,0,-0.6
47,Nerlens Noel,PHI,22,23,3,20,29.2,12.0,4.9,9.3,52.6,0.0,0.0,100,2.2,3.4,64.6,2.5,5.3,7.8,2.5,2.3,2.0,1.3,3.4,32.8,5,0,-4.3
50,Dirk Nowitzki,DAL,38,29,13,16,32.7,19.4,7.1,15.8,45.0,1.6,4.7,33.3,3.6,4.1,88.2,0.6,5.6,6.1,1.8,1.2,0.8,0.7,2.7,32.6,3,0,2.3
51,Jeff Teague,ATL,28,31,21,10,28.7,17.3,6.1,13.5,45.5,1.8,4.4,41.9,3.2,3.9,81.8,0.4,2.7,3.1,6.6,2.6,1.1,0.3,1.9,32.4,1,0,5.1
53,Andrew Wiggins,MIN,21,31,14,17,35.5,21.5,7.6,15.7,48.8,0.9,2.4,39.7,5.2,6.6,79.4,1.0,2.4,3.4,2.4,2.4,1.2,0.6,2.0,32.1,0,0,0.9
54,Ish Smith,PHI,27,31,2,29,32.8,14.0,5.6,13.8,40.6,1.1,3.3,33.7,1.7,2.6,63.4,0.5,4.2,4.7,6.4,2.4,1.2,0.4,1.8,31.6,2,0,-6.4
55,Marcin Gortat,WAS,32,35,18,17,28.6,13.7,6.0,10.0,60.2,0.0,0.0,0.0,1.7,2.7,64.5,3.1,6.9,9.9,1.2,1.3,0.5,1.2,2.6,31.5,18,0,3.4
56,Kevin Love,CLE,27,30,18,12,30.1,16.2,5.2,12.6,41.4,2.0,5.8,34.3,3.8,4.4,85.0,1.4,7.2,8.6,2.5,1.7,0.5,0.5,2.0,31.5,12,0,4.4
57,Gorgui Dieng,MIN,26,31,14,17,31.1,11.9,4.4,8.2,53.7,0.1,0.5,21.4,3.0,3.7,80.7,2.0,5.7,7.7,2.4,1.5,1.2,1.5,2.8,31.1,8,0,2.0
59,Luol Deng,MIA,31,31,20,11,33.4,15.1,5.7,11.8,48.5,1.1,3.3,33.7,2.6,3.6,72.1,2.1,5.4,7.5,2.3,1.3,1.2,0.4,1.7,31.0,11,0,3.4
60,Rudy Gobert,UTA,24,34,19,15,31.5,9.0,3.1,5.7,53.8,0.0,0.0,0.0,2.8,5.1,54.9,3.6,7.9,11.4,1.4,1.9,0.7,2.0,2.4,31.0,13,0,1.8
61,Rudy Gay,SAC,29,28,12,16,33.6,16.0,6.1,13.4,45.2,1.1,3.0,35.3,2.8,3.6,77.5,1.3,4.6,6.0,1.8,2.2,1.7,0.6,2.7,30.6,4,0,-0.9
62,Robin Lopez,NYK,28,31,9,22,30.7,12.6,5.3,9.4,56.2,0.0,0.0,0.0,2.1,2.6,79.0,4.4,5.1,9.5,1.3,1.8,0.2,1.9,1.9,30.6,11,0,-2.3
64,Kristaps Porzingis,NYK,20,23,5,18,29.4,15.2,5.5,13.3,41.4,1.2,3.8,30.7,3.0,3.6,82.9,1.3,5.1,6.4,1.4,1.7,0.6,1.8,2.7,30.4,5,0,-1.2
65,Reggie Jackson,DET,26,31,18,13,30.3,18.5,6.4,15.1,42.6,1.6,4.6,35.2,4.0,4.5,89.9,0.6,2.0,2.6,6.0,3.0,0.6,0.3,2.7,30.3,4,0,1.0
66,Jabari Parker,MIL,21,31,13,18,36.5,17.6,7.2,14.4,50.1,0.3,0.8,34.6,2.8,3.8,75.2,1.7,4.2,5.9,2.2,2.2,1.1,0.3,2.5,30.2,4,0,-2.4
67,Greg Monroe,MIL,26,30,12,18,28.3,13.6,5.6,10.7,52.5,0.0,0.0,0.0,2.3,3.4,68.0,2.4,5.4,7.8,2.2,1.5,0.8,0.8,2.0,29.7,7,0,-2.2
68,Nikola Jokic,DEN,21,33,15,18,24.3,10.8,4.1,8.7,47.4,0.5,1.5,31.4,2.1,2.5,82.9,2.3,6.4,8.7,3.0,1.3,1.0,0.8,3.0,29.7,9,0,-0.2
69,Trevor Ariza,HOU,31,30,14,16,37.3,13.3,4.5,10.9,41.7,2.3,6.4,36.3,1.9,2.3,84.1,1.0,3.3,4.3,3.0,1.4,2.3,0.4,2.2,29.7,1,0,2.1
70,Derrick Rose,CHI,27,26,11,15,31.5,17.8,7.3,16.5,44.4,0.8,2.3,34.4,2.3,2.9,78.9,1.0,2.6,3.6,5.0,2.8,0.8,0.1,0.9,29.6,1,0,-3.8
71,Julius Randle,LAL,21,30,7,23,30.2,12.4,4.8,10.4,46.0,0.1,0.4,23.1,2.7,3.7,73.6,2.1,8.9,11.1,2.1,1.9,0.6,0.2,3.1,29.4,16,1,-10.8
72,Jae Crowder,BOS,25,22,15,7,30.8,14.7,5.0,11.6,43.4,1.6,5.4,29.4,3.0,3.8,80.7,0.8,4.5,5.4,1.9,0.9,1.8,0.3,3.2,29.4,1,0,2.4
73,Monta Ellis,IND,30,33,18,15,34.3,13.3,5.0,12.2,40.7,1.2,3.9,30.5,2.2,2.6,83.7,0.6,3.4,4.0,4.4,2.2,1.9,0.4,2.4,29.2,0,0,-0.2
74,Evan Turner,BOS,27,30,19,11,29.8,12.0,4.7,10.0,47.3,0.3,0.7,47.6,2.2,2.7,81.3,0.6,5.1,5.7,5.0,2.0,1.1,0.5,1.8,29.2,3,0,1.1
75,Devin Booker,PHX,19,31,8,23,35.9,18.9,6.5,16.3,40.1,1.7,5.5,30.4,4.1,4.9,84.8,0.5,2.7,3.2,4.2,3.1,0.7,0.4,3.6,29.1,2,0,-7.2
76,Jonas Valanciunas,TOR,24,29,18,11,25.3,13.2,5.3,8.8,60.0,0.0,0.0,0.0,2.7,3.4,78.8,2.7,5.8,8.6,0.6,1.2,0.5,1.5,2.7,29.1,11,0,0.4
76,Tobias Harris,DET,23,29,16,13,32.9,16.2,6.1,12.6,48.6,1.2,3.2,36.2,2.8,3.2,89.1,1.0,5.3,6.3,2.4,1.2,0.6,0.3,2.2,29.1,2,0,1.8
78,Robert Covington,PHI,25,26,3,23,29.7,13.9,4.4,11.6,38.2,2.8,8.2,34.4,2.3,2.9,77.6,1.2,5.8,7.0,1.3,1.8,1.7,0.5,3.6,29.0,4,0,-3.1
80,Jared Sullinger,BOS,24,31,20,11,23.9,11.7,5.0,10.8,46.7,0.3,0.9,34.5,1.3,2.0,63.5,2.3,5.8,8.1,2.5,1.3,1.0,0.5,2.5,28.2,11,0,3.0
81,Aaron Gordon,ORL,20,32,12,20,28.3,10.9,4.3,9.3,45.5,0.6,2.2,26.8,1.8,2.8,65.9,2.3,5.6,7.9,2.1,0.9,1.0,0.8,2.1,27.9,10,0,-0.4
81,Deron Williams,DAL,32,21,7,14,31.9,13.6,4.5,11.2,40.3,1.5,4.3,35.2,3.0,3.8,81.0,0.3,2.4,2.7,6.5,2.0,0.9,0.2,2.5,27.9,3,0,1.0
83,Emmanuel Mudiay,DEN,20,33,15,18,30.9,14.0,5.3,13.8,38.6,1.4,3.9,35.9,1.9,2.9,67.4,0.4,3.0,3.5,5.2,2.5,1.0,0.5,2.0,27.8,2,0,-0.6
84,Alex Len,PHX,23,30,8,22,28.6,12.1,4.4,11.2,39.7,0.0,0.1,0.0,3.2,4.3,74.4,3.1,6.9,10.1,1.8,2.5,0.5,0.6,3.6,27.7,13,0,-6.3
85,Marvin Williams,CHA,30,31,22,9,28.7,14.0,5.1,10.4,48.9,2.2,5.0,43.6,1.6,2.1,79.7,1.5,4.6,6.2,1.3,0.8,0.9,0.8,1.7,27.7,2,0,5.2
86,Serge Ibaka,OKC,26,28,17,11,31.4,12.7,5.3,11.1,47.9,0.8,2.9,28.4,1.2,1.7,72.3,1.7,5.3,7.0,0.8,1.1,0.7,1.4,2.9,27.6,4,0,4.3
87,Darren Collison,SAC,28,32,12,20,31.9,15.7,5.7,10.9,52.4,1.3,3.0,44.2,2.9,3.3,88.7,0.4,2.1,2.5,4.5,1.7,1.2,0.1,2.0,27.5,1,0,-0.9
88,Elfrid Payton,ORL,22,29,11,18,29.7,10.2,4.3,9.6,45.0,0.4,1.4,31.7,1.2,2.1,55.7,1.2,2.5,3.7,7.3,2.3,1.0,0.4,2.2,27.5,7,1,-0.1
90,Kobe Bryant,LAL,37,24,5,19,27.0,18.9,6.3,17.3,36.2,2.3,7.2,32.4,4.0,4.6,87.4,0.6,2.8,3.4,1.8,1.5,0.9,0.2,1.5,27.3,1,0,-8.4
91,Jordan Clarkson,LAL,24,29,7,22,32.6,16.4,6.3,14.7,43.1,2.1,5.7,37.0,1.7,2.0,81.4,1.2,2.9,4.1,2.4,1.5,1.2,0.0,2.2,27.1,0,0,-7.9
92,Markieff Morris,WAS,26,32,14,18,27.7,13.7,5.4,11.7,46.3,0.9,2.8,31.9,2.0,2.6,75.0,1.3,4.9,6.1,1.9,1.9,0.9,0.8,3.1,27.0,2,0,0.6
94,Marcus Morris Sr.,DET,26,32,18,14,35.0,14.8,5.4,11.8,45.6,1.8,4.3,43.4,2.2,3.0,71.1,0.8,3.9,4.8,3.1,1.7,0.8,0.3,2.2,26.6,1,0,0.0
95,Bradley Beal,WAS,23,31,17,14,30.0,16.9,6.4,14.1,45.0,1.8,4.8,38.3,2.3,3.0,76.6,0.6,2.3,2.9,2.9,1.6,1.0,0.2,1.9,26.5,0,0,1.5
96,Kenneth Faried,DEN,26,25,11,14,23.6,12.8,5.4,9.1,59.6,0.0,0.0,0.0,1.9,2.8,67.6,3.3,4.9,8.2,1.2,1.3,0.4,0.6,2.3,26.5,10,0,0.2
97,Matt Barnes,MEM,36,29,11,18,32.6,12.0,4.1,11.1,36.5,1.9,5.8,32.9,2.0,2.4,82.6,1.1,5.2,6.3,2.7,2.1,0.8,0.8,3.1,26.5,4,1,-3.8
99,Avery Bradley,BOS,25,30,19,11,34.7,15.4,6.1,13.5,45.0,1.8,5.0,36.2,1.4,1.8,78.2,0.7,2.5,3.2,2.2,1.4,1.4,0.3,2.2,26.2,0,0,1.5
100,Evan Fournier,ORL,23,31,11,20,33.9,17.5,6.2,12.5,49.1,1.9,4.7,41.4,3.2,3.8,84.6,0.4,2.4,2.8,2.7,1.9,1.0,0.0,3.0,26.1,0,0,-4.1
101,Will Barton,DEN,25,33,15,18,28.7,12.9,4.6,11.2,41.2,1.1,3.7,28.9,2.6,3.5,74.1,0.5,5.2,5.7,2.6,1.9,0.8,0.6,1.8,26.1,3,0,-1.5
102,Mason Plumlee,POR,26,32,20,12,24.6,8.8,3.0,5.8,52.4,0.0,0.1,0.0,2.8,4.3,65.4,2.1,5.3,7.4,2.8,1.7,0.8,1.1,3.3,26.0,2,0,1.4
103,Rodney Hood,UTA,23,33,19,14,34.5,15.5,5.7,13.3,43.0,2.2,6.2,36.3,1.8,2.2,82.4,0.5,3.1,3.7,2.7,1.6,1.0,0.2,2.1,25.9,0,0,3.5
104,Ian Mahinmi,IND,29,29,17,12,27.5,10.3,4.2,7.2,57.6,0.0,0.0,0.0,2.0,3.3,59.4,1.7,5.4,7.1,1.7,1.7,0.9,1.1,3.1,25.9,4,0,1.4
105,Enes Kanter,OKC,24,31,18,13,20.9,14.2,5.7,9.2,61.9,0.2,0.4,58.3,2.5,3.1,81.3,3.2,5.6,8.8,0.3,1.5,0.5,0.3,2.2,25.9,13,0,1.8
