#,Player,Team,Age,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
4,Giannis Antetokounmpo,MIL,24,72,56,16,2358,30.4,11.0,19.0,57.8,0.8,3.1,25.6,7.6,10.5,72.9,2.4,11.3,13.7,6.5,4.1,1.4,1.7,3.5,61.8,54,5,10.0
5,Anthony Davis,NOP,26,56,25,31,1850,28.3,10.3,20.0,51.7,0.9,2.8,33.1,6.7,8.4,79.4,3.4,9.7,13.1,4.2,2.2,1.7,2.6,2.6,61.2,37,0,2.6
7,James Harden,HOU,29,78,51,27,2867,35.4,10.6,24.0,44.2,4.7,12.9,36.8,9.5,10.8,87.9,0.8,5.7,6.5,7.4,4.9,2.0,0.7,3.1,57.5,34,7,4.5
8,Joel Embiid,PHI,25,64,43,21,2154,29.4,9.7,20.0,48.4,1.3,4.4,30.0,8.7,10.8,80.4,2.7,11.9,14.6,3.9,3.8,0.8,2.0,3.5,57.4,58,2,6.2
9,Russell Westbrook,OKC,30,73,44,29,2629,22.9,8.6,20.2,42.8,1.6,5.6,29.0,4.1,6.2,65.6,1.5,9.6,11.0,10.7,4.4,1.9,0.5,3.4,55.0,57,34,4.0
11,Nikola Jokic,DEN,24,80,53,27,2504,23.1,8.9,17.3,51.1,1.2,3.9,30.7,4.2,5.1,82.1,3.3,9.2,12.4,8.3,3.6,1.6,0.8,3.3,54.0,56,12,4.5
12,LeBron James,LAL,34,55,28,27,1937,28.0,10.4,20.3,51.0,2.1,6.1,33.9,5.2,7.8,66.5,1.1,7.6,8.6,8.4,3.7,1.3,0.6,1.7,53.2,32,8,2.2
13,Karl-Anthony Towns,MIN,23,77,34,43,2545,26.6,9.6,18.6,51.8,2.0,5.0,40.0,5.3,6.4,83.6,3.7,9.8,13.5,3.7,3.4,0.9,1.8,4.1,53.0,54,0,0.8
16,Nikola Vucevic,ORL,28,80,41,39,2510,23.9,10.1,19.4,51.8,1.2,3.3,36.4,2.6,3.3,78.9,3.2,10.6,13.8,4.4,2.3,1.2,1.3,2.3,52.0,60,1,3.1
17,Hassan Whiteside,MIA,30,72,33,39,1674,19.1,8.3,14.6,57.1,0.0,0.3,12.5,2.3,5.2,44.9,5.5,12.0,17.6,1.2,2.1,1.0,2.9,4.1,51.6,36,0,0.4
18,Andre Drummond,DET,25,79,40,39,2647,18.6,7.6,14.3,53.3,0.1,0.5,13.2,3.3,5.6,59.0,5.8,11.0,16.8,1.5,2.4,1.8,1.9,3.7,49.8,69,0,2.4
19,Jusuf Nurkic,POR,24,72,45,27,1974,20.5,7.7,15.1,50.8,0.1,0.5,10.3,5.1,6.7,77.3,4.4,9.2,13.6,4.3,3.1,1.3,1.9,4.6,49.7,36,1,7.8
20,Jonas Valanciunas,MEM,27,49,31,18,1091,25.2,9.9,17.7,55.9,0.5,1.6,29.2,4.8,6.1,79.5,3.5,10.3,13.8,2.3,3.0,0.6,1.7,4.8,49.4,16,0,2.3
21,Paul George,OKC,29,77,46,31,2841,27.4,9.0,20.4,43.8,3.7,9.6,38.6,5.7,6.8,83.9,1.3,6.6,8.0,4.0,2.6,2.2,0.4,2.7,48.1,24,1,6.3
22,Kyrie Irving,BOS,27,67,37,30,2214,26.0,9.8,20.2,48.7,2.8,7.1,40.1,3.5,4.0,87.3,1.2,4.3,5.4,7.5,2.8,1.7,0.6,2.7,47.7,21,1,5.4
23,Rudy Gobert,UTA,27,81,50,31,2577,17.9,6.7,9.9,66.9,0.0,0.0,0.0,4.6,7.3,63.6,4.3,10.2,14.5,2.2,1.8,0.9,2.6,3.2,47.6,66,0,5.4
24,Kawhi Leonard,TOR,28,60,41,19,2040,28.2,9.9,19.9,49.6,2.0,5.3,37.1,6.4,7.5,85.4,1.4,6.4,7.7,3.5,2.1,1.9,0.4,1.5,47.5,14,0,6.3
26,Boban Marjanovic,PHI,30,58,31,27,681,22.3,8.5,13.8,61.5,0.2,0.5,40.0,5.2,6.9,74.8,4.6,9.4,14.0,2.9,3.1,0.8,1.4,4.8,47.1,6,0,0.2
27,Kevin Durant,GSW,30,78,54,24,2702,27.0,9.6,18.4,52.1,1.8,5.2,35.3,6.0,6.7,88.5,0.4,6.2,6.6,6.1,3.0,0.8,1.1,2.1,46.8,16,2,8.8
28,Stephen Curry,GSW,31,69,52,17,2331,29.0,9.8,20.7,47.2,5.5,12.5,43.7,4.1,4.4,91.6,0.7,5.0,5.7,5.6,3.0,1.4,0.4,2.6,46.7,3,0,10.6
29,JaVale McGee,LAL,31,75,35,40,1671,19.3,8.6,13.8,62.4,0.0,0.3,8.3,2.1,3.3,63.2,4.2,8.0,12.2,1.1,2.3,1.0,3.2,4.5,45.9,14,0,-3.4
33,Luka Doncic,DAL,20,72,28,44,2318,23.7,7.9,18.4,42.7,2.6,8.0,32.7,5.4,7.5,71.3,1.3,7.4,8.7,6.7,3.8,1.2,0.4,2.1,45.1,24,8,-1.8
35,D'Angelo Russell,BKN,23,81,42,39,2448,25.2,9.7,22.3,43.4,3.4,9.3,36.9,2.4,3.0,78.0,0.8,3.9,4.6,8.3,3.7,1.5,0.3,2.1,44.7,14,0,0.3
36,Ben Simmons,PHI,22,79,50,29,2700,17.8,7.2,12.8,56.3,0.0,0.1,0.0,3.4,5.7,60.0,2.3,7.0,9.3,8.1,3.7,1.5,0.8,2.8,44.4,42,10,1.5
37,Julius Randle,NOP,24,73,31,42,2232,25.2,9.2,17.6,52.4,1.1,3.1,34.4,5.7,7.9,73.1,2.6,7.6,10.2,3.7,3.4,0.8,0.7,4.0,44.4,31,1,-0.2
38,Montrezl Harrell,LAC,25,82,48,34,2158,22.7,9.1,14.8,61.5,0.1,0.3,17.6,4.4,6.9,64.3,3.1,5.9,8.9,2.7,2.2,1.2,1.8,4.3,44.3,17,0,1.0
39,Domantas Sabonis,IND,23,74,43,31,1838,20.4,8.1,13.7,59.0,0.2,0.3,52.9,4.1,5.7,71.5,3.6,9.9,13.5,4.2,3.1,0.9,0.6,4.7,44.3,30,0,3.8
40,Damian Lillard,POR,28,80,51,29,2838,26.2,8.6,19.4,44.4,3.0,8.2,36.9,5.9,6.5,91.2,0.9,3.8,4.7,7.0,2.7,1.1,0.4,1.9,44.3,13,0,6.3
41,Kyle O'Quinn,IND,29,45,27,18,371,15.1,6.7,13.2,50.7,0.1,1.2,8.3,1.7,2.0,81.0,2.8,8.7,11.6,5.4,3.0,0.9,2.4,6.6,44.1,1,0,0.5
42,Mitchell Robinson,NYK,21,66,16,50,1360,12.8,5.3,7.7,69.4,0.0,0.0,0.0,2.1,3.6,60.0,4.7,6.5,11.2,1.0,0.9,1.4,4.3,5.7,43.7,11,0,-5.3
45,Kemba Walker,CHA,29,82,39,43,2863,26.4,9.2,21.2,43.4,3.3,9.2,35.6,4.8,5.7,84.4,0.7,3.9,4.5,6.1,2.7,1.3,0.4,1.6,43.5,10,0,0.5
46,Nerlens Noel,OKC,25,77,48,29,1056,12.9,5.5,9.4,58.7,0.0,0.0,0.0,1.8,2.7,68.4,4.3,6.8,11.1,1.5,1.6,2.3,3.3,5.7,43.4,2,0,-2.6
49,Lou Williams,LAC,32,75,47,28,1993,27.1,8.7,20.6,42.5,1.9,5.3,36.1,7.7,8.8,87.6,0.7,3.3,4.0,7.3,3.3,1.0,0.2,1.4,43.2,7,1,3.5
50,Jrue Holiday,NOP,29,67,30,37,2402,21.3,8.2,17.4,47.2,1.8,5.4,32.5,3.1,4.1,76.8,1.1,3.9,5.0,7.8,3.1,1.6,0.8,2.2,43.1,18,0,3.5
51,LaMarcus Aldridge,SAS,33,81,48,33,2687,23.1,9.2,17.7,51.9,0.1,0.6,23.8,4.7,5.5,84.7,3.4,6.6,10.0,2.6,1.9,0.6,1.4,2.4,43.1,32,0,1.2
52,Derrick Favors,UTA,27,76,46,30,1766,18.3,7.4,12.6,58.6,0.3,1.6,21.8,3.1,4.6,67.5,4.2,7.2,11.4,1.8,1.7,1.1,2.2,3.3,42.9,15,0,3.8
53,Blake Griffin,DET,30,75,39,36,2622,25.3,8.5,18.4,46.2,2.6,7.2,36.2,5.7,7.6,75.3,1.4,6.4,7.8,5.5,3.5,0.7,0.4,2.7,42.7,21,2,0.5
54,Ekpe Udoh,UTA,32,51,35,16,320,13.4,5.6,8.1,69.4,0.0,0.0,0.0,2.1,3.4,63.3,3.0,7.1,10.1,3.1,1.5,1.1,3.5,4.0,42.6,1,0,-5.7
55,Joakim Noah,MEM,34,42,14,28,692,15.5,5.7,11.1,51.6,0.0,0.1,0.0,4.1,5.7,71.6,3.0,9.4,12.4,4.6,2.6,1.0,1.6,5.0,42.6,4,0,0.2
56,Bradley Beal,WAS,26,82,32,50,3028,25.0,9.1,19.1,47.5,2.5,7.1,35.1,4.3,5.3,80.8,1.1,3.8,4.9,5.3,2.7,1.4,0.7,2.7,42.5,11,2,-1.3
57,Enes Kanter,POR,27,67,28,39,1639,20.1,8.2,15.0,54.9,0.2,0.7,29.4,3.4,4.3,78.7,5.6,8.8,14.5,2.5,2.6,0.7,0.6,3.7,42.5,32,0,-4.1
58,John Collins,ATL,21,61,24,37,1828,23.4,9.2,16.4,56.0,1.1,3.1,34.8,4.0,5.2,76.3,4.3,7.4,11.7,2.4,2.4,0.4,0.8,3.9,42.3,32,0,-1.5
59,Chris Paul,HOU,34,58,39,19,1857,17.6,5.9,14.0,41.9,2.5,6.9,35.8,3.4,3.9,86.2,0.7,4.4,5.1,9.2,2.9,2.2,0.3,2.8,42.2,18,1,5.8
60,Myles Turner,IND,23,74,43,31,2119,16.7,6.5,13.3,48.7,1.3,3.3,38.8,2.5,3.4,73.6,1.7,7.3,9.0,2.0,1.7,1.0,3.4,3.3,42.0,17,0,2.1
61,Clint Capela,HOU,25,67,44,23,2249,17.8,7.6,11.7,64.8,0.0,0.0,0.0,2.7,4.2,63.6,4.8,8.8,13.6,1.5,1.5,0.7,1.6,2.7,41.9,45,0,3.7
62,Devin Booker,PHX,22,64,15,49,2242,27.3,9.4,20.2,46.7,2.2,6.6,32.6,6.3,7.3,86.6,0.6,3.6,4.3,7.0,4.2,0.9,0.2,3.2,41.9,12,0,-5.3
63,De'Aaron Fox,SAC,21,81,39,42,2546,19.8,7.1,15.6,45.8,1.2,3.3,37.1,4.3,5.9,72.7,0.6,3.7,4.3,8.3,3.2,1.9,0.6,2.9,41.8,16,1,1.0
64,Victor Oladipo,IND,27,36,25,11,1147,21.2,7.8,18.5,42.3,2.3,6.8,34.3,3.2,4.4,73.0,0.7,5.7,6.3,5.8,2.6,1.9,0.3,2.3,41.7,5,0,4.0
