#,Player,Team,Age,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
266,Lou Williams,ATL,34,29,22,7,20.7,10.0,3.5,9.0,38.5,1.0,2.5,40.3,2.1,2.3,89.6,0.2,1.6,1.9,3.1,1.7,0.5,0.1,0.9,17.0,0,0,-0.5
267,Mike James,BKN,30,13,9,4,18.2,7.7,2.6,7.1,37.0,0.8,2.4,35.5,1.6,2.1,77.8,0.2,2.2,2.5,4.2,1.5,0.5,0.1,0.8,17.0,0,0,1.5
268,Lonnie Walker IV,SAS,22,27,11,16,23.9,11.0,4.3,10.0,43.0,1.6,4.6,34.7,0.9,1.0,85.2,0.3,2.0,2.3,1.7,1.1,0.5,0.1,1.3,16.9,0,0,-3.2
269,Maurice Harkless,SAC,28,26,11,15,24.9,6.9,2.5,5.8,42.1,0.7,2.8,24.7,1.3,1.6,80.5,0.4,2.5,2.9,1.4,0.7,1.1,0.6,2.8,16.9,0,0,-0.5
270,Frank Jackson,DET,23,31,10,21,22.1,12.1,4.1,8.7,47.2,1.8,4.4,41.6,2.0,2.4,81.3,0.5,2.0,2.5,0.8,1.0,0.5,0.0,1.5,16.8,0,0,-0.8
271,Matisse Thybulle,PHI,24,29,20,9,21.9,4.2,1.7,4.2,41.0,0.7,2.5,28.8,0.0,0.1,0.0,0.4,1.9,2.3,1.0,0.6,1.7,1.3,1.8,16.8,0,0,1.4
272,DeMarcus Cousins,LAC,30,16,11,5,12.9,7.8,3.2,5.9,53.7,0.5,1.2,42.1,0.9,1.4,68.2,1.4,3.1,4.5,1.0,1.6,0.8,0.4,2.1,16.7,1,0,-0.8
273,Marc Gasol,LAL,36,17,8,9,17.1,5.5,2.0,3.5,56.7,1.1,2.2,51.4,0.4,0.8,50.0,0.8,3.5,4.2,2.4,1.4,0.5,0.8,1.9,16.7,0,0,1.0
274,Dewayne Dedmon,MIA,31,16,11,5,13.2,7.1,2.9,4.1,70.8,0.1,0.3,20.0,1.3,1.7,74.1,1.8,3.6,5.4,0.8,0.8,0.6,0.4,2.3,16.6,1,0,4.3
275,Cameron Johnson,PHX,25,26,20,6,23.6,8.4,3.0,7.6,39.6,1.7,5.5,31.0,0.7,0.8,81.8,0.5,2.7,3.2,1.5,0.5,0.6,0.2,1.4,16.5,0,0,-1.0
276,Deni Avdija,WAS,20,21,11,10,24.9,6.6,2.4,6.2,38.9,0.9,3.2,26.9,0.9,1.2,69.2,0.4,4.7,5.1,1.0,0.3,0.5,0.4,2.5,16.4,2,0,-1.7
277,Robin Lopez,WAS,33,34,20,14,17.6,10.1,4.4,6.5,68.0,0.0,0.1,25.0,1.1,1.6,73.6,1.7,1.7,3.4,0.6,1.0,0.1,0.7,1.1,16.4,1,0,2.1
278,Jarred Vanderbilt,MIN,22,27,11,16,16.1,4.5,1.9,3.2,58.6,0.0,0.1,0.0,0.7,1.3,55.9,1.9,3.6,5.5,0.7,0.5,0.9,0.7,1.7,16.4,0,0,1.9
279,Derrick Favors,UTA,29,32,23,9,14.3,4.7,2.1,3.4,62.4,0.0,0.0,0.0,0.4,0.7,60.9,2.1,3.5,5.7,0.5,0.5,0.4,1.1,1.8,16.4,0,0,-0.1
280,Freddie Gillespie,TOR,24,20,7,13,19.6,5.6,2.2,4.2,52.4,0.0,0.0,0.0,1.2,1.7,69.7,2.1,2.8,4.9,0.5,0.6,0.7,1.0,2.2,16.4,0,0,-3.9
281,Malik Monk,CHA,23,18,7,11,19.1,9.3,3.3,8.6,38.7,1.6,4.4,35.0,1.1,1.3,87.0,0.3,1.6,1.8,2.4,1.1,0.7,0.1,0.7,16.3,0,0,-0.8
282,Drew Eubanks,SAS,24,36,14,22,14.7,6.5,2.4,3.8,63.0,0.1,0.1,100,1.6,2.2,73.1,1.7,3.3,5.0,0.8,1.0,0.4,0.8,1.8,16.2,3,0,-2.0
283,Elfrid Payton,NYK,27,29,20,9,18.2,7.3,3.1,7.4,42.3,0.4,1.2,35.3,0.6,1.1,54.8,0.7,2.3,3.0,2.7,1.4,0.8,0.1,1.8,16.1,0,0,-1.6
284,Danuel House Jr.,HOU,28,14,1,13,23.6,8.2,2.9,6.3,46.6,1.4,3.4,42.6,0.9,1.9,50.0,0.1,3.1,3.2,1.9,1.1,0.4,0.3,1.7,16.0,0,0,-3.5
285,Xavier Tillman,MEM,22,29,16,13,16.9,6.6,2.8,4.6,61.7,0.4,1.0,41.4,0.5,0.9,53.8,1.2,3.1,4.3,1.0,0.7,0.6,0.6,1.6,16.0,2,0,0.3
286,Edmond Sumner,IND,25,29,14,15,20.1,9.6,3.6,6.7,53.3,0.9,2.0,42.4,1.6,1.9,85.2,0.3,1.8,2.1,1.3,1.0,0.7,0.3,2.0,15.9,0,0,-0.8
290,Saben Lee,DET,22,31,9,22,16.8,5.2,2.0,4.4,44.5,0.1,0.5,23.5,1.1,1.6,70.0,0.4,1.8,2.2,4.3,1.3,0.6,0.3,1.5,15.7,0,0,-2.8
291,Immanuel Quickley,NYK,22,29,19,10,19.6,10.1,3.2,8.2,39.5,1.8,4.6,40.2,1.8,2.1,83.6,0.3,1.6,1.9,1.5,0.8,0.4,0.1,1.5,15.6,0,0,5.5
292,Donta Hall,ORL,23,13,3,10,13.8,5.6,1.9,2.7,71.4,0.0,0.0,0.0,1.8,2.6,67.6,1.8,2.9,4.8,0.8,0.6,0.4,0.8,1.4,15.5,1,0,-1.5
293,Tyrese Maxey,PHI,20,26,17,9,15.3,8.5,3.2,6.8,47.7,0.6,1.8,34.0,1.5,1.7,88.4,0.1,1.5,1.7,2.3,0.7,0.4,0.3,1.5,15.4,0,0,3.1
294,Chimezie Metu,SAC,24,25,10,15,16.7,7.6,3.0,6.0,51.0,0.5,1.4,35.3,1.0,1.4,73.5,0.8,2.8,3.6,0.9,0.9,0.4,0.5,2.0,15.1,0,0,-1.6
295,Cody Martin,CHA,25,27,12,15,20.6,4.5,1.7,4.4,39.8,0.4,1.3,29.4,0.6,1.2,51.5,1.1,2.6,3.8,2.2,0.9,0.9,0.3,1.3,15.0,1,0,-0.1
296,Stanley Johnson,TOR,25,26,9,17,19.6,6.1,2.0,5.4,37.1,0.8,3.0,27.3,1.3,1.6,80.5,0.5,2.4,2.9,1.7,1.2,1.0,0.3,2.3,15.0,2,0,-2.6
297,JaMychal Green,DEN,31,32,23,9,18.4,7.4,2.8,5.9,48.4,1.2,3.1,37.4,0.6,0.8,76.0,1.3,2.5,3.8,0.9,0.8,0.3,0.5,2.3,15.0,0,0,0.8
298,Garrett Temple,CHI,35,21,9,12,26.2,6.0,2.3,5.8,39.3,1.0,3.1,31.8,0.4,0.6,75.0,0.4,2.0,2.4,2.6,1.1,0.5,0.6,2.1,15.0,0,0,-2.6
300,Jaylen Nowell,MIN,21,17,5,12,18.3,7.2,2.9,7.6,38.0,0.7,3.4,21.1,0.7,0.9,75.0,0.4,1.9,2.3,1.8,0.6,0.6,0.4,1.5,14.9,0,0,-3.5
301,Justise Winslow,MEM,25,17,9,8,18.0,5.8,2.4,6.9,33.9,0.4,1.9,18.2,0.8,1.4,56.5,0.6,3.5,4.1,1.8,1.4,0.6,0.4,1.4,14.9,1,0,-4.9
302,Luke Kennard,LAC,25,27,20,7,19.2,9.0,3.4,7.1,48.2,1.7,3.8,43.7,0.5,0.6,81.3,0.2,2.3,2.5,1.5,0.7,0.3,0.1,1.3,14.9,1,0,-0.8
303,Frank Kaminsky,PHX,28,18,12,6,14.7,6.1,2.4,4.9,48.3,0.3,1.2,22.7,1.0,1.6,62.1,0.8,3.4,4.2,1.7,0.4,0.3,0.3,1.7,14.8,1,0,1.7
304,Bismack Biyombo,CHA,28,31,11,20,18.7,4.5,2.0,3.1,63.9,0.0,0.0,0.0,0.5,1.4,39.5,2.0,3.0,5.0,1.0,1.2,0.2,1.1,1.8,14.7,2,0,-5.8
