#,Player,Team,Age,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
2,Russell Westbrook,OKC,27,80,55,25,2749,24.6,8.6,18.9,45.4,1.3,4.5,29.6,6.1,7.5,81.2,1.9,6.3,8.2,10.9,4.5,2.1,0.3,2.6,53.5,54,18,8.3
3,Stephen Curry,GSW,28,79,71,8,2700,31.7,10.7,21.3,50.4,5.4,11.8,45.4,4.8,5.3,90.8,0.9,4.8,5.7,7.0,3.5,2.3,0.2,2.1,53.0,15,2,13.6
4,DeMarcus Cousins,SAC,25,65,29,36,2246,28.0,9.6,21.4,45.1,1.1,3.4,33.3,7.6,10.6,71.8,2.5,9.4,12.0,3.4,4.0,1.6,1.5,3.8,52.8,47,1,0.6
6,Hassan Whiteside,MIA,27,73,42,31,2125,17.6,7.0,11.6,60.6,0.0,0.0,0.0,3.6,5.6,65.0,4.0,10.6,14.7,0.5,2.3,0.7,4.6,3.4,49.5,41,3,1.5
7,Kevin Durant,OKC,27,72,52,20,2578,28.3,9.7,19.3,50.5,2.6,6.7,38.7,6.2,7.0,89.8,0.6,7.6,8.2,5.0,3.5,1.0,1.2,1.9,48.7,27,1,9.0
8,Anthony Davis,NOP,23,61,24,37,2164,24.6,9.3,18.9,49.3,0.6,1.8,32.4,5.4,7.2,75.8,2.2,8.3,10.4,1.9,2.0,1.3,2.1,2.5,48.2,36,0,-3.3
9,Chris Paul,LAC,31,74,50,24,2420,21.5,7.7,16.6,46.2,1.8,4.9,37.1,4.4,4.9,89.6,0.6,4.0,4.6,11.0,2.9,2.3,0.2,2.8,48.0,38,0,8.2
10,LeBron James,CLE,31,76,56,20,2709,25.5,9.8,18.8,52.0,1.2,3.7,30.9,4.8,6.5,73.1,1.5,6.0,7.5,6.8,3.3,1.4,0.7,1.9,47.6,28,3,8.2
11,James Harden,HOU,26,82,41,41,3125,27.4,8.2,18.6,43.9,2.7,7.6,35.9,8.3,9.6,86.0,0.7,5.0,5.8,7.1,4.3,1.6,0.6,2.6,47.1,23,3,1.4
12,Pau Gasol,CHI,35,72,36,36,2291,18.6,7.3,15.6,46.9,0.4,1.1,34.8,3.6,4.5,79.2,2.4,10.0,12.5,4.6,2.6,0.7,2.3,2.3,46.8,46,2,0.0
13,Cole Aldrich,LAC,27,60,41,19,800,14.8,6.0,10.1,59.6,0.0,0.0,0.0,2.7,3.8,71.4,3.9,9.1,13.0,2.3,2.9,2.1,3.1,6.3,46.4,3,0,-1.2
14,Andre Drummond,DET,22,81,43,38,2665,17.7,7.5,14.3,52.1,0.0,0.1,33.3,2.8,7.9,35.5,5.3,10.8,16.2,0.9,2.1,1.6,1.5,3.3,45.8,66,0,1.7
