Player,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE,POSS
Kris Humphries,29,24,15.7,101.2,105.5,-4.3,6.8,0.95,8.8,6.4,19.0,12.6,9.3,46.8,51.7,18.9,101.09,8.7,"1,745"
Luis Scola,50,26,21.5,105.1,107.0,-1.9,6.6,0.97,8.6,5.2,17.9,11.4,8.8,50.4,52.3,19.0,95.08,8.6,"3,258"
Marcus Morris Sr.,42,38,35.7,106.3,104.0,2.4,10.7,1.44,14.3,3.0,11.4,7.0,10.0,49.1,53.1,18.2,96.26,8.6,"5,739"
Ersan Ilyasova,35,39,25.4,103.2,107.2,-4.0,5.5,0.94,7.7,6.9,15.0,10.6,8.2,49.6,52.6,18.0,97.69,8.6,"3,835"
Raymond Felton,40,40,27.4,104.2,105.8,-1.6,20.5,2.35,24.4,1.7,9.9,5.8,10.4,45.0,50.2,17.9,96.51,8.6,"4,409"
Reggie Bullock,22,15,11.6,102.6,109.9,-7.3,10.0,3.38,19.4,3.0,13.6,7.8,5.8,55.1,58.3,11.3,95.14,8.5,852
Serge Ibaka,54,24,32.1,114.2,104.0,10.2,3.7,0.61,6.0,5.7,14.3,10.3,9.9,51.3,53.3,17.4,98.34,8.5,"5,126"
Toney Douglas,22,39,20.7,104.4,109.5,-5.1,18.8,2.45,22.1,1.9,9.9,5.6,9.0,50.2,54.3,18.9,99.53,8.5,"2,615"
Trevor Ariza,40,41,35.3,108.4,108.1,0.3,10.0,1.66,15.3,2.3,10.6,6.4,9.2,52.3,55.1,15.6,98.33,8.4,"5,868"
Charlie Villanueva,29,33,10.7,97.2,105.2,-8.0,6.3,0.77,6.1,3.2,19.3,10.8,7.9,45.4,47.3,23.6,99.89,8.4,"1,395"
Devin Harris,35,29,20.0,100.0,102.6,-2.6,14.9,1.79,19.2,1.4,8.9,5.2,10.7,51.6,55.9,16.8,100.05,8.3,"2,658"
Langston Galloway,32,50,24.8,100.8,103.4,-2.6,16.1,3.39,22.9,2.0,11.5,6.8,6.8,45.8,49.0,15.1,96.38,8.3,"4,083"
Terrence Jones,24,26,20.9,101.8,112.0,-10.3,6.9,0.84,8.1,5.6,14.8,10.0,9.7,48.6,51.9,19.0,99.61,8.2,"2,159"
Meyers Leonard,33,28,21.8,108.5,105.3,3.2,10.3,1.19,14.8,3.7,19.2,11.5,12.4,54.7,56.1,17.4,97.31,8.2,"2,708"
CJ Miles,34,30,22.9,102.7,102.5,0.2,6.9,0.90,7.7,1.7,9.9,5.8,8.5,52.1,54.7,22.1,100.95,8.2,"3,076"
