Player,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE,POSS
Giannis Antetokounmpo,51,12,30.4,112.8,97.4,15.4,32.8,1.54,17.0,6.8,30.7,19.6,11.0,58.9,61.3,36.3,107.47,23.9,"4,301"
LeBron James,50,17,34.6,112.1,103.6,8.5,47.7,2.62,28.5,2.8,19.1,11.0,10.9,55.0,57.7,30.8,101.50,19.8,"4,910"
Joel Embiid,32,19,29.5,107.2,102.0,5.2,17.8,0.96,11.7,9.1,27.9,18.7,12.2,51.2,59.0,31.5,102.07,19.4,"3,201"
Luka Doncic,36,25,33.6,116.7,111.4,5.3,45.4,2.07,23.6,3.6,22.4,13.2,11.4,53.1,58.5,35.5,101.24,19.4,"4,328"
Kawhi Leonard,41,16,32.4,116.9,104.7,12.2,25.5,1.88,16.2,2.8,17.5,10.3,8.6,52.4,58.9,32.7,100.54,19.1,"3,874"
James Harden,43,25,36.5,114.0,108.2,5.8,36.6,1.66,19.4,2.6,13.9,8.3,11.6,54.3,62.6,35.6,103.04,19.0,"5,319"
Anthony Davis,46,16,34.4,111.3,106.4,5.0,15.3,1.30,12.0,6.5,19.7,13.1,9.3,53.6,61.0,28.4,102.47,17.9,"4,556"
Nikola Jokic,46,27,32.0,113.4,108.9,4.5,35.0,2.27,26.4,7.3,23.7,15.5,11.6,56.5,60.5,26.6,96.90,17.9,"4,733"
DeAndre Jordan,27,29,22.0,104.0,105.8,-1.8,13.2,1.42,20.3,10.5,29.3,20.2,14.3,66.6,68.2,13.6,102.91,16.8,"2,650"
Damian Lillard,33,33,37.5,115.7,114.3,1.4,33.5,2.73,23.2,1.3,9.2,5.3,8.5,56.3,62.7,29.4,102.12,16.8,"5,267"
Jonas Valanciunas,32,38,26.4,107.5,107.3,0.3,10.9,1.03,12.1,11.0,27.9,19.7,11.7,60.6,63.1,21.1,103.42,16.3,"3,973"
Trae Young,18,42,35.3,111.2,116.1,-4.9,42.3,1.94,24.1,1.4,10.0,5.7,12.4,51.9,59.5,33.9,105.18,16.0,"4,645"
Hassan Whiteside,34,33,30.0,114.8,112.0,2.7,5.8,0.65,7.8,12.3,29.4,21.1,12.0,62.4,64.4,19.2,101.09,15.9,"4,228"
