Player,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE,POSS
Jimmy Butler,38,20,33.8,113.2,108.0,5.2,28.3,2.76,23.9,5.5,13.9,9.8,8.7,47.4,58.5,24.6,98.25,15.9,"4,032"
Domantas Sabonis,37,25,34.8,109.9,106.8,3.1,21.5,1.82,21.3,8.9,26.2,17.7,11.7,55.0,58.6,22.9,99.02,15.6,"4,464"
Khris Middleton,46,16,29.9,113.3,100.9,12.4,21.2,1.93,18.4,2.3,15.7,9.4,9.5,57.5,61.9,26.0,106.64,15.4,"4,112"
Andre Drummond,21,36,33.0,107.0,112.0,-5.0,13.3,0.75,12.0,12.9,33.6,22.9,16.0,53.6,55.3,25.3,98.80,15.3,"3,867"
Nikola Vucevic,28,34,32.2,110.1,109.2,0.9,18.2,2.52,15.7,6.8,27.0,16.7,6.2,52.5,54.9,25.8,99.81,15.3,"4,162"
Chris Paul,44,26,31.5,114.0,107.1,6.9,32.4,2.93,28.7,1.2,14.3,8.0,9.8,55.2,61.0,22.8,100.43,15.3,"4,624"
Christian Wood,20,42,21.4,110.8,108.8,2.0,7.4,0.71,8.0,7.9,21.4,14.7,11.1,62.0,65.9,22.3,99.54,15.3,"2,753"
Enes Kanter,36,22,17.0,113.8,103.9,9.9,8.4,1.00,11.2,15.8,25.7,20.8,11.2,57.3,59.9,18.6,100.43,15.3,"2,061"
John Collins,15,26,33.2,107.0,112.1,-5.1,7.5,0.80,7.5,8.0,20.8,14.4,9.3,63.2,65.9,22.4,104.32,15.2,"2,956"
Rudy Gobert,42,26,34.3,112.8,106.6,6.2,6.5,0.78,10.4,10.4,27.6,19.5,13.4,69.3,69.9,16.2,99.37,15.1,"4,827"
Bam Adebayo,44,28,33.6,112.6,107.7,5.0,23.8,1.80,24.0,7.7,22.4,15.3,13.3,55.8,59.8,21.2,98.36,14.7,"4,952"
Paul George,34,14,29.6,115.0,106.3,8.7,20.5,1.48,15.7,1.7,16.1,9.1,10.6,53.9,58.9,29.2,102.25,14.7,"3,020"
Russell Westbrook,36,21,36.0,110.2,107.1,3.1,34.0,1.57,19.1,4.4,15.7,10.0,12.2,49.3,53.6,33.0,107.33,14.5,"4,574"
Montrezl Harrell,44,19,27.8,112.3,105.8,6.5,10.2,0.99,9.2,8.9,14.1,11.6,9.3,58.0,60.7,24.5,104.73,14.5,"3,818"
Ivica Zubac,49,23,18.4,113.0,104.1,8.9,9.1,1.34,13.6,14.0,24.0,19.1,10.1,61.3,65.1,16.3,101.14,14.3,"2,786"
Clint Capela,22,17,32.8,110.0,107.4,2.5,5.6,0.76,8.8,11.8,26.5,19.1,11.6,62.9,62.6,15.6,104.64,14.3,"2,784"
Bradley Beal,20,37,36.0,113.1,117.6,-4.5,28.5,1.79,17.1,2.4,9.5,5.8,9.5,52.0,57.9,33.8,103.64,14.3,"4,432"
Jayson Tatum,46,20,34.3,114.2,103.5,10.6,14.3,1.29,11.7,2.7,16.5,9.6,9.0,52.7,56.7,28.0,100.63,14.3,"4,746"
Ben Simmons,35,22,35.4,109.1,107.3,1.7,33.5,2.28,31.6,5.4,15.9,10.7,13.9,58.1,60.2,20.6,101.09,14.2,"4,242"
DeMar DeRozan,31,37,34.1,111.8,113.7,-1.8,26.1,2.32,21.3,1.9,13.9,8.0,9.2,53.5,60.3,26.2,100.87,14.0,"4,855"
Derrick Rose,17,33,26.0,108.8,112.2,-3.4,37.3,2.21,22.9,2.1,7.1,4.6,10.4,52.0,55.5,30.3,101.76,14.0,"2,755"
Kevin Love,16,40,31.8,107.4,115.4,-8.0,15.0,1.27,15.8,3.0,28.6,15.5,12.4,55.0,59.9,22.5,100.17,14.0,"3,727"
Brandon Clarke,29,29,22.4,107.7,107.8,-0.1,9.2,1.47,12.3,6.7,17.7,12.4,8.3,64.2,66.3,18.0,106.13,13.9,"2,866"
Jarrett Allen,33,37,26.5,110.6,109.6,0.9,8.6,1.43,14.3,10.8,22.6,16.7,10.0,64.9,66.4,14.8,101.55,13.9,"3,922"
Devin Booker,34,36,35.9,114.9,112.2,2.7,28.8,1.73,20.5,1.2,10.6,5.9,11.9,54.4,61.8,29.4,102.36,13.8,"5,350"
Deandre Ayton,20,18,32.5,112.5,108.5,4.0,9.1,0.90,9.5,12.0,22.5,17.4,10.6,54.8,56.8,23.1,101.95,13.7,"2,623"
Malcolm Brogdon,34,20,30.9,108.1,105.7,2.3,35.0,2.91,28.6,2.8,12.4,7.8,9.8,48.9,54.1,24.9,98.85,13.6,"3,436"
Steven Adams,40,23,26.7,111.2,106.7,4.4,12.8,1.55,18.1,12.8,21.4,17.3,11.6,59.3,60.4,16.8,100.64,13.6,"3,520"
Gordon Hayward,34,18,33.5,113.8,105.4,8.5,17.8,2.21,19.8,3.1,15.9,9.6,9.0,56.1,59.5,20.6,101.89,13.2,"3,703"
Julius Randle,21,43,32.5,105.7,111.6,-5.9,15.8,1.03,12.8,6.7,22.3,14.2,12.4,49.2,53.8,27.1,99.72,13.1,"4,327"
Gorgui Dieng,20,43,17.4,99.6,103.2,-3.6,10.7,1.22,13.5,7.4,22.1,14.6,11.1,53.0,56.8,17.5,103.14,13.1,"2,347"
Zach LaVine,20,40,34.8,106.8,111.2,-4.4,21.8,1.23,14.2,1.9,12.5,7.0,11.5,52.6,56.8,31.2,100.85,13.0,"4,382"
Thomas Bryant,15,31,24.9,109.4,116.0,-6.6,10.7,1.57,13.8,8.1,19.8,13.9,8.8,62.6,64.9,18.5,104.26,13.0,"2,493"
Ja Morant,33,34,31.0,107.5,108.1,-0.6,35.4,2.22,27.4,2.4,9.0,5.9,12.3,50.9,55.6,25.6,103.79,13.0,"4,491"
Brandon Ingram,25,37,33.9,110.0,111.3,-1.3,19.2,1.37,15.3,2.3,14.4,8.4,11.2,53.1,58.7,27.5,105.01,13.0,"4,609"
Kemba Walker,37,19,31.1,115.2,108.1,7.1,23.2,2.29,19.6,2.0,10.0,6.0,8.5,52.6,57.5,26.8,100.23,13.0,"3,634"
Danilo Gallinari,37,25,29.6,116.9,111.2,5.7,9.9,1.57,10.5,2.0,15.7,9.0,6.7,54.7,61.2,24.2,99.20,13.0,"3,796"
Derrick Favors,24,27,24.4,112.1,107.9,4.2,8.7,1.47,16.1,12.1,24.9,18.5,10.9,61.8,62.0,13.5,104.39,12.9,"2,703"
Mitchell Robinson,20,41,23.2,106.1,109.1,-2.9,3.9,0.97,7.5,12.2,16.0,14.1,7.7,74.2,72.6,12.9,100.69,12.9,"2,953"
Pascal Siakam,46,14,35.2,111.8,103.0,8.8,16.1,1.40,13.0,3.0,16.2,9.8,9.3,51.2,55.4,27.8,101.93,12.9,"4,483"
Chris Boucher,45,17,13.2,109.4,103.8,5.7,4.9,0.93,6.5,12.1,18.5,15.4,6.9,53.5,58.7,18.5,102.61,12.8,"1,750"
Kristaps Porzingis,32,25,31.8,116.1,109.3,6.9,8.8,1.11,8.2,5.2,22.1,13.7,7.4,50.3,55.1,26.3,101.54,12.8,"3,839"
Marquese Chriss,15,44,20.3,103.7,113.2,-9.5,15.0,1.46,17.6,8.9,21.2,14.8,12.0,55.6,60.4,18.4,102.49,12.7,"2,561"
Tobias Harris,43,29,34.3,110.3,107.2,3.1,14.5,2.18,14.3,2.7,17.2,9.9,6.5,52.7,55.6,23.6,99.23,12.6,"5,105"
Kyle Lowry,41,17,36.2,110.0,104.0,6.0,30.9,2.43,27.9,1.5,11.5,6.6,11.5,51.8,59.0,22.5,102.29,12.5,"4,475"
Larry Nance Jr.,16,40,26.3,105.6,110.7,-5.1,12.6,2.05,19.0,6.8,20.9,13.6,9.2,59.6,60.8,15.0,99.92,12.5,"3,064"
Donovan Mitchell,43,26,34.3,111.2,108.6,2.6,21.4,1.60,15.0,2.3,10.1,6.4,9.4,51.3,55.8,30.3,100.47,12.5,"4,941"
Eric Bledsoe,48,13,27.0,112.5,100.8,11.8,27.5,2.22,25.8,2.5,12.1,7.7,11.7,52.8,57.1,23.3,108.10,12.5,"3,706"
D'Angelo Russell,11,34,32.3,106.2,114.3,-8.1,32.7,1.94,20.8,1.1,10.7,5.7,10.7,51.9,55.6,30.5,104.75,12.5,"3,171"
Nerlens Noel,38,23,18.5,106.7,105.3,1.3,7.9,0.86,13.0,8.2,17.4,13.0,15.0,68.6,71.1,14.8,99.92,12.5,"2,344"
Serge Ibaka,40,15,27.0,108.6,105.5,3.1,8.6,0.71,8.5,7.5,20.5,14.2,12.0,56.4,58.3,23.6,102.04,12.4,"3,154"
De'Aaron Fox,20,31,32.0,110.7,114.6,-4.0,33.6,2.20,23.7,2.1,9.9,5.9,10.7,51.3,55.8,29.0,102.19,12.4,"3,487"
Lou Williams,44,21,28.7,111.5,107.4,4.0,29.4,2.01,22.5,1.6,8.1,4.9,11.2,47.7,54.6,27.1,105.00,12.4,"4,095"
Shai Gilgeous-Alexander,43,27,34.7,112.7,109.2,3.5,14.8,1.73,15.1,2.0,14.6,8.5,8.7,51.4,56.8,23.5,99.60,12.3,"5,028"
Cheick Diallo,20,27,10.2,103.9,107.7,-3.8,7.6,0.69,10.3,6.3,20.8,13.6,15.0,65.1,68.8,16.9,102.11,12.3,"1,014"
Michael Porter Jr.,36,19,16.4,113.0,112.4,0.7,7.4,0.94,9.0,7.0,21.4,14.1,9.6,59.0,61.7,21.1,101.26,12.3,"1,909"
Tony Bradley,36,22,11.4,109.4,109.4,0.1,5.1,0.77,8.8,15.8,22.6,19.2,11.5,67.5,68.1,14.7,103.11,12.2,"1,419"
Dennis Schroder,40,25,30.8,108.5,103.0,5.5,22.2,1.58,17.6,1.0,9.9,5.6,11.1,53.4,57.5,26.2,101.47,12.2,"4,225"
T.J. McConnell,44,27,18.7,108.3,107.1,1.1,35.4,3.55,40.2,2.8,10.7,6.9,11.3,52.2,54.0,16.7,103.07,12.2,"2,857"
Jamal Murray,38,21,32.3,113.0,107.7,5.3,22.8,2.24,20.7,2.4,10.1,6.3,9.2,51.9,55.9,24.8,97.48,12.1,"3,882"
Spencer Dinwiddie,30,34,31.2,110.5,109.4,1.1,34.4,2.48,23.8,1.5,8.5,5.1,9.6,47.6,54.1,28.7,101.70,12.1,"4,227"
LaMarcus Aldridge,23,30,33.1,110.2,113.4,-3.2,11.7,1.74,12.0,5.8,16.2,11.0,6.9,53.2,57.1,23.6,99.82,12.0,"3,642"
Mason Plumlee,38,23,17.3,107.6,108.6,-1.0,21.0,1.88,25.9,8.7,19.5,14.1,13.8,61.5,61.3,17.3,101.26,12.0,"2,215"
Ricky Rubio,32,33,31.0,112.4,108.4,4.0,37.7,3.29,37.1,2.3,12.8,7.5,11.3,47.1,53.5,19.9,103.53,12.0,"4,337"
Alec Burks,21,45,26.6,103.5,109.8,-6.3,17.9,2.08,16.3,2.5,13.1,7.7,7.8,49.3,56.1,23.0,101.88,11.9,"3,729"
Alex Len,18,37,17.6,102.3,107.8,-5.4,8.3,0.91,10.6,9.4,20.2,14.9,11.7,58.0,60.0,17.6,104.70,11.8,"2,119"
George Hill,47,12,21.5,112.7,102.1,10.6,19.6,3.16,27.5,3.8,8.6,6.3,8.7,62.4,65.9,15.2,104.84,11.7,"2,779"
Fred VanVleet,40,14,35.7,109.1,104.3,4.8,28.1,2.95,26.7,0.9,8.8,5.0,9.1,50.7,55.3,21.8,100.95,11.6,"4,060"
Richaun Holmes,16,28,28.2,110.8,109.6,1.2,5.0,0.81,8.5,10.1,19.1,14.5,10.6,64.8,68.1,15.6,98.72,11.5,"2,547"
Mo Bamba,30,32,14.2,103.9,103.4,0.5,7.7,1.00,10.7,9.9,21.6,15.5,10.7,52.6,54.2,16.3,99.81,11.5,"1,832"
Jrue Holiday,26,35,34.7,110.0,109.5,0.5,28.4,2.22,24.4,3.4,9.5,6.5,11.0,51.6,53.7,24.1,104.32,11.5,"4,606"
Dwight Howard,52,17,18.9,112.3,106.4,5.9,4.8,0.54,9.0,12.8,25.7,19.1,16.8,73.5,69.6,14.6,99.50,11.4,"2,707"
Cody Zeller,18,40,23.1,105.3,113.6,-8.3,11.1,1.17,12.3,11.0,19.7,15.1,10.5,54.3,57.6,20.1,97.50,11.4,"2,725"
Goran Dragic,37,22,28.2,111.7,108.2,3.5,29.7,2.09,23.5,1.7,9.0,5.5,11.3,52.6,57.3,24.8,100.66,11.4,"3,507"
Shaquille Harrison,14,29,11.3,106.5,99.7,6.8,14.7,2.58,19.1,4.2,13.9,8.7,7.4,51.5,55.9,17.6,101.88,11.4,"1,024"
JaVale McGee,51,17,16.6,111.5,105.7,5.8,4.4,0.67,8.6,11.1,21.8,16.6,12.8,64.2,65.2,14.5,101.90,11.3,"2,395"
T.J. Warren,42,25,32.9,109.6,106.9,2.7,7.2,1.18,7.9,3.1,9.2,6.3,6.7,58.1,61.0,22.9,99.06,11.3,"4,546"
Willie Cauley-Stein,16,38,20.3,102.2,107.7,-5.5,9.8,1.75,15.9,7.2,20.2,13.6,9.1,57.9,58.9,14.4,100.68,11.3,"2,301"
Jaylen Brown,38,19,33.9,113.7,106.8,6.9,9.5,0.94,9.6,3.1,14.9,9.0,10.1,55.4,58.3,24.5,99.75,11.3,"3,997"
Jabari Parker,9,29,24.2,110.4,115.3,-4.9,11.0,1.06,11.4,6.5,17.0,11.6,10.8,54.8,57.1,23.3,105.12,11.3,"2,012"
Al Horford,39,28,30.2,110.1,106.8,3.3,18.7,3.38,24.7,5.1,17.1,11.1,7.3,52.0,53.6,17.3,100.63,11.2,"4,241"
Rudy Gay,30,37,21.8,108.3,108.1,0.2,11.6,1.30,13.3,4.0,19.4,11.7,10.3,50.8,55.3,21.1,104.18,11.2,"3,173"
Elfrid Payton,17,28,27.7,109.4,112.3,-3.0,34.7,3.36,36.0,3.9,12.6,8.1,10.7,45.5,47.0,19.0,100.50,11.1,"2,605"
Caris LeVert,21,24,29.6,109.8,109.5,0.2,24.2,1.69,17.6,3.4,9.6,6.5,10.4,48.0,51.4,28.4,102.65,11.1,"2,839"
Dejounte Murray,29,37,25.6,109.2,113.5,-4.2,23.2,2.17,25.0,4.0,18.4,11.2,11.6,49.4,52.4,20.7,101.68,11.1,"3,556"
Norman Powell,40,12,28.4,109.3,104.6,4.6,9.5,1.18,11.0,1.7,9.8,5.9,9.3,58.6,62.4,21.0,103.48,10.9,"3,188"
Devonte' Graham,23,40,35.1,107.4,111.8,-4.5,34.5,2.60,27.5,1.8,7.8,4.7,10.6,49.5,53.7,24.3,97.32,10.9,"4,491"
Will Barton,38,20,33.0,112.7,106.9,5.8,15.7,2.41,19.4,4.0,14.7,9.4,8.0,52.3,54.9,19.7,97.97,10.9,"3,919"
Tyus Jones,32,33,19.0,106.9,109.2,-2.3,31.4,5.18,35.9,0.7,7.1,3.8,6.9,51.4,53.2,16.5,106.40,10.8,"2,737"
John Henson,8,32,15.0,104.0,104.7,-0.7,13.3,1.50,19.2,7.7,19.1,13.4,12.8,57.9,57.8,16.0,100.77,10.8,"1,255"
Tristan Thompson,19,38,30.2,105.0,115.2,-10.1,10.6,1.17,14.0,12.6,20.7,16.5,12.0,52.0,54.0,18.1,99.12,10.8,"3,547"
Daniel Theis,42,23,24.1,111.0,104.0,7.0,10.4,2.06,17.4,8.6,17.2,12.9,8.5,60.3,63.1,14.4,100.04,10.8,"3,252"
Bobby Portis,21,45,21.1,102.3,110.2,-7.9,11.2,1.34,12.3,5.3,18.0,11.4,9.1,50.7,53.0,20.7,101.25,10.8,"2,959"
Jalen Brunson,34,23,17.9,113.2,105.6,7.6,26.5,2.85,27.9,2.1,10.0,6.1,9.8,52.2,55.3,19.9,100.74,10.7,"2,149"
Jakob Poeltl,30,36,17.7,114.5,108.9,5.7,12.6,2.15,24.7,10.8,19.4,15.2,11.5,62.4,61.2,12.5,103.94,10.7,"2,525"
Delon Wright,42,31,21.5,111.2,109.5,1.7,21.5,3.34,31.6,4.0,12.4,8.2,9.4,51.9,55.4,14.0,101.55,10.6,"3,312"
Ersan Ilyasova,48,15,15.7,109.5,105.3,4.2,6.5,1.44,11.2,5.9,21.2,13.8,7.8,54.6,58.9,15.8,107.93,10.5,"2,212"
Jordan Clarkson,34,37,24.0,110.5,111.0,-0.5,13.0,1.40,11.7,2.8,7.8,5.3,8.4,54.2,57.4,25.4,99.87,10.5,"3,552"
Bojan Bogdanovic,41,22,33.1,113.5,108.0,5.5,9.9,0.82,9.8,2.0,10.0,6.2,11.9,54.8,60.3,25.2,99.45,10.5,"4,328"
Rajon Rondo,37,11,20.5,108.7,107.3,1.4,34.0,2.64,35.3,2.2,11.9,7.0,13.4,48.0,49.4,18.4,101.73,10.4,"2,093"
Andrew Wiggins,15,39,34.4,107.7,112.8,-5.1,18.0,1.50,13.9,3.3,11.0,7.0,9.3,50.4,53.6,26.9,103.46,10.4,"4,008"
Buddy Hield,31,41,30.8,108.9,111.9,-3.1,15.3,1.27,13.4,2.5,12.4,7.4,10.6,54.5,56.6,26.3,100.92,10.4,"4,676"
Aaron Gordon,30,32,32.5,108.6,109.7,-1.2,16.5,2.28,19.1,5.0,18.1,11.4,8.4,48.4,51.6,20.5,99.72,10.4,"4,182"
Nemanja Bjelica,31,41,27.9,110.0,111.1,-1.0,14.1,2.05,20.5,5.4,17.7,11.5,10.0,58.3,60.2,16.7,99.44,10.3,"4,188"
Terry Rozier,21,42,34.4,104.5,113.4,-9.0,20.9,1.84,18.4,2.2,10.7,6.2,10.0,51.4,55.3,23.2,96.62,10.3,"4,354"
CJ McCollum,34,36,36.5,114.1,113.6,0.5,18.5,2.44,16.6,1.7,9.0,5.4,6.8,52.2,54.1,25.7,101.47,10.3,"5,398"
Harry Giles III,22,24,14.5,106.7,115.0,-8.2,13.5,1.36,15.9,6.5,24.1,14.9,11.6,55.4,58.0,20.6,102.08,10.3,"1,413"
Wendell Carter Jr.,15,28,29.2,104.8,105.3,-0.5,6.2,0.71,9.5,10.2,21.6,15.6,13.4,54.2,59.0,16.2,100.79,10.3,"2,630"
Lauri Markkanen,18,32,29.8,105.3,107.3,-2.0,7.7,0.91,9.1,3.8,17.4,10.4,10.0,51.7,56.0,20.9,101.72,10.3,"3,159"
Shabazz Napier,16,40,24.0,105.3,109.0,-3.6,29.5,2.05,28.8,1.8,10.0,5.6,14.1,49.6,55.2,19.7,103.98,10.2,"2,917"
D.J. Augustin,28,29,24.9,106.2,104.6,1.5,28.1,3.05,29.9,1.5,6.7,4.1,9.8,47.5,55.4,18.4,99.57,10.2,"2,961"
Bogdan Bogdanovic,29,32,28.9,109.1,110.8,-1.7,18.4,2.03,18.5,1.4,10.5,5.8,9.1,54.7,56.5,22.1,99.24,10.2,"3,659"
Kelly Olynyk,41,26,19.4,110.5,109.0,1.5,13.1,1.63,18.5,3.4,19.1,11.5,11.3,58.2,62.1,16.5,101.59,10.2,"2,760"
Paul Millsap,30,21,24.3,113.7,104.5,9.3,9.3,1.19,12.7,7.9,15.7,11.8,10.8,54.3,59.1,19.7,97.82,10.2,"2,522"
Derrick White,32,36,24.7,110.1,109.2,1.0,20.3,2.71,24.8,2.0,10.5,6.4,9.2,53.0,59.3,18.3,103.36,10.2,"3,614"
Donte DiVincenzo,53,13,23.0,111.9,99.6,12.2,13.4,1.71,19.4,4.1,14.0,9.3,11.3,53.6,55.7,16.8,107.06,10.2,"3,388"
Rondae Hollis-Jefferson,43,17,18.7,108.5,104.3,4.2,14.1,1.80,19.0,8.9,14.3,11.6,10.6,47.6,53.3,16.4,101.96,10.1,"2,373"
Terence Davis,53,19,16.8,111.8,103.9,7.9,14.0,1.51,17.7,3.9,13.7,9.0,11.7,56.4,58.8,18.1,102.12,10.1,"2,571"
Lonzo Ball,26,37,32.1,109.6,110.3,-0.7,29.2,2.27,32.4,3.2,14.2,8.7,14.3,51.1,51.7,18.1,104.82,10.1,"4,425"
Draymond Green,10,33,28.4,103.2,110.4,-7.2,31.0,2.71,37.1,1.8,19.2,10.4,13.7,44.6,48.9,15.6,102.94,10.0,"2,618"
Ish Smith,23,45,26.3,109.2,113.1,-3.9,26.6,3.52,28.9,1.5,10.3,5.7,8.2,49.2,50.9,18.6,104.48,10.0,"3,895"
Jeff Teague,22,37,24.8,108.0,113.7,-5.7,30.6,2.66,30.9,1.7,7.4,4.6,11.6,48.0,55.7,19.2,104.32,10.0,"3,187"
Troy Brown Jr.,24,45,25.8,108.2,113.7,-5.5,14.2,2.25,19.0,4.0,17.1,10.3,8.4,48.8,52.4,17.4,104.54,10.0,"3,875"
Dario Saric,32,34,24.7,110.8,112.0,-1.2,10.5,1.40,15.3,6.0,18.6,12.3,10.9,55.4,59.2,17.4,102.60,9.9,"3,476"
Monte Morris,46,27,22.4,110.2,109.3,0.8,21.9,4.81,28.1,1.4,6.7,4.0,5.8,51.7,54.5,16.8,100.03,9.9,"3,422"
Frank Kaminsky,19,20,19.9,108.0,109.0,-1.0,14.4,2.03,16.4,4.3,17.9,11.0,8.1,51.6,54.5,20.4,104.50,9.9,"1,696"
Tyler Herro,34,21,27.4,107.9,109.6,-1.7,13.1,1.39,13.8,1.1,13.1,7.2,9.9,52.0,55.0,21.3,100.21,9.9,"3,164"
Omari Spellman,11,38,18.1,101.2,109.7,-8.5,8.6,0.87,10.8,7.6,15.5,11.4,12.4,50.3,55.1,17.7,102.39,9.8,"1,898"
JJ Redick,26,34,26.3,111.7,112.7,-1.0,10.7,1.59,13.3,0.6,8.3,4.5,8.4,59.6,64.4,19.7,106.10,9.8,"3,501"
Evan Fournier,28,38,31.4,107.7,109.5,-1.8,16.0,1.67,15.5,0.8,7.4,4.0,9.3,56.0,59.5,23.7,99.95,9.7,"4,321"
Kelly Oubre Jr.,22,34,34.5,110.6,110.4,0.2,6.6,1.02,7.7,3.4,15.1,9.2,7.6,51.7,56.0,21.9,102.50,9.7,"4,113"
Bismack Biyombo,18,35,19.4,104.1,110.8,-6.6,7.9,1.04,11.2,11.2,17.8,14.5,10.8,54.3,57.0,16.8,96.39,9.7,"2,059"
Taj Gibson,21,41,16.5,101.2,113.7,-12.5,7.7,1.11,12.7,9.8,15.8,12.6,11.5,59.1,61.0,14.5,99.29,9.7,"2,123"
Michael Carter-Williams,21,24,18.5,109.5,108.1,1.4,19.2,2.10,23.6,5.0,12.1,8.4,11.3,46.9,53.5,17.5,100.39,9.6,"1,742"
Joe Ingles,44,28,29.7,110.8,105.6,5.1,24.4,2.63,33.6,1.3,11.2,6.4,12.8,57.2,59.5,14.8,100.34,9.6,"4,470"
Jaxson Hayes,28,36,16.9,107.9,109.7,-1.8,7.4,1.06,12.4,8.5,14.0,11.3,11.8,67.4,68.9,14.6,107.38,9.6,"2,409"
Eric Paschall,14,46,27.6,103.6,114.2,-10.6,12.6,1.35,13.4,4.7,11.6,8.1,9.9,52.6,57.1,20.7,102.09,9.6,"3,516"
Mike Conley,26,21,29.0,109.7,107.6,2.1,23.6,2.26,22.5,2.4,8.3,5.4,10.0,49.4,53.7,22.3,100.61,9.6,"2,864"
Marc Gasol,35,9,26.4,109.0,98.9,10.1,17.3,2.49,29.1,2.7,18.7,11.2,11.7,52.9,55.1,13.3,101.90,9.6,"2,474"
Myles Turner,37,25,29.4,107.0,106.7,0.4,5.7,0.85,8.8,4.7,16.8,10.9,10.4,53.0,56.6,18.0,98.47,9.6,"3,736"
Collin Sexton,19,46,33.0,107.8,117.0,-9.2,14.6,1.22,12.4,2.8,6.9,4.8,10.2,51.7,56.0,26.4,100.37,9.5,"4,488"
Terrence Ross,31,38,27.4,105.5,108.0,-2.5,7.2,1.17,7.7,0.6,10.8,5.4,6.6,50.8,54.8,21.6,100.51,9.5,"3,969"
Markelle Fultz,33,39,27.7,108.8,110.5,-1.7,27.3,2.51,27.2,2.0,10.0,5.8,10.8,48.8,51.7,21.0,100.44,9.5,"4,182"
Jeremy Lamb,27,19,28.1,108.9,109.8,-0.9,10.7,1.92,14.2,1.9,13.5,7.9,7.4,50.6,54.7,19.5,99.33,9.5,"2,683"
Emmanuel Mudiay,34,20,15.7,105.4,107.4,-2.0,21.2,1.53,20.8,2.1,11.7,7.1,13.6,50.8,54.3,21.8,103.02,9.5,"1,820"
Aron Baynes,19,23,22.2,110.2,111.7,-1.5,10.8,1.34,12.7,7.5,17.8,12.6,9.5,55.8,58.1,20.5,103.02,9.4,"1,998"
Davis Bertans,20,34,29.3,113.6,113.9,-0.3,8.1,1.56,11.4,2.1,13.0,7.4,7.3,59.8,62.8,18.3,105.96,9.4,"3,493"
Kyle Anderson,32,35,19.8,102.9,105.8,-3.0,16.3,2.45,27.2,4.2,15.1,9.9,11.1,51.1,53.4,13.4,104.76,9.4,"2,900"
Raul Neto,29,25,12.4,103.8,101.1,2.8,21.8,2.02,24.7,1.6,7.2,4.4,12.2,53.2,56.7,18.1,101.49,9.4,"1,410"
Tomas Satoransky,22,43,28.9,107.3,108.8,-1.5,26.9,2.72,32.6,4.0,10.1,6.9,12.0,48.8,53.3,16.5,100.82,9.4,"3,940"
Dwight Powell,25,15,26.5,116.3,107.4,8.9,7.6,1.64,15.8,7.1,13.2,10.2,9.7,65.9,67.7,12.6,99.41,9.4,"2,196"
Moritz Wagner,15,30,18.6,107.2,111.4,-4.2,10.0,0.85,13.1,6.3,20.2,12.9,15.4,59.2,63.8,17.9,107.45,9.3,"1,865"
Seth Curry,38,26,24.6,114.0,110.6,3.4,11.7,2.00,15.6,1.6,7.0,4.3,7.8,62.1,64.3,17.6,101.17,9.3,"3,342"
