#,Player,Team,Age,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
2,Giannis Antetokounmpo,MIL,25,63,51,12,1917,34.9,12.9,23.3,55.3,1.7,5.5,30.4,7.5,11.8,63.3,2.6,13.4,16.1,6.6,4.3,1.1,1.2,3.7,67.0,56,4,12.8
6,Luka Doncic,DAL,21,61,36,25,2047,30.9,10.2,22.1,46.3,3.0,9.5,31.6,7.5,9.9,75.8,1.4,8.7,10.1,9.5,4.6,1.1,0.2,2.7,56.7,39,17,4.4
7,James Harden,HOU,30,68,43,25,2483,33.9,9.7,22.0,44.4,4.3,12.2,35.5,10.0,11.6,86.5,1.0,5.5,6.5,7.4,4.5,1.8,0.9,3.3,56.3,22,4,4.1
10,Joel Embiid,PHI,26,51,32,19,1506,28.0,9.1,19.1,47.7,1.4,4.1,33.1,8.4,10.4,80.7,3.4,10.8,14.2,3.6,3.8,1.1,1.6,4.2,54.6,37,0,3.9
11,LeBron James,LAL,35,67,50,17,2316,26.4,10.0,20.3,49.3,2.3,6.6,34.8,4.1,5.9,69.3,1.0,7.1,8.2,10.6,4.1,1.2,0.6,1.8,53.4,46,13,6.9
12,Anthony Davis,LAL,27,62,46,16,2131,27.3,9.3,18.5,50.3,1.2,3.7,33.0,7.5,8.9,84.6,2.4,7.3,9.7,3.4,2.6,1.5,2.4,2.6,53.4,29,0,4.1
13,Kawhi Leonard,LAC,29,57,41,16,1848,30.1,10.4,22.1,47.0,2.4,6.3,37.8,6.9,7.8,88.6,1.1,6.8,7.8,5.5,2.9,2.0,0.6,2.2,52.7,13,1,9.3
15,Andre Drummond,CLE,26,57,21,36,1878,19.4,8.0,15.0,53.3,0.1,0.7,14.3,3.2,5.6,57.5,4.8,11.8,16.6,2.9,3.9,2.1,1.8,3.9,51.3,47,0,-3.7
17,Hassan Whiteside,POR,31,67,34,33,2008,18.6,7.8,12.6,62.1,0.1,0.1,57.1,2.9,4.3,68.6,4.6,11.6,16.2,1.4,2.2,0.5,3.5,3.5,50.0,51,0,2.0
18,Nikola Jokic,DEN,25,73,46,27,2335,22.4,8.7,16.5,52.8,1.2,3.9,31.4,3.8,4.6,81.7,2.6,8.4,11.0,7.9,3.5,1.3,0.7,3.4,49.9,43,13,3.9
20,Boban Marjanovic,DAL,31,44,21,23,422,24.7,10.3,18.0,57.3,0.3,1.5,23.5,3.7,4.9,75.4,5.6,11.2,16.8,1.7,2.6,0.7,0.9,4.8,49.4,6,0,4.2
23,Russell Westbrook,HOU,31,57,36,21,2049,27.3,10.6,22.5,47.2,1.0,3.7,25.8,5.1,6.7,76.3,1.8,6.2,7.9,7.0,4.5,1.6,0.4,3.5,48.8,22,8,2.2
24,Trae Young,ATL,21,60,18,42,2120,30.2,9.3,21.2,43.7,3.5,9.6,36.1,8.2,9.5,86.0,0.5,3.8,4.3,9.5,4.9,1.1,0.1,1.8,48.5,28,2,-3.9
26,Damian Lillard,POR,29,66,33,33,2474,28.8,9.1,19.6,46.3,3.9,9.8,40.1,6.7,7.5,88.8,0.5,3.7,4.1,7.7,2.8,1.0,0.3,1.7,46.5,19,1,1.2
27,Kristaps Porzingis,DAL,24,57,32,25,1814,23.1,7.9,18.5,42.7,2.8,8.0,35.2,4.5,5.6,79.9,2.0,8.7,10.7,2.0,1.8,0.8,2.3,3.7,46.5,25,0,5.3
28,Jonas Valanciunas,MEM,28,70,32,38,1845,20.4,8.4,14.4,58.5,0.6,1.8,35.2,2.9,3.9,74.0,4.2,11.2,15.4,2.6,2.5,0.6,1.5,3.6,46.4,39,1,0.1
29,Nikola Vucevic,ORL,29,62,28,34,1998,21.9,8.9,18.6,47.7,1.8,5.2,33.9,2.4,3.0,78.4,2.5,9.6,12.1,4.0,1.6,1.0,0.8,2.4,46.3,41,0,0.9
30,Bradley Beal,WAS,27,57,20,37,2053,30.5,10.4,22.8,45.5,3.0,8.4,35.3,6.8,8.0,84.2,0.9,3.3,4.2,6.1,3.4,1.2,0.4,2.2,46.3,8,0,-3.5
33,Paul George,LAC,30,48,34,14,1419,26.2,8.7,19.8,43.9,4.0,9.7,41.2,4.8,5.5,87.6,0.6,6.3,6.9,4.7,3.2,1.7,0.5,2.9,45.1,5,0,6.5
36,John Collins,ATL,22,41,15,26,1363,23.4,9.3,16.0,58.3,1.6,3.9,40.1,3.2,4.0,80.0,3.1,7.9,11.0,1.6,2.0,0.8,1.7,3.6,44.6,22,0,-4.4
37,Jimmy Butler,MIA,30,58,38,20,1959,21.3,6.3,13.9,45.5,0.5,2.2,24.4,8.0,9.6,83.4,1.9,5.1,7.1,6.4,2.3,1.9,0.6,1.5,44.5,11,3,4.7
39,Chris Boucher,TOR,27,62,45,17,819,18.1,6.2,13.1,47.2,1.7,5.2,32.2,4.0,5.1,78.4,4.7,7.5,12.2,1.1,1.2,1.0,2.7,5.0,44.1,5,0,4.4
40,Enes Kanter,BOS,28,58,36,22,983,17.2,7.3,12.7,57.2,0.0,0.3,14.3,2.6,3.6,70.7,6.0,9.8,15.8,2.1,2.1,0.8,1.5,3.7,44.0,9,0,7.7
42,Deandre Ayton,PHX,21,38,20,18,1236,20.1,9.0,16.5,54.6,0.1,0.4,23.1,2.0,2.6,75.3,4.3,8.4,12.7,2.1,2.3,0.8,1.7,3.4,43.5,23,0,2.9
43,De'Aaron Fox,SAC,22,51,20,31,1634,23.7,8.6,18.0,48.0,1.2,4.1,29.2,5.3,7.5,70.5,0.8,3.5,4.3,7.7,3.5,1.6,0.6,3.2,43.5,9,0,-2.7
44,Domantas Sabonis,IND,24,62,37,25,2159,19.1,7.6,14.1,54.0,0.3,1.1,25.4,3.6,4.9,72.3,3.2,9.7,12.9,5.2,2.8,0.8,0.5,3.3,43.3,50,4,2.7
45,Bam Adebayo,MIA,22,72,44,28,2417,17.1,6.6,11.8,55.7,0.0,0.2,14.3,3.9,5.7,69.1,2.6,8.3,10.9,5.5,3.0,1.2,1.4,2.7,43.2,40,3,3.6
46,Montrezl Harrell,LAC,26,63,44,19,1749,24.1,9.7,16.7,58.0,0.0,0.4,0.0,4.8,7.2,65.8,3.4,5.8,9.2,2.2,2.2,0.8,1.5,3.0,43.1,12,0,5.2
47,Ben Simmons,PHI,23,57,35,22,2017,16.7,6.7,11.5,58.0,0.0,0.1,28.6,3.3,5.3,62.1,2.0,5.9,7.9,8.1,3.6,2.1,0.6,3.3,43.0,31,6,1.1
48,Jayson Tatum,BOS,22,66,46,20,2265,24.6,8.8,19.5,45.0,3.0,7.5,40.3,4.0,5.0,81.2,1.0,6.3,7.3,3.2,2.5,1.5,0.9,2.2,42.8,10,0,7.9
49,Mo Bamba,ORL,22,62,30,32,878,13.6,5.4,11.7,46.2,1.5,4.4,34.6,1.3,1.9,67.4,4.1,8.3,12.4,1.7,1.7,0.9,3.5,4.8,42.7,2,0,0.8
50,Khris Middleton,MIL,28,62,46,16,1853,25.2,9.2,18.4,49.7,2.9,6.9,41.5,4.0,4.4,91.6,0.9,6.6,7.4,5.1,2.7,1.0,0.1,2.8,42.7,7,0,9.7
51,Clint Capela,ATL,26,39,22,17,1279,15.3,6.9,10.9,62.9,0.0,0.0,0.0,1.5,2.9,52.9,4.7,10.4,15.1,1.4,1.8,0.9,2.0,2.9,42.5,27,0,1.7
