#,Team,GP,W,L,MIN,OPP FGM,OPP FGA,OPP FG%,OPP 3PM,OPP 3PA,OPP 3P%,OPP FTM,OPP FTA,OPP FT%,OPP OREB,OPP DREB,OPP REB,OPP AST,OPP TOV,OPP STL,OPP BLK,OPP BLKA,OPP PF,OPP PFD,OPP PTS,+/-,Year
1,San Antonio Spurs,82,58,24,48.4,34.6,82.6,41.9,4.2,12.7,32.9,15,20.3,74.1,11.8,29.7,41.5,19.7,13.5,7.3,5.2,7,23.7,18.9,88.4,-7.8,2000
2,Los Angeles Lakers,82,56,26,48.5,36.4,83.1,43.8,5,14.2,35.4,19.5,25.8,75.4,12,29.4,41.3,20.2,13.1,7.5,4,6,24.4,22.8,97.2,-3.4,2000
2,Philadelphia 76ers,82,56,26,48.4,35,81.7,42.9,5.2,15.2,34.2,15.2,20.2,74.9,12,28.9,40.9,21.6,15.4,8.2,5.6,5,23.6,20.4,90.4,-4.3,2000
4,Sacramento Kings,82,55,27,49,37.6,87.1,43.2,4.9,13.8,35.5,15.7,21,74.9,13.7,32.2,45.9,22.1,16.3,8.1,5.8,5.3,21.5,19.5,95.9,-5.8,2000
5,Dallas Mavericks,82,53,29,48.3,35.8,81.6,43.9,4.6,13.9,33.4,19.9,27.2,73.1,13,32,45,21.7,15.5,7.6,4.6,6,22.5,23.3,96.2,-4.3,2000
5,Utah Jazz,82,53,29,48.2,32.5,74.1,43.9,5,14.6,34.3,22.3,29.2,76.5,10.7,26.6,37.3,19.1,16.1,8.5,5.5,5.6,24.5,25.7,92.4,-4.7,2000
7,Milwaukee Bucks,82,52,30,48.2,35.5,80.8,43.9,5.4,15.2,35.2,20.5,26.7,76.8,12.4,30.4,42.7,23,15.5,7.2,4.3,4.7,21.7,23.5,96.9,-3.9,2000
8,Phoenix Suns,82,51,31,48.3,34,78.3,43.5,4,11.4,34.9,19.7,25.9,76.1,11,31.6,42.6,20.2,17.5,8.3,5.1,5.2,22.2,22.7,91.8,-2.2,2000
9,Miami Heat,82,50,32,48.5,32.9,76.4,43.1,4.4,13.3,33.1,16.3,22.2,73.7,11.1,30.8,42,17.3,15.5,7.3,5.2,3.7,22.2,21,86.6,-2.3,2000
9,Portland Trail Blazers,82,50,32,48.2,34.4,78.5,43.8,5,13.5,36.8,17.5,23.5,74.4,11.5,27.3,38.8,21.3,14.8,7.9,4,5.1,21.2,21.3,91.2,-4.2,2000
11,New York Knicks,82,48,34,48.5,31.3,75.1,41.7,5.4,15.4,35.2,18,24.6,73.3,10.6,29.5,40.1,19.2,14.8,7.3,4.1,4.2,21.4,22.7,86.1,-2.6,2000
12,Minnesota Timberwolves,82,47,35,48.4,36.3,80.3,45.2,4.3,12.1,35.1,19.1,26.4,72.4,11.8,30.5,42.3,22.4,15.2,7.1,4.4,5.6,20.2,23.2,96,-1.4,2000
12,Toronto Raptors,82,47,35,48.7,36.7,82,44.7,4.6,12.7,36.3,17.4,23,75.4,11.3,30.6,41.9,20.7,14.1,6.8,5.4,6.3,21.9,21.3,95.4,-2.3,2000
14,Charlotte Hornets,82,46,36,48.5,33.7,79.3,42.6,4.7,13.2,36,17.6,23.3,75.6,10.9,29.7,40.6,21.3,14.7,7.5,4.6,5.5,21.6,21.4,89.8,-2.1,2000
15,Houston Rockets,82,45,37,48.4,36.8,82.1,44.9,4.4,12.4,35.4,16.9,22.7,74.4,12,29.5,41.6,21.2,13.3,7.4,4.9,4.4,21.6,20.2,94.9,-2.3,2000
16,Seattle SuperSonics,82,44,38,48.3,37.5,82.7,45.3,5.7,16.5,34.9,16.5,22.2,74.2,12.8,29.6,42.4,23.9,15,7.9,6.2,5,22.1,21.1,97.3,0,2000
17,Orlando Magic,82,43,39,48.7,34.5,79.3,43.5,4.5,12.9,34.6,23,31.3,73.5,12.9,31.8,44.8,21.9,17.2,8.5,5.4,5.9,23.7,25.3,96.5,-1,2000
18,Indiana Pacers,82,41,41,48.7,34.5,81.5,42.3,4.6,13.7,33.6,19.2,25.3,75.8,12.7,30.4,43.1,20.7,13.6,7.2,4.7,5.9,23,23.5,92.8,0.2,2000
19,Denver Nuggets,82,40,42,48.2,37.6,84.3,44.6,5.1,14.2,35.6,18.8,25,75.3,12.3,32.2,44.6,24.9,13.1,7.2,6.1,6.6,21.4,22.2,99,2.5,2000
20,Boston Celtics,82,36,46,48.4,35.8,78,45.9,5.2,14.3,36.8,19.9,26.6,75,10.8,32.3,43.1,23,17.1,7.9,5.4,4.1,23.2,23.8,96.8,2.1,2000
21,Detroit Pistons,82,32,50,48.4,36.3,83.5,43.4,5.2,15,34.8,19.5,26.5,73.6,12.3,32.6,44.9,22.7,15.5,8.2,4.8,5.5,25.1,23.8,97.3,1.7,2000
