#,Team,GP,W,L,MIN,OPP FGM,OPP FGA,OPP FG%,OPP 3PM,OPP 3PA,OPP 3P%,OPP FTM,OPP FTA,OPP FT%,OPP OREB,OPP DREB,OPP REB,OPP AST,OPP TOV,OPP STL,OPP BLK,OPP BLKA,OPP PF,OPP PFD,OPP PTS,+/-,Year
4,LA Clippers,72,49,23,48.3,39.5,90.2,43.8,12.3,35.6,34.5,18.5,24.5,75.6,10.7,34.6,45.3,23.7,14.1,7.5,4.7,4.7,22.9,22.1,109.9,-6.4,2019
5,Boston Celtics,72,48,24,48.4,38.4,87.1,44.1,11.8,34.8,34,18.8,24.5,76.7,10.3,34,44.3,22.4,15.2,7.1,5.5,5.6,20.7,21.6,107.3,-6.3,2019
6,Denver Nuggets,73,46,27,48.6,40,86.5,46.3,12.1,33.9,35.8,17.1,22.5,75.9,10.1,32.6,42.6,25.4,14.3,7.2,4.4,4.6,20.5,20.3,109.2,-2.1,2019
7,Indiana Pacers,73,45,28,48.3,39.5,88.5,44.6,11.5,33.6,34.1,17,21.6,78.8,10.4,34.9,45.2,23.1,14.7,6.9,4.6,5.2,18.8,19.8,107.5,-2,2019
8,Houston Rockets,72,44,28,48.3,42.3,91.5,46.2,12.2,35,34.9,18,23.7,76.1,11.2,36.7,47.9,25.3,16.2,8,4.9,5.2,21,21.8,114.8,-3,2019
8,Miami Heat,73,44,29,48.6,38.8,86.7,44.8,13.1,37.7,34.7,18.4,23.6,78.3,9.2,33.3,42.5,24.6,14,7.5,4.1,4.5,21.7,20.6,109.1,-2.9,2019
8,Oklahoma City Thunder,72,44,28,48.4,40.8,89.6,45.5,11.3,33.3,34,15.5,19.6,79.5,10.5,34.3,44.8,23,14.2,7,4,4.9,22.8,19.3,108.4,-2,2019
8,Utah Jazz,72,44,28,48.2,40.7,89.1,45.7,11,31,35.3,16.5,21.5,76.7,9.6,33.1,42.7,21.5,12.3,7.9,4.6,4.1,20.8,20.4,108.8,-2.5,2019
12,Dallas Mavericks,75,43,32,48.5,41.9,91.6,45.8,12.3,34.9,35.1,16,21,76,10.4,35,45.4,23.9,11.9,7,4.1,4.8,21.3,19.5,112.1,-4.9,2019
12,Philadelphia 76ers,73,43,30,48.2,39.8,86,46.3,10.4,29.4,35.3,18.4,24.5,75.1,8.6,33.2,41.8,22.8,13.8,7,4,5.3,20.5,20.9,108.4,-2.4,2019
14,Brooklyn Nets,72,35,37,48.6,41.4,92.9,44.6,12.2,34.8,35,17.4,22.6,76.9,10.6,35.3,45.9,22.6,12.8,7.7,5.3,4.5,21.1,21,112.3,0.6,2019
14,Portland Trail Blazers,74,35,39,48.2,41.8,91.6,45.6,13.6,35.4,38.3,19.1,24.7,77.1,11.5,35.4,46.9,24.9,12.9,6.8,4.9,6.1,20.1,21.7,116.1,1.1,2019
16,Memphis Grizzlies,73,34,39,48.1,40.6,90.3,45,12.9,35.3,36.5,19.6,25,78.2,10.4,34.5,44.9,24.8,14.8,8,5.3,5.5,20.2,21.2,113.7,1.1,2019
16,Phoenix Suns,73,34,39,48.2,41.2,87.4,47.2,11.6,32,36.3,19.3,24.5,78.8,9.1,34.2,43.3,23.6,15.6,7.9,5.5,4,22.6,22,113.4,-0.2,2019
18,Orlando Magic,73,33,40,48.1,40.4,86.9,46.5,12.2,33.6,36.4,15.3,19.8,77.1,9,35.8,44.9,24.7,14.6,7,4.6,5.4,19.5,18.3,108.3,1,2019
19,San Antonio Spurs,71,32,39,48.5,42.3,90.2,46.9,13.1,35.1,37.3,17.4,22.5,77.7,9.4,35.9,45.3,25.7,13.2,6.8,4.3,5.5,20.1,19.4,115.2,1.1,2019
20,Sacramento Kings,72,31,41,48.5,40.3,85.5,47.1,12.4,34.8,35.7,19.2,24.3,79,9.1,34.5,43.5,24.9,15.2,7.7,4.2,4.1,19.5,22.2,112.1,2,2019
21,New Orleans Pelicans,72,30,42,48.4,42.7,91.8,46.5,12.2,33.9,36.1,19.4,24.7,78.9,10.1,34.7,44.8,24.5,14.5,8.5,4.8,5,21.1,21.2,117.1,1.3,2019
22,Washington Wizards,72,25,47,48.2,43.1,88.4,48.8,12.4,33.1,37.6,20.4,26.3,77.8,10.5,35.7,46.2,25.2,16.2,7.5,5,4.3,22.2,22.7,119.1,4.7,2019
23,Charlotte Hornets,65,23,42,48.5,41.7,87.5,47.6,12.4,35.1,35.2,14,18.4,75.8,10.9,35,46,26.6,14.4,8,5,4.1,20.6,18.8,109.6,6.8,2019
24,Chicago Bulls,65,22,43,48.2,39.5,82.5,47.9,11.2,31.6,35.3,19.7,26,75.9,10.2,35.4,45.5,25.4,18.3,8.2,5.9,4.1,19.2,21.8,109.9,3.1,2019
25,New York Knicks,66,21,45,48.4,39.9,86,46.3,13.3,34.9,38.1,19.2,25.7,74.9,9.6,34.6,44.2,24.3,13.7,7.2,5,4.7,19.8,22.2,112.3,6.5,2019
26,Atlanta Hawks,67,20,47,48.6,43.3,90.7,47.8,11.9,32.7,36.3,21.2,27.4,77.2,11.2,35.9,47,25,15,9,6.4,5.1,21,23.1,119.7,8,2019
26,Detroit Pistons,66,20,46,48.4,41.9,87.3,48,10.7,29.6,36.1,16.2,20.9,77.7,10.1,33.4,43.5,24.6,14,8.2,5.6,4.5,19.8,19.7,110.8,3.6,2019
28,Cleveland Cavaliers,65,19,46,48.4,43.9,89.4,49.1,12.4,33,37.5,14.7,19.2,76.7,9.7,33.1,42.9,26.1,13,9.4,6.3,3.2,19.6,18.3,114.8,7.9,2019
28,Minnesota Timberwolves,64,19,45,48.6,43.1,90.4,47.7,11.6,31.9,36.3,19.7,25.2,78.3,10.1,37.2,47.3,24.4,15.5,7.8,5.5,5.7,21.6,21.4,117.5,4.3,2019
30,Golden State Warriors,65,15,50,48.4,42.2,88.6,47.6,13.5,34.8,38.9,17.1,21.9,78.3,10.2,36.3,46.5,26.1,15.6,8.2,4.9,4.6,20.1,20.1,115,8.7,2019
1,Utah Jazz,72,52,20,48.2,40.9,91.4,44.7,10.9,31.8,34.1,14.5,18.9,76.8,9.8,32.8,42.6,22.3,11.5,7.7,3.9,5.2,19,18.5,107.2,-9.3,2020
2,Phoenix Suns,72,51,21,48.6,40.5,86.8,46.7,11.6,32.8,35.4,16.8,21.7,77.8,9.4,33.3,42.7,22.9,13.6,6.9,3.6,4.3,18,19.1,109.5,-5.8,2020
3,Philadelphia 76ers,72,49,23,48.4,39.4,86.9,45.3,11.9,33,36,17.4,22.8,76.4,9.8,33.2,42.9,23.5,15.6,7.2,4.7,6.2,21,20.2,108.1,-5.6,2020
4,Brooklyn Nets,72,48,24,48.3,41.9,91.3,45.9,13.2,36.2,36.5,17.1,22,77.5,10.5,32.6,43.1,24,12.6,7.6,4.6,5.3,18.9,19,114.1,-4.5,2020
5,Denver Nuggets,72,47,25,48.6,40,85.4,46.9,13,35.7,36.3,17.1,22.1,77.3,9.1,32.1,41.2,25.9,14.1,7.5,4.5,4.5,19.2,19.1,110.1,-4.9,2020
5,LA Clippers,72,47,25,48,40.1,86.4,46.4,11.6,32.5,35.6,16.1,20.7,77.7,9.2,32,41.2,22.9,12.8,7.1,4.2,4.1,18.1,19.2,107.8,-6.2,2020
