#,Player,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE,POSS,Year
24,Detroit Pistons,82,30,52,3976,107,110.7,-3.7,56.6,1.62,16.8,31.7,68.1,49.1,14.4,49.5,53.3,89.79,46.4,"7,428",2010
25,New Jersey Nets,82,24,58,4001,102.1,108.9,-6.8,59,1.5,16.6,30.4,70,49.7,15.2,47.4,51.7,90.7,45.2,"7,563",2010
25,Sacramento Kings,82,24,58,3971,102.9,108.4,-5.5,53.4,1.27,15.4,33.4,70.2,51.2,16.7,48,51.9,95.76,46.2,"7,923",2010
27,Washington Wizards,82,23,59,3986,101.3,109.1,-7.8,52.2,1.27,14.9,31.7,67.1,48.8,16,47.1,51.3,94.76,44.5,"7,871",2010
28,Toronto Raptors,82,22,60,3956,105.2,111.7,-6.5,57.1,1.49,16.8,31.4,68.5,49.5,15.6,49.1,53.3,93.78,45.9,"7,723",2010
29,Cleveland Cavaliers,82,19,63,3951,101.5,110.9,-9.5,59.6,1.48,16.4,28.3,69.9,48.5,15.1,47.2,51.8,93.76,44.1,"7,715",2010
30,Minnesota Timberwolves,82,17,65,3956,103.2,109.9,-6.7,53.4,1.18,15,33.6,69.8,51.2,17.4,48.3,52.6,97.49,44.3,"8,034",2010
1,Chicago Bulls,66,50,16,3188,106.3,97.5,8.8,61.9,1.65,17.7,36.1,70.3,53.6,15.4,49,52.3,89.98,56.1,"5,982",2011
1,San Antonio Spurs,66,50,16,3188,110,102.3,7.7,58.5,1.71,17.8,28.2,72,50.7,14.4,52.8,56.2,93.67,54.6,"6,220",2011
3,Oklahoma City Thunder,66,47,19,3198,108.4,102.1,6.3,49.7,1.13,14.6,30.4,68.7,50.9,17.2,51.6,56.7,94.11,54.2,"6,273",2011
4,Miami Heat,66,46,20,3208,105.6,99.2,6.4,53.8,1.31,15.9,29.9,69.3,50.4,16.3,50.5,54.9,92.07,55.3,"6,154",2011
5,Indiana Pacers,66,42,24,3198,105.5,102.1,3.3,52.2,1.33,14.7,33.3,68.9,51.1,15.1,47.4,52.6,91.68,52.1,"6,115",2011
6,Los Angeles Lakers,66,41,25,3213,104.5,103.2,1.3,61.1,1.49,17.3,32.7,71.9,53.2,16.2,49.1,53.4,91.72,52.4,"6,145",2011
6,Memphis Grizzlies,66,41,25,3188,102.8,100.6,2.2,53.2,1.35,15.4,33.5,68.8,50.8,15.7,47.3,51.5,91.82,51.4,"6,099",2011
8,Atlanta Hawks,66,40,26,3233,104.2,100.4,3.8,61,1.61,17.6,27.9,70.3,49.3,15.1,50,53.5,90.88,52.6,"6,117",2011
8,Los Angeles Clippers,66,40,26,3193,107.5,104.8,2.7,56.8,1.58,16.6,33.1,69.2,50.7,14.7,50.2,53.3,89.98,51.7,"5,989",2011
10,Boston Celtics,66,39,27,3188,100.1,97.5,2.6,66.5,1.59,18.8,24.5,68.6,47.8,16.2,49.6,53.5,91.11,53.5,"6,055",2011
11,Denver Nuggets,66,38,28,3208,108.3,105.1,3.2,61.5,1.56,17.9,31.6,70.5,51.5,16,51.6,55.6,95.03,52.7,"6,346",2011
12,Orlando Magic,66,37,29,3193,104,103.4,0.6,58.1,1.34,16.1,30.6,72,51,16.5,50.6,53.3,89.75,49.3,"5,978",2011
13,Dallas Mavericks,66,36,30,3213,102.1,100.9,1.1,57.5,1.49,16.5,26.8,71.4,49.3,14.9,48.9,52.7,92.61,51,"6,195",2011
13,New York Knicks,66,36,30,3188,103.5,100.2,3.2,56.2,1.26,15.6,30.9,70.2,50.3,16.9,49.2,53.3,93.91,52,"6,242",2011
13,Utah Jazz,66,36,30,3233,105.5,104.9,0.5,57,1.54,16.6,34,70.3,51.9,15,48.1,52.5,92.53,50.9,"6,236",2011
16,Philadelphia 76ers,66,35,31,3183,102.7,98.2,4.6,58.8,1.97,17.5,27.7,71.2,49.5,12.3,48,51.1,90.68,53.2,"6,016",2011
17,Houston Rockets,66,34,32,3213,104.2,104,0.2,56.4,1.47,16.4,30.9,69.2,49.9,15.4,49.2,52.9,92.82,49.7,"6,215",2011
18,Phoenix Suns,66,33,33,3168,105.2,105.2,-0.1,59.6,1.6,17.4,29.4,68.7,49.3,15,49.9,53.6,93.61,50.2,"6,173",2011
19,Milwaukee Bucks,66,31,35,3173,104.5,104.1,0.4,62,1.67,17.6,31.4,67.5,49,14.8,48.1,52.1,94.68,50.3,"6,256",2011
20,Portland Trail Blazers,66,28,38,3193,104.4,105.3,-0.9,56.2,1.44,16.1,30.3,69.1,49.3,15.2,48.8,53.1,92.24,49.4,"6,143",2011
21,Minnesota Timberwolves,66,26,40,3188,103.1,105.3,-2.2,54.8,1.29,15.1,31.1,69.3,50.2,16,47.7,52.4,94.44,48.3,"6,268",2011
22,Detroit Pistons,66,25,41,3193,100,105,-5,53.8,1.19,15.1,32.2,68.9,50,17.2,46.8,51,90.31,44.8,"6,000",2011
23,Golden State Warriors,66,23,43,3183,103.9,107.3,-3.4,59.1,1.61,17.4,25.6,65.8,46,14.7,50.5,53.9,93.78,47.2,"6,212",2011
23,Toronto Raptors,66,23,43,3193,99.6,103.6,-3.9,60.9,1.38,16.8,29.4,70.8,50.3,16.7,47.5,51.8,90.19,47.8,"6,008",2011
