#,Player,Team,Age,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
1,Russell Westbrook,OKC,28,31,18,13,34.9,33.8,10.8,24.7,43.5,3.1,8.6,35.7,9.2,10.4,88.2,1.5,9.5,11.0,10.5,5.3,1.8,0.4,2.2,64.3,24,18,2.3
2,James Harden,HOU,27,28,17,11,36.3,30.4,8.5,20.0,42.8,3.6,10.3,34.7,9.7,11.8,82.7,1.2,6.8,8.0,10.6,5.5,1.5,0.4,2.7,56.3,22,7,4.1
3,LeBron James,CLE,32,30,19,11,38.1,27.5,10.6,18.1,58.5,1.8,4.7,37.6,4.6,7.1,64.3,1.3,8.3,9.6,9.1,3.9,0.9,0.7,2.0,53.7,21,8,6.3
4,Anthony Davis,NOP,24,30,14,16,36.2,28.3,10.5,20.5,51.5,0.6,2.0,30.5,6.6,8.1,81.5,2.2,8.9,11.1,1.9,2.2,1.2,2.0,2.1,52.0,19,0,2.5
5,DeMarcus Cousins,NOP,26,24,11,13,33.9,24.5,8.3,18.5,44.5,2.0,5.8,33.8,6.1,8.0,76.4,2.0,10.0,12.0,5.0,4.2,1.5,1.1,4.2,50.0,18,1,-0.1
6,Karl-Anthony Towns,MIN,21,32,12,20,37.8,28.3,11.0,18.7,59.1,1.3,3.1,40.4,5.0,5.8,85.5,4.1,8.5,12.6,2.2,2.3,0.8,0.9,2.9,49.3,23,0,-1.1
7,John Wall,WAS,26,32,20,12,36.5,23.7,8.1,18.5,43.8,1.3,3.8,34.2,6.2,7.9,78.6,0.6,3.2,3.8,11.1,4.1,1.9,0.8,1.8,49.1,22,0,1.7
8,Giannis Antetokounmpo,MIL,22,34,21,13,36.1,22.3,7.7,15.0,51.5,0.4,1.9,23.8,6.4,8.4,75.3,1.5,7.2,8.7,5.3,2.8,1.4,1.7,2.8,47.3,12,1,-0.8
9,Stephen Curry,GSW,29,31,24,7,33.4,25.9,8.9,19.1,46.9,4.2,10.2,41.3,3.8,4.4,86.8,1.1,3.6,4.7,7.3,3.0,2.0,0.3,2.5,46.4,6,0,11.8
10,Jimmy Butler,CHI,27,28,15,13,37.3,22.9,7.5,16.2,46.1,1.2,2.9,40.2,6.8,7.9,85.5,1.8,3.8,5.6,6.8,2.1,2.0,0.6,1.3,45.4,8,2,3.0
11,Damian Lillard,POR,26,30,18,12,36.4,28.2,9.2,20.8,44.2,3.4,8.4,40.1,6.4,7.3,88.5,0.6,4.6,5.2,5.9,2.5,1.2,0.3,1.8,45.1,3,0,3.4
