#,Player,Team,Age,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
135,Dillon Brooks,MEM,24,24,10,14,30.3,16.3,6.3,16.5,38.1,1.7,6.1,28.1,2.0,2.7,73.4,0.8,2.5,3.3,2.1,1.8,0.7,0.3,4.0,24.3,0,0,0.2
136,Cam Reddish,ATL,20,13,5,8,27.8,14.7,5.2,10.9,47.9,1.9,4.9,39.1,2.3,2.8,83.3,0.4,2.9,3.3,1.3,1.6,1.2,0.6,2.3,24.3,0,0,-0.3
137,Trey Lyles,SAS,24,16,6,10,28.7,11.4,4.3,8.3,51.1,1.9,4.0,48.4,1.0,1.2,84.2,0.8,5.0,5.8,1.0,0.7,0.9,0.8,2.1,24.3,2,0,-1.3
138,Dario Saric,PHX,26,18,12,6,24.6,13.4,4.6,8.2,56.5,1.4,2.8,52.0,2.8,3.3,83.3,1.5,5.1,6.6,1.8,1.6,0.4,0.2,2.7,24.3,1,0,-1.3
139,Tyler Herro,MIA,20,11,5,6,24.7,15.0,5.4,10.9,49.2,2.1,5.3,39.7,2.2,2.2,100,0.2,3.5,3.7,2.8,1.4,0.5,0.2,1.8,24.2,1,0,-0.3
140,Kevin Porter Jr.,CLE,20,13,4,9,26.8,12.8,4.5,10.4,43.0,1.5,4.2,35.2,2.4,3.3,72.1,0.6,2.8,3.4,3.1,1.7,0.9,0.5,2.8,24.1,0,0,-6.8
142,Ivica Zubac,LAC,23,24,16,8,19.9,8.8,3.4,5.0,68.9,0.0,0.0,0.0,1.9,2.5,76.7,3.0,5.5,8.6,1.4,0.8,0.3,0.9,2.5,23.8,4,0,5.1
143,Jerami Grant,DEN,26,22,11,11,29.1,13.9,5.0,9.9,50.7,1.5,4.0,37.5,2.4,2.9,82.5,0.6,2.7,3.3,1.5,1.0,0.9,0.7,2.4,23.7,0,0,-0.3
144,Tomas Satoransky,CHI,28,14,3,11,29.8,8.9,3.4,9.3,36.9,0.8,3.1,25.6,1.3,1.5,85.7,1.8,3.0,4.8,5.9,2.1,0.8,0.0,2.3,23.7,1,0,-5.6
145,Derrick Favors,NOP,28,21,10,11,24.6,7.8,3.6,6.0,59.8,0.0,0.1,0.0,0.6,1.1,52.2,3.1,6.5,9.6,1.2,0.9,0.5,0.6,1.9,23.7,5,0,3.3
147,Dorian Finney-Smith,DAL,27,23,11,12,30.5,10.5,3.8,8.1,47.1,1.7,4.7,37.0,1.1,1.4,78.8,2.0,4.1,6.0,2.2,1.1,0.6,0.6,3.0,23.5,3,0,5.7
148,Trevor Ariza,POR,35,17,7,10,32.7,10.6,3.4,7.2,47.5,1.5,3.9,38.8,2.2,2.5,88.4,0.6,4.2,4.8,2.0,1.4,1.4,0.4,2.1,23.4,0,0,0.4
149,Troy Brown Jr.,WAS,20,25,9,16,25.1,9.9,3.7,9.4,39.3,1.0,3.0,32.4,1.6,2.0,81.6,1.0,4.0,4.9,3.3,1.2,1.2,0.1,2.0,23.4,2,0,-4.6
150,Kyle Kuzma,LAL,24,23,16,7,25.1,12.5,4.7,10.7,44.1,1.2,4.1,28.7,1.8,2.5,72.4,0.8,4.0,4.8,1.8,1.3,0.7,0.5,2.5,23.2,1,0,3.3
151,Shabazz Napier,WAS,28,22,7,15,25.1,11.8,3.8,9.0,42.1,1.5,4.3,33.7,2.8,3.3,84.7,0.5,2.0,2.5,4.2,2.6,1.4,0.2,2.0,23.2,1,0,-2.4
